data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
20/2021/04 00:01:28,42,24,38,1023,-0.11,0.53,1.05,-0.39,0.01,0.61,3.53,4.52,-0.74,2,Plug
20/2021/04 00:01:28,41,27,38,1023,-1.60,0.53,0.94,-0.40,0.04,0.63,3.66,4.31,-0.71,2,Plug
20/2021/04 00:01:28,50,37,38,1023,0.57,0.52,0.97,-0.42,0.01,0.66,3.69,3.15,-1.53,2,Plug
20/2021/04 00:01:28,53,42,37,1023,-1.43,0.52,0.94,-0.44,0.00,0.65,4.21,2.58,-0.42,2,Plug
20/2021/04 00:01:28,39,25,37,1023,-0.41,0.52,0.99,-0.38,0.01,0.62,3.99,4.62,-0.33,2,Plug
20/2021/04 00:01:28,40,21,38,1023,0.53,0.52,0.94,-0.33,0.01,0.64,4.12,4.98,-1.20,2,Plug
20/2021/04 00:01:28,44,32,37,1023,-0.01,0.52,1.04,-0.42,0.01,0.62,3.21,3.87,-1.55,2,Plug
20/2021/04 00:01:28,52,43,38,1023,-0.12,0.52,1.06,-0.42,0.00,0.64,3.63,3.08,-1.00,2,Plug
20/2021/04 00:01:31,45,30,37,1023,-1.45,0.52,1.02,-0.43,-0.00,0.64,4.11,3.37,-0.41,2,Plug
20/2021/04 00:01:34,44,29,38,1023,0.32,0.52,1.01,-0.40,0.02,0.62,3.79,3.53,-0.64,2,Plug
20/2021/04 00:01:37,40,29,37,1023,1.28,0.52,1.01,-0.44,0.00,0.67,3.40,5.16,-0.10,2,Plug
20/2021/04 00:01:40,48,37,37,1023,-2.00,0.52,1.02,-0.45,-0.00,0.65,3.46,3.40,-1.09,2,Plug
20/2021/04 00:01:43,53,43,38,1023,0.03,0.53,1.00,-0.43,-0.00,0.65,4.34,2.50,-0.05,2,Plug
20/2021/04 00:01:46,40,24,38,1023,-0.68,0.52,1.03,-0.39,0.04,0.62,3.81,4.99,-0.69,2,Plug
20/2021/04 00:01:49,46,29,40,1023,2.00,0.53,0.95,-0.39,0.01,0.63,4.18,3.42,-0.22,2,Plug
20/2021/04 00:01:52,50,40,38,1023,0.29,0.53,0.98,-0.45,0.02,0.66,3.66,2.60,-1.07,2,Plug
20/2021/04 00:01:55,53,42,38,1023,-2.00,0.53,0.94,-0.49,0.06,0.64,2.98,3.85,-1.14,2,Plug
20/2021/04 00:01:58,40,24,38,1023,-0.59,0.52,0.94,-0.42,-0.00,0.63,3.06,4.15,-1.55,2,Plug
20/2021/04 00:02:01,34,22,37,1023,-2.00,0.52,0.99,-0.41,0.02,0.63,3.60,5.95,-0.41,2,Plug
20/2021/04 00:02:04,44,29,38,1023,0.33,0.53,1.06,-0.43,0.00,0.64,3.37,3.73,-1.62,2,Plug
20/2021/04 00:02:07,53,46,38,1023,-0.02,0.53,1.03,-0.42,-0.02,0.64,3.86,3.34,-0.85,2,Plug
20/2021/04 00:02:10,47,37,37,1023,-1.10,0.54,0.94,-0.42,-0.02,0.64,4.22,1.79,-0.39,2,Plug
20/2021/04 00:02:13,41,24,38,1023,-1.21,0.54,0.89,-0.38,0.01,0.63,3.64,5.25,-0.96,2,Plug
20/2021/04 00:02:16,40,22,37,1023,0.30,0.55,0.95,-0.52,0.05,0.67,3.56,4.93,-0.33,2,Plug
20/2021/04 00:02:19,41,28,37,1023,0.01,0.53,0.94,-0.43,0.01,0.64,3.69,2.85,-0.85,2,Plug
20/2021/04 00:02:22,57,46,38,1023,-0.27,0.52,0.88,-0.44,-0.00,0.65,3.45,1.95,-0.85,2,Plug
20/2021/04 00:02:25,46,35,38,1023,-0.54,0.52,0.95,-0.45,-0.01,0.65,4.60,3.74,0.10,2,Plug
20/2021/04 00:02:28,42,24,38,1023,-1.86,0.52,0.95,-0.39,-0.01,0.63,3.95,4.76,-0.31,2,Plug
20/2021/04 00:02:31,39,25,38,1023,0.23,0.52,0.99,-0.44,0.01,0.65,3.42,3.95,-0.60,2,Plug
20/2021/04 00:02:34,42,28,37,1023,1.21,0.52,0.95,-0.42,0.02,0.65,3.40,4.17,-1.31,2,Plug
20/2021/04 00:02:37,49,38,36,1023,-0.00,0.53,0.94,-0.44,-0.00,0.65,3.72,2.95,-0.93,2,Plug
20/2021/04 00:02:40,48,36,37,1023,-0.27,0.54,0.92,-0.41,0.01,0.64,4.10,2.83,-0.41,2,Plug
20/2021/04 00:02:43,50,40,37,1023,-1.32,0.52,0.95,-0.41,-0.00,0.63,4.44,3.18,0.00,2,Plug
20/2021/04 00:02:46,41,24,38,1023,-0.08,0.52,1.03,-0.38,-0.01,0.61,4.31,4.09,0.12,2,Plug
20/2021/04 00:02:49,42,26,38,1023,0.74,0.55,1.00,-0.38,0.01,0.63,3.69,5.05,-0.50,2,Plug
20/2021/04 00:02:52,39,25,38,1023,0.15,0.54,1.00,-0.43,0.01,0.65,3.24,4.37,-1.63,2,Plug
20/2021/04 00:02:55,42,28,38,1023,-0.60,0.51,1.03,-0.44,-0.00,0.64,3.34,4.10,-1.47,2,Plug
20/2021/04 00:02:58,57,44,38,1023,1.17,0.51,0.95,-0.41,-0.05,0.64,4.27,1.53,-0.21,2,Plug
