data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
20/2021/04 15:01:39,51,42,54,1023,1.25,0.61,1.22,-0.28,-0.04,0.60,5.27,-3.52,0.11,2,Plug
20/2021/04 15:01:39,46,30,54,1023,0.39,0.61,1.23,-0.43,0.02,0.61,3.26,4.15,-0.26,2,Plug
20/2021/04 15:01:39,40,23,54,1023,-1.58,0.59,1.19,-0.35,0.00,0.61,3.47,3.94,-0.80,2,Plug
20/2021/04 15:01:39,43,31,54,1023,-2.00,0.58,1.18,-0.42,0.02,0.63,3.21,4.23,-0.57,2,Plug
20/2021/04 15:01:39,49,45,56,1023,-1.61,0.58,1.19,-0.45,0.02,0.66,3.83,2.43,-0.45,2,Plug
20/2021/04 15:01:41,41,25,54,1023,-2.00,0.58,1.11,-0.37,-0.01,0.64,3.00,-0.20,-2.95,2,Plug
20/2021/04 15:01:44,41,27,54,1023,-2.00,0.58,1.20,-0.43,0.03,0.65,3.01,4.24,-1.18,2,Plug
20/2021/04 15:01:47,56,44,54,1023,0.10,0.58,1.18,-0.47,0.03,0.64,3.82,3.02,0.05,2,Plug
20/2021/04 15:01:50,48,37,56,1023,2.00,0.57,1.18,-0.43,0.02,0.65,3.53,3.80,-1.30,2,Plug
20/2021/04 15:01:53,38,23,54,1023,-0.29,0.57,1.19,-0.40,-0.07,0.60,5.46,-1.28,0.02,2,Plug
20/2021/04 15:01:56,41,28,54,1023,0.50,0.58,1.10,-0.51,0.08,0.70,2.98,4.82,-0.89,2,Plug
20/2021/04 15:01:59,48,37,54,1023,0.15,0.57,1.19,-0.42,-0.01,0.63,3.51,3.46,-1.01,2,Plug
20/2021/04 15:02:02,43,45,56,1023,1.12,0.57,1.11,-0.47,-0.28,0.65,4.79,4.22,1.13,2,Plug
20/2021/04 15:02:05,39,22,54,1023,-2.00,0.57,1.14,-0.39,0.07,0.69,2.12,1.79,-0.73,2,Plug
20/2021/04 15:02:08,35,22,55,1023,-0.46,0.57,1.20,-0.39,-0.01,0.61,3.49,4.84,-0.63,2,Plug
20/2021/04 15:02:11,42,28,55,1023,-1.96,0.57,1.12,-0.31,-0.00,0.56,3.24,5.69,-1.40,2,Plug
20/2021/04 15:02:14,56,46,55,1023,0.39,0.57,1.20,-0.45,-0.00,0.65,4.81,0.30,0.54,2,Plug
