data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 20:57:17,37,23,32,1023,-0.09,0.39,0.88,-0.43,-0.01,0.66,4.33,1.30,-0.49,4,Estratificado
18/2021/04 20:57:17,36,20,32,1023,-0.13,0.39,0.96,-0.37,-0.01,0.61,4.04,4.60,-0.49,4,Estratificado
18/2021/04 20:57:17,33,23,31,1023,-0.35,0.38,0.93,-0.42,-0.03,0.65,3.29,4.62,-0.35,4,Estratificado
18/2021/04 20:57:17,41,31,32,1023,-1.23,0.38,0.89,-0.46,0.01,0.67,2.64,5.24,-1.56,4,Estratificado
18/2021/04 20:57:17,34,20,34,1023,-0.34,0.38,0.91,-0.41,-0.00,0.63,4.04,3.05,-0.47,4,Estratificado
18/2021/04 20:57:17,34,23,32,1023,-0.42,0.38,0.94,-0.38,0.03,0.62,3.88,5.77,-0.31,4,Estratificado
18/2021/04 20:57:20,36,29,32,1023,-2.00,0.38,0.92,-0.46,0.02,0.66,2.94,2.79,-1.48,4,Estratificado
18/2021/04 20:57:23,35,20,32,1023,-1.04,0.38,0.94,-0.44,0.03,0.59,3.89,7.02,-0.84,4,Estratificado
18/2021/04 20:57:26,36,26,32,1023,-0.13,0.38,0.91,-0.41,0.04,0.63,3.27,4.71,-0.95,4,Estratificado
18/2021/04 20:57:29,40,28,32,1023,-2.00,0.38,0.92,-0.61,-0.03,0.68,3.15,1.08,-2.65,4,Estratificado
18/2021/04 20:57:32,36,21,32,1023,-0.54,0.39,0.91,-0.39,0.04,0.64,3.98,3.85,-0.34,4,Estratificado
18/2021/04 20:57:35,38,26,31,1023,0.49,0.38,0.94,-0.41,0.04,0.65,3.29,6.07,-0.98,4,Estratificado
18/2021/04 20:57:38,43,29,32,1023,-0.55,0.38,0.93,-0.46,-0.04,0.66,3.24,2.05,-1.34,4,Estratificado
18/2021/04 20:57:41,32,20,32,1023,0.05,0.38,0.92,-0.42,-0.00,0.64,3.99,4.37,-0.69,4,Estratificado
18/2021/04 20:57:44,35,25,32,1023,-0.25,0.38,0.82,-0.46,0.08,0.63,4.26,4.92,0.46,4,Estratificado
18/2021/04 20:57:47,35,29,32,1023,-1.00,0.38,0.94,-0.46,0.01,0.68,3.27,1.92,-1.41,4,Estratificado
18/2021/04 20:57:50,34,22,34,1023,-0.10,0.38,0.89,-0.43,0.03,0.64,4.11,2.77,-0.38,4,Estratificado
18/2021/04 20:57:53,37,24,31,1023,0.98,0.38,0.97,-0.43,-0.04,0.64,3.48,4.72,-1.02,4,Estratificado
18/2021/04 20:57:56,39,27,32,1023,-0.24,0.38,0.84,-0.43,-0.00,0.66,3.37,1.03,-1.19,4,Estratificado
18/2021/04 20:57:59,36,23,31,1023,-0.99,0.38,0.94,-0.40,0.01,0.61,3.95,3.79,-0.18,4,Estratificado
18/2021/04 20:58:02,35,25,31,1023,-2.00,0.38,1.01,-0.43,0.02,0.64,3.40,4.40,-0.89,4,Estratificado
18/2021/04 20:58:05,41,28,32,1023,-0.24,0.38,0.86,-0.46,0.00,0.66,3.38,1.44,-1.10,4,Estratificado
18/2021/04 20:58:08,29,18,31,1023,-0.42,0.38,0.90,-0.39,0.00,0.62,4.07,3.89,-0.35,4,Estratificado
18/2021/04 20:58:11,31,14,32,1023,-0.21,0.38,0.82,-0.44,0.09,0.69,3.62,4.21,0.86,4,Estratificado
18/2021/04 20:58:14,33,22,32,1023,-0.49,0.38,1.00,-0.43,0.01,0.64,3.12,4.50,-1.18,4,Estratificado
18/2021/04 20:58:17,43,33,31,1023,-0.23,0.38,0.94,-0.46,0.00,0.66,3.16,1.88,-1.35,4,Estratificado
18/2021/04 20:58:20,44,36,32,1023,-2.00,0.38,0.91,-0.43,0.01,0.65,3.85,2.21,-0.60,4,Estratificado
18/2021/04 20:58:23,33,17,31,1023,-0.21,0.39,0.89,-0.38,0.01,0.62,3.93,4.30,-0.53,4,Estratificado
18/2021/04 20:58:26,28,16,32,1023,-0.12,0.38,0.91,-0.41,0.03,0.63,3.69,5.08,-0.26,4,Estratificado
18/2021/04 20:58:29,40,31,32,1023,-0.53,0.38,0.93,-0.48,-0.00,0.67,3.15,2.40,-1.77,4,Estratificado
18/2021/04 20:58:32,39,25,32,1023,-2.00,0.38,0.98,-0.40,-0.01,0.63,4.02,2.37,-0.42,4,Estratificado
18/2021/04 20:58:35,23,17,33,1023,0.05,0.38,0.97,-0.38,0.04,0.61,3.64,5.19,-0.66,4,Estratificado
18/2021/04 20:58:38,39,29,33,1023,2.00,0.38,0.93,-0.44,0.03,0.65,3.19,3.31,-1.47,4,Estratificado
18/2021/04 20:58:41,43,30,31,1023,-0.18,0.38,0.89,-0.42,-0.02,0.64,4.19,2.37,-0.38,4,Estratificado
18/2021/04 20:58:44,27,14,32,1023,-0.85,0.38,0.96,-0.40,-0.05,0.63,3.96,5.18,-0.23,4,Estratificado
18/2021/04 20:58:47,35,21,31,1023,-0.31,0.38,0.99,-0.43,-0.00,0.66,2.69,3.37,-1.46,4,Estratificado
18/2021/04 20:58:50,50,37,32,1023,-0.16,0.38,0.97,-0.43,0.02,0.65,4.17,2.83,-0.11,4,Estratificado
18/2021/04 20:58:53,33,16,32,1023,-0.65,0.38,0.85,-0.37,-0.03,0.61,5.24,1.66,-1.94,4,Estratificado
18/2021/04 20:58:56,35,23,33,1023,-0.53,0.38,0.94,-0.44,0.02,0.65,3.00,3.34,-1.37,4,Estratificado
18/2021/04 20:58:59,49,29,32,1023,-0.44,0.37,0.91,-0.42,-0.03,0.64,4.35,2.03,0.02,4,Estratificado
18/2021/04 20:59:02,36,15,32,1023,-0.38,0.38,0.89,-0.41,0.01,0.63,3.72,5.40,0.28,4,Estratificado
18/2021/04 20:59:05,34,31,32,1023,-1.35,0.38,0.91,-0.44,-0.01,0.65,4.58,3.93,-1.31,4,Estratificado
18/2021/04 20:59:08,35,24,31,1023,-0.29,0.38,0.95,-0.46,0.00,0.64,4.10,0.92,-0.05,4,Estratificado
18/2021/04 20:59:11,26,14,31,1023,-0.20,0.38,0.87,-0.39,0.01,0.63,4.00,4.99,-0.10,4,Estratificado
18/2021/04 20:59:14,35,21,32,1023,-0.15,0.38,0.86,-0.42,-0.02,0.64,3.09,4.39,-1.28,4,Estratificado
18/2021/04 20:59:17,47,39,32,1023,-2.00,0.38,0.84,-0.44,-0.01,0.67,3.37,1.88,-1.14,4,Estratificado
18/2021/04 20:59:20,35,24,36,1023,-0.05,0.38,0.88,-0.41,0.02,0.67,4.01,3.47,-1.85,4,Estratificado
18/2021/04 20:59:23,33,24,33,1023,-0.93,0.38,0.87,-0.33,-0.03,0.59,3.67,4.88,-0.62,4,Estratificado
18/2021/04 20:59:26,39,26,32,1023,-0.89,0.38,0.92,-0.43,0.01,0.64,3.47,2.86,-1.29,4,Estratificado
18/2021/04 20:59:29,45,34,31,1023,-0.27,0.38,0.94,-0.41,-0.01,0.64,3.96,2.63,-0.53,4,Estratificado
18/2021/04 20:59:32,33,17,32,1023,-1.20,0.38,0.82,-0.41,0.01,0.63,4.34,5.01,0.06,4,Estratificado
18/2021/04 20:59:35,32,22,32,1023,-2.00,0.38,0.94,-0.46,0.01,0.66,3.18,4.24,-1.02,4,Estratificado
