data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
22/2021/04 02:16:18,62,47,57,1012,-0.06,0.22,0.56,-0.43,0.02,0.64,3.24,2.82,-1.02,4,Estratificado
22/2021/04 02:16:18,63,48,58,1008,-0.60,0.22,0.56,-0.40,0.01,0.63,3.92,3.03,-0.63,4,Estratificado
22/2021/04 02:16:19,69,50,57,1018,-0.55,0.22,0.72,-0.43,-0.03,0.60,3.61,4.63,-0.53,4,Estratificado
22/2021/04 02:16:22,60,46,57,1011,0.01,0.22,0.56,-0.43,0.03,0.65,3.41,2.33,-0.92,4,Estratificado
22/2021/04 02:16:25,62,49,57,1008,1.06,0.22,0.55,-0.40,0.01,0.61,4.44,2.98,0.04,4,Estratificado
22/2021/04 02:16:28,56,45,55,1013,0.00,0.22,0.65,-0.47,0.01,0.66,3.11,4.58,-0.92,4,Estratificado
22/2021/04 02:16:31,65,50,57,1009,-0.76,0.22,0.70,-0.39,-0.01,0.65,3.52,1.94,-0.08,4,Estratificado
22/2021/04 02:16:34,61,47,57,1017,0.17,0.23,0.61,-0.41,-0.02,0.61,3.99,5.11,-0.88,4,Estratificado
22/2021/04 02:16:37,60,47,56,1007,-0.24,0.23,0.58,-0.44,-0.01,0.64,3.60,2.60,-1.40,4,Estratificado
22/2021/04 02:16:40,64,48,58,1011,1.44,0.22,0.63,-0.38,0.05,0.60,4.03,3.95,-0.66,4,Estratificado
22/2021/04 02:16:43,60,45,56,1015,0.22,0.22,0.65,-0.46,-0.01,0.65,3.37,3.08,-1.08,4,Estratificado
22/2021/04 02:16:46,60,53,58,1006,-0.42,0.22,0.65,-0.44,0.01,0.64,4.02,2.66,-0.80,4,Estratificado
22/2021/04 02:16:49,63,48,57,1015,-0.19,0.23,0.55,-0.38,0.02,0.62,4.12,3.99,-0.21,4,Estratificado
22/2021/04 02:16:52,60,46,56,1013,2.00,0.23,0.60,-0.50,0.03,0.65,2.02,4.98,-1.79,4,Estratificado
