data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 21:12:09,70,56,64,1013,0.11,0.19,0.32,-0.42,0.01,0.63,3.41,4.45,-0.78,2,Estratificado
21/2021/04 21:12:09,69,55,65,1012,-0.26,0.19,0.42,-0.42,-0.03,0.60,3.28,4.17,-1.59,2,Estratificado
21/2021/04 21:12:09,72,59,66,1007,0.58,0.19,0.30,-0.43,-0.01,0.62,4.00,2.95,-1.02,2,Estratificado
21/2021/04 21:12:12,69,58,66,1014,0.30,0.19,0.49,-0.43,0.00,0.63,3.61,4.78,-0.61,2,Estratificado
21/2021/04 21:12:15,71,58,64,1013,0.06,0.19,0.37,-0.44,-0.00,0.64,3.07,3.12,-1.11,2,Estratificado
21/2021/04 21:12:18,71,57,66,1008,0.12,0.18,0.31,-0.40,0.00,0.64,3.80,3.22,-0.38,2,Estratificado
21/2021/04 21:12:21,72,62,65,1012,0.63,0.18,0.37,-0.39,0.00,0.60,4.04,4.53,-0.71,2,Estratificado
21/2021/04 21:12:24,69,54,65,1015,-0.10,0.18,0.38,-0.46,0.00,0.66,3.13,4.21,-0.94,2,Estratificado
21/2021/04 21:12:27,71,57,66,1011,-0.26,0.18,0.37,-0.42,-0.00,0.64,3.41,2.82,-0.99,2,Estratificado
21/2021/04 21:12:30,71,59,64,1013,-0.18,0.18,0.40,-0.41,-0.00,0.64,4.08,3.55,-0.44,2,Estratificado
21/2021/04 21:12:33,72,60,66,1013,0.15,0.18,0.25,-0.40,0.01,0.62,3.77,4.75,-0.58,2,Estratificado
21/2021/04 21:12:36,71,58,65,1015,-0.23,0.18,0.45,-0.42,0.02,0.64,3.18,4.77,-0.82,2,Estratificado
21/2021/04 21:12:39,69,57,65,1012,0.11,0.18,0.37,-0.40,-0.01,0.62,3.38,2.79,-1.14,2,Estratificado
21/2021/04 21:12:42,72,59,66,1007,-0.06,0.18,0.27,-0.43,-0.01,0.64,3.60,2.56,-0.79,2,Estratificado
21/2021/04 21:12:45,77,60,68,1010,-0.16,0.18,0.41,-0.41,0.00,0.63,3.95,2.92,-0.17,2,Estratificado
21/2021/04 21:12:48,73,61,66,1015,0.06,0.18,0.37,-0.39,-0.00,0.61,3.85,4.79,-0.59,2,Estratificado
21/2021/04 21:12:52,72,61,67,1014,-0.18,0.18,0.40,-0.46,0.01,0.65,3.22,3.43,-0.92,2,Estratificado
21/2021/04 21:12:55,70,57,64,1009,0.05,0.18,0.37,-0.45,-0.01,0.66,3.62,2.75,-0.54,2,Estratificado
21/2021/04 21:12:58,74,60,67,1011,-0.01,0.17,0.33,-0.39,0.00,0.61,3.84,3.76,-0.25,2,Estratificado
21/2021/04 21:13:01,70,57,64,1015,0.08,0.17,0.34,-0.41,0.02,0.62,3.52,4.49,-0.87,2,Estratificado
21/2021/04 21:13:04,73,60,67,1014,0.13,0.16,0.31,-0.45,0.00,0.64,3.11,4.18,-1.44,2,Estratificado
21/2021/04 21:13:06,70,57,66,1011,-0.20,0.17,0.34,-0.42,-0.01,0.64,3.58,2.74,-0.80,2,Estratificado
