data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 21:06:56,38,21,32,1023,-0.41,0.39,1.02,-0.43,0.03,0.63,3.18,6.92,-1.37,5,Golfada
18/2021/04 21:06:56,52,37,32,1023,-1.19,0.39,0.98,-0.45,-0.00,0.66,3.52,3.22,-1.40,5,Golfada
18/2021/04 21:06:56,34,19,32,1023,0.07,0.39,1.02,-0.40,-0.01,0.61,3.95,5.33,-0.41,5,Golfada
18/2021/04 21:06:56,37,26,32,1023,-0.32,0.39,0.94,-0.36,0.00,0.63,3.15,5.47,-0.98,5,Golfada
18/2021/04 21:06:56,55,40,31,1023,-0.76,0.39,0.95,-0.45,0.05,0.66,3.47,2.99,-0.55,5,Golfada
18/2021/04 21:06:59,32,17,32,1023,-1.20,0.39,0.93,-0.32,0.03,0.67,5.08,-4.18,-1.80,5,Golfada
18/2021/04 21:07:02,37,20,31,1023,-1.09,0.39,1.03,-0.24,0.01,0.63,4.07,7.20,-2.98,5,Golfada
18/2021/04 21:07:05,41,30,31,1023,0.81,0.39,1.06,-0.45,0.01,0.65,3.82,1.80,-0.47,5,Golfada
18/2021/04 21:07:08,32,16,32,1023,-1.19,0.39,1.02,-0.35,0.02,0.61,3.92,5.44,-0.51,5,Golfada
18/2021/04 21:07:11,38,39,32,1023,0.48,0.38,1.04,-0.46,-0.01,0.66,3.69,2.46,-0.58,5,Golfada
18/2021/04 21:07:14,30,15,31,1023,-0.11,0.39,1.03,-0.38,-0.03,0.62,3.90,3.43,-0.79,5,Golfada
18/2021/04 21:07:17,31,18,32,1023,-0.31,0.38,0.97,-0.39,0.01,0.62,3.24,7.02,-1.47,5,Golfada
18/2021/04 21:07:20,48,37,32,1023,-2.00,0.39,0.96,-0.44,-0.00,0.64,2.91,4.75,-1.11,5,Golfada
18/2021/04 21:07:23,34,20,31,1023,0.53,0.38,1.03,-0.43,-0.02,0.62,3.72,2.70,-0.51,5,Golfada
18/2021/04 21:07:26,33,15,32,1023,-0.43,0.38,1.01,-0.40,0.01,0.62,3.48,5.43,-0.65,5,Golfada
18/2021/04 21:07:30,34,23,31,1023,-0.01,0.38,0.99,-0.41,0.01,0.64,3.02,4.31,-1.37,5,Golfada
18/2021/04 21:07:32,46,39,31,1023,-1.25,0.39,1.01,-0.45,0.00,0.65,3.64,2.98,-0.17,5,Golfada
18/2021/04 21:07:35,34,21,32,1023,-0.50,0.38,0.98,-0.41,0.01,0.64,3.98,2.34,-0.28,5,Golfada
18/2021/04 21:07:38,43,15,31,1023,-0.17,0.38,1.03,-0.34,-0.01,0.62,3.61,8.06,-0.95,5,Golfada
18/2021/04 21:07:42,36,23,33,1023,-0.54,0.39,0.92,-0.32,0.02,0.61,3.20,5.94,-1.11,5,Golfada
18/2021/04 21:07:44,42,36,32,1023,-0.70,0.38,1.02,-0.46,-0.01,0.66,3.79,2.19,-0.47,5,Golfada
18/2021/04 21:07:48,32,17,31,1023,-0.19,0.39,1.02,-0.41,0.01,0.61,3.97,3.60,-0.09,5,Golfada
18/2021/04 21:07:51,34,22,31,1023,-0.26,0.38,1.03,-0.41,0.05,0.63,3.27,4.98,-1.13,5,Golfada
18/2021/04 21:07:54,44,33,31,1023,0.24,0.38,1.06,-0.41,0.03,0.65,3.80,2.59,-0.77,5,Golfada
18/2021/04 21:07:57,22,14,32,1023,-0.48,0.38,1.03,-0.38,0.01,0.63,3.61,4.86,-0.74,5,Golfada
18/2021/04 21:08:00,35,23,32,1023,-1.91,0.38,0.94,-0.39,0.01,0.62,3.20,4.98,-1.66,5,Golfada
18/2021/04 21:08:03,49,39,32,1023,-0.69,0.38,0.94,-0.45,-0.01,0.68,3.85,3.86,-0.50,5,Golfada
18/2021/04 21:08:06,35,16,31,1023,-0.02,0.38,1.05,-0.41,0.02,0.61,4.16,4.09,-0.55,5,Golfada
18/2021/04 21:08:09,32,18,31,1023,-0.92,0.39,0.94,-0.38,0.00,0.62,3.31,4.97,-0.76,5,Golfada
18/2021/04 21:08:12,52,39,31,1023,-2.00,0.38,0.96,-0.45,0.04,0.66,3.15,3.26,-1.11,5,Golfada
18/2021/04 21:08:15,32,17,33,1023,-2.00,0.38,1.02,-0.33,0.01,0.60,3.41,3.50,-1.39,5,Golfada
18/2021/04 21:08:18,36,21,32,1023,0.79,0.39,0.94,-0.43,-0.01,0.64,3.61,4.98,-1.02,5,Golfada
18/2021/04 21:08:21,53,35,32,1023,-0.65,0.38,1.06,-0.43,0.01,0.65,3.71,2.41,-0.49,5,Golfada
