data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 18:07:51,73,65,54,1023,-1.37,0.29,0.76,-0.43,-0.03,0.66,3.73,4.90,-1.12,5,Estratificado
21/2021/04 18:07:51,66,58,53,1023,0.12,0.29,1.00,-0.44,0.07,0.63,3.16,5.69,-0.60,5,Estratificado
21/2021/04 18:07:51,69,57,52,1023,0.47,0.29,0.95,-0.43,0.01,0.65,3.90,2.77,-0.39,5,Estratificado
21/2021/04 18:07:51,67,58,52,1023,-0.11,0.30,0.87,-0.44,0.02,0.66,3.98,2.45,-0.21,5,Estratificado
21/2021/04 18:07:53,57,40,53,1023,0.05,0.29,0.81,-0.40,-0.02,0.63,3.95,3.05,-0.44,5,Estratificado
21/2021/04 18:07:56,56,40,53,1023,-0.18,0.30,0.90,-0.37,0.04,0.60,3.97,4.58,-0.50,5,Estratificado
21/2021/04 18:07:59,56,41,51,1023,1.13,0.29,0.80,-0.41,0.02,0.61,3.38,4.11,-0.94,5,Estratificado
21/2021/04 18:08:02,62,55,52,1023,-0.99,0.28,0.96,-0.47,-0.00,0.67,3.20,2.78,-1.06,5,Estratificado
21/2021/04 18:08:05,74,62,53,1023,1.06,0.29,0.86,-0.44,-0.01,0.66,3.98,2.73,-0.36,5,Estratificado
21/2021/04 18:08:08,57,40,54,1023,-1.40,0.28,0.91,-0.39,0.02,0.63,4.01,3.40,-0.49,5,Estratificado
21/2021/04 18:08:11,52,37,52,1023,0.16,0.28,0.84,-0.39,-0.02,0.62,3.84,4.13,-0.51,5,Estratificado
21/2021/04 18:08:14,58,43,53,1023,1.05,0.28,0.86,-0.41,0.01,0.63,3.09,3.92,-1.40,5,Estratificado
21/2021/04 18:08:17,72,63,52,1023,-1.93,0.29,0.76,-0.44,-0.05,0.65,3.15,2.32,-1.76,5,Estratificado
21/2021/04 18:08:20,68,62,54,1023,-0.90,0.28,1.06,-0.43,0.01,0.63,3.89,1.88,-0.63,5,Estratificado
21/2021/04 18:08:23,56,37,52,1023,-1.19,0.30,0.81,-0.39,0.00,0.63,3.94,2.36,-0.05,5,Estratificado
21/2021/04 18:08:26,55,42,53,1023,-1.63,0.28,0.90,-0.37,0.04,0.63,3.83,4.51,-0.69,5,Estratificado
21/2021/04 18:08:29,57,39,54,1023,0.93,0.28,0.89,-0.38,0.01,0.62,3.31,6.69,-1.00,5,Estratificado
21/2021/04 18:08:32,59,47,54,1023,0.03,0.28,0.99,-0.43,-0.01,0.65,2.98,4.47,-1.02,5,Estratificado
21/2021/04 18:08:35,60,49,54,1023,0.04,0.28,0.87,-0.44,-0.00,0.63,2.73,3.57,-1.10,5,Estratificado
21/2021/04 18:08:38,70,64,52,1023,-0.00,0.29,0.83,-0.44,-0.02,0.65,3.58,1.98,-0.61,5,Estratificado
21/2021/04 18:08:41,67,55,53,1023,-0.90,0.28,0.84,-0.42,-0.04,0.64,4.23,2.36,-0.08,5,Estratificado
21/2021/04 18:08:44,57,40,52,1023,-2.00,0.32,0.87,-0.41,-0.02,0.64,4.37,2.53,-0.66,5,Estratificado
21/2021/04 18:08:47,65,38,52,1023,0.34,0.28,0.99,-0.37,0.05,0.62,3.56,5.24,-0.50,5,Estratificado
21/2021/04 18:08:50,56,45,53,1023,0.34,0.30,0.87,-0.41,0.01,0.63,3.02,4.18,-1.18,5,Estratificado
21/2021/04 18:08:53,60,48,52,1023,1.36,0.28,0.89,-0.43,0.01,0.65,3.06,3.08,-0.79,5,Estratificado
21/2021/04 18:08:56,74,66,53,1023,-1.78,0.28,1.00,-0.46,0.02,0.66,3.36,3.98,-0.53,5,Estratificado
21/2021/04 18:08:59,66,52,53,1023,1.50,0.28,0.92,-0.44,-0.02,0.66,4.02,2.30,0.15,5,Estratificado
21/2021/04 18:09:02,55,38,52,1023,-0.82,0.28,0.89,-0.39,-0.01,0.61,4.20,2.97,0.04,5,Estratificado
21/2021/04 18:09:05,57,38,53,1023,0.73,0.28,0.98,-0.40,0.00,0.58,3.24,5.34,-0.73,5,Estratificado
21/2021/04 18:09:08,53,38,53,1023,0.09,0.28,0.82,-0.42,0.01,0.59,3.14,6.69,-1.31,5,Estratificado
21/2021/04 18:09:11,57,45,54,1023,-0.24,0.29,0.89,-0.42,-0.02,0.62,2.35,5.63,-1.76,5,Estratificado
21/2021/04 18:09:14,59,47,54,1023,-1.37,0.28,0.88,-0.52,-0.02,0.70,2.09,5.03,-0.08,5,Estratificado
21/2021/04 18:09:17,58,44,52,1023,-0.08,0.28,0.90,-0.43,0.03,0.65,3.09,3.15,-1.38,5,Estratificado
21/2021/04 18:09:20,70,57,55,1023,0.07,0.28,0.87,-0.47,-0.01,0.64,2.89,1.90,-1.40,5,Estratificado
21/2021/04 18:09:23,75,63,52,1023,-0.42,0.28,0.87,-0.44,0.04,0.65,3.36,3.55,-0.97,5,Estratificado
21/2021/04 18:09:26,74,65,54,1023,-2.00,0.28,0.88,-0.45,0.00,0.66,3.50,2.81,-0.63,5,Estratificado
21/2021/04 18:09:29,65,50,52,1023,-0.48,0.28,0.81,-0.39,-0.01,0.62,4.33,2.98,-0.40,5,Estratificado
21/2021/04 18:09:32,57,40,54,1023,0.70,0.28,0.91,-0.40,-0.00,0.66,3.69,4.89,-0.66,5,Estratificado
21/2021/04 18:09:35,56,38,52,1023,-0.17,0.28,0.82,-0.38,-0.00,0.61,4.24,3.47,-0.18,5,Estratificado
21/2021/04 18:09:38,50,39,53,1023,-0.30,0.28,0.94,-0.37,0.01,0.63,3.76,4.81,-0.21,5,Estratificado
21/2021/04 18:09:41,54,36,51,1023,0.12,0.29,0.81,-0.37,0.01,0.62,3.42,4.92,-0.62,5,Estratificado
21/2021/04 18:09:44,60,42,53,1023,0.50,0.28,0.89,-0.45,0.02,0.65,2.96,4.79,-0.82,5,Estratificado
21/2021/04 18:09:47,57,43,53,1023,-0.20,0.29,0.81,-0.37,-0.02,0.59,2.69,5.69,-0.99,5,Estratificado
21/2021/04 18:09:50,59,47,54,1023,-2.00,0.30,0.99,-0.43,-0.00,0.65,4.02,2.18,-0.33,5,Estratificado
21/2021/04 18:09:53,61,49,52,1023,-1.29,0.31,0.81,-0.43,0.01,0.64,2.68,-0.01,-0.01,5,Estratificado
21/2021/04 18:09:56,63,60,52,1023,-0.10,0.30,0.98,-0.46,0.02,0.68,2.95,2.63,-1.21,5,Estratificado
21/2021/04 18:09:59,74,67,53,1023,0.18,0.28,0.85,-0.45,0.02,0.67,3.39,3.44,-0.86,5,Estratificado
21/2021/04 18:10:02,65,63,52,1023,-0.04,0.28,0.82,-0.46,0.02,0.66,3.87,2.29,-0.98,5,Estratificado
21/2021/04 18:10:05,63,53,53,1023,-0.52,0.28,0.83,-0.44,-0.02,0.64,4.08,2.29,-0.31,5,Estratificado
21/2021/04 18:10:08,56,39,53,1023,0.04,0.28,0.81,-0.41,0.00,0.63,4.00,2.74,0.10,5,Estratificado
21/2021/04 18:10:11,56,38,52,1023,-0.02,0.28,0.88,-0.41,0.00,0.62,3.70,5.60,-0.41,5,Estratificado
21/2021/04 18:10:14,58,36,53,1023,-0.41,0.28,0.80,-0.42,0.00,0.61,3.40,6.00,-0.39,5,Estratificado
21/2021/04 18:10:17,60,45,53,1023,0.79,0.28,0.91,-0.42,0.03,0.64,3.17,4.03,-0.94,5,Estratificado
21/2021/04 18:10:20,64,51,53,1023,-1.14,0.33,0.93,-0.44,-0.04,0.63,2.99,3.64,-1.37,5,Estratificado
21/2021/04 18:10:23,73,65,53,1023,-0.78,0.36,0.86,-0.45,0.07,0.66,2.95,2.25,-1.02,5,Estratificado
21/2021/04 18:10:26,65,60,52,1023,-0.03,0.30,0.90,-0.44,-0.01,0.65,3.89,2.75,-0.40,5,Estratificado
21/2021/04 18:10:29,58,42,53,1023,0.12,0.28,0.85,-0.42,0.01,0.64,3.94,3.40,-0.52,5,Estratificado
21/2021/04 18:10:32,56,40,54,1023,-0.44,0.28,0.75,-0.36,0.04,0.61,3.59,5.29,-0.56,5,Estratificado
21/2021/04 18:10:35,58,40,53,1023,-0.13,0.28,0.88,-0.49,0.00,0.72,5.26,-0.89,0.21,5,Estratificado
21/2021/04 18:10:38,60,46,54,1023,-0.92,0.36,0.96,-0.44,-0.02,0.64,3.05,4.73,-1.52,5,Estratificado
21/2021/04 18:10:41,74,69,53,1023,-0.06,0.29,0.84,-0.47,-0.01,0.66,2.91,3.79,-1.62,5,Estratificado
21/2021/04 18:10:44,71,63,54,1023,0.07,0.29,0.85,-0.49,-0.01,0.64,3.94,4.06,-0.44,5,Estratificado
21/2021/04 18:10:47,62,53,53,1023,-0.24,0.29,1.00,-0.43,-0.00,0.64,3.95,1.95,-0.34,5,Estratificado
21/2021/04 18:10:50,58,44,53,1023,-0.87,0.28,0.83,-0.37,-0.03,0.61,4.27,2.62,-0.13,5,Estratificado
21/2021/04 18:10:53,56,40,53,1023,-0.28,0.29,0.74,-0.39,-0.01,0.62,4.52,2.07,0.02,5,Estratificado
