data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 13:15:31,29,13,27,1003,0.05,0.29,0.84,-0.38,0.00,0.61,3.82,4.50,-0.60,5,Estratificado
21/2021/04 13:15:31,28,17,27,1005,-2.00,0.28,0.76,-0.42,0.04,0.63,2.77,5.27,-1.17,5,Estratificado
21/2021/04 13:15:31,41,30,27,1023,-0.65,0.31,0.83,-0.47,-0.02,0.66,3.52,2.23,-0.95,5,Estratificado
21/2021/04 13:15:33,39,24,27,1004,0.22,0.34,0.83,-0.43,0.04,0.62,3.93,2.87,-0.42,5,Estratificado
21/2021/04 13:15:36,24,9,26,1012,-1.18,0.28,0.78,-0.34,0.01,0.67,3.48,6.07,-0.03,5,Estratificado
21/2021/04 13:15:39,29,16,26,1014,0.10,0.33,0.84,-0.44,0.01,0.64,3.31,3.43,-1.02,5,Estratificado
21/2021/04 13:15:42,50,37,27,1016,-0.00,0.32,0.77,-0.39,0.05,0.62,3.96,3.69,-0.57,5,Estratificado
21/2021/04 13:15:45,27,12,27,1013,0.68,0.30,0.88,-0.34,0.01,0.61,4.39,3.55,-0.34,5,Estratificado
21/2021/04 13:15:48,28,15,26,1021,-0.51,0.27,0.81,-0.43,-0.03,0.67,4.53,2.39,-0.35,5,Estratificado
21/2021/04 13:15:51,44,36,27,1023,-0.87,0.27,0.82,-0.49,-0.03,0.67,3.29,1.96,-1.45,5,Estratificado
21/2021/04 13:15:54,28,10,27,1015,0.16,0.26,0.90,-0.35,0.02,0.60,4.31,4.18,-0.39,5,Estratificado
21/2021/04 13:15:57,27,16,27,1023,-0.05,0.27,0.78,-0.44,-0.01,0.65,3.15,4.92,-0.84,5,Estratificado
21/2021/04 13:16:00,54,35,27,1023,-0.23,0.28,0.69,-0.45,-0.03,0.66,3.54,2.91,-0.79,5,Estratificado
21/2021/04 13:16:03,28,13,27,1019,-0.47,0.27,0.90,-0.35,0.01,0.61,4.20,3.78,-0.50,5,Estratificado
21/2021/04 13:16:06,27,13,27,1023,-0.28,0.27,0.82,-0.44,-0.04,0.64,3.12,4.48,-1.00,5,Estratificado
21/2021/04 13:16:09,40,37,27,1023,-0.37,0.28,0.68,-0.40,0.06,0.66,3.19,2.69,-1.63,5,Estratificado
21/2021/04 13:16:12,39,27,27,1023,-0.48,0.28,0.81,-0.42,-0.00,0.64,3.93,2.61,-0.53,5,Estratificado
21/2021/04 13:16:15,27,8,28,1021,0.09,0.27,0.87,-0.34,0.03,0.60,3.99,6.16,0.08,5,Estratificado
21/2021/04 13:16:18,29,17,28,1023,0.08,0.27,0.77,-0.45,0.02,0.65,2.73,4.51,-1.15,5,Estratificado
21/2021/04 13:16:21,46,36,28,1023,0.63,0.25,0.79,-0.45,-0.02,0.66,3.32,2.87,-0.99,5,Estratificado
21/2021/04 13:16:24,29,12,28,1023,0.67,0.25,0.75,-0.37,0.02,0.62,4.22,3.71,-0.26,5,Estratificado
21/2021/04 13:16:27,28,8,26,1023,1.25,0.25,0.69,-0.41,0.03,0.63,3.64,5.12,-0.31,5,Estratificado
21/2021/04 13:16:30,38,22,27,1023,0.28,0.40,0.85,-0.44,0.00,0.64,-3.93,-3.93,-3.93,5,Estratificado
21/2021/04 13:16:33,43,30,27,1023,-1.39,0.37,0.83,-0.44,0.02,0.64,3.16,4.87,-1.19,5,Estratificado
21/2021/04 13:16:36,30,12,26,1023,-1.25,0.30,0.74,-0.37,0.05,0.62,3.81,4.61,-0.50,5,Estratificado
21/2021/04 13:16:39,29,17,26,1023,0.03,0.42,0.78,-0.44,0.03,0.64,3.05,3.89,-1.34,5,Estratificado
21/2021/04 13:16:42,43,35,28,1023,-0.14,0.26,0.78,-0.44,-0.03,0.64,3.40,2.59,-1.03,5,Estratificado
21/2021/04 13:16:45,37,22,28,1021,-0.17,0.26,0.74,-0.41,0.03,0.63,3.82,3.25,-0.58,5,Estratificado
21/2021/04 13:16:48,30,15,28,1023,0.27,0.25,0.88,-0.42,-0.02,0.63,3.68,4.42,-0.21,5,Estratificado
21/2021/04 13:16:52,28,14,27,1023,0.07,0.26,0.78,-0.44,0.03,0.64,3.22,4.22,-1.22,5,Estratificado
21/2021/04 13:16:54,32,19,28,1023,-0.08,0.25,0.80,-0.45,-0.00,0.65,3.17,2.90,-0.82,5,Estratificado
21/2021/04 13:16:57,49,35,27,1023,-2.00,0.34,0.79,-0.43,-0.02,0.65,3.82,2.21,-0.95,5,Estratificado
21/2021/04 13:17:00,36,21,27,1023,-0.44,0.26,0.82,-0.43,-0.00,0.62,3.90,1.76,-0.14,5,Estratificado
21/2021/04 13:17:04,28,15,27,1023,-0.63,0.23,0.65,-0.38,0.04,0.60,4.21,4.02,-0.60,5,Estratificado
21/2021/04 13:17:07,28,16,27,1023,-0.24,0.22,0.75,-0.42,0.00,0.64,3.44,5.50,-0.58,5,Estratificado
21/2021/04 13:17:10,36,27,27,1023,-2.00,0.22,0.71,-0.45,0.05,0.67,3.18,2.70,-1.37,5,Estratificado
21/2021/04 13:17:13,40,29,28,1023,-0.07,0.22,0.77,-0.43,-0.02,0.65,3.99,2.58,-0.40,5,Estratificado
21/2021/04 13:17:16,23,12,27,1023,-0.21,0.22,0.68,-0.38,0.02,0.61,4.23,3.83,0.30,5,Estratificado
21/2021/04 13:17:19,29,16,28,1023,-0.57,0.21,0.81,-0.41,-0.02,0.65,2.65,6.78,-0.79,5,Estratificado
21/2021/04 13:17:22,42,34,27,1023,0.20,0.21,0.72,-0.40,0.04,0.66,3.83,2.96,-0.75,5,Estratificado
21/2021/04 13:17:25,28,12,27,1023,0.12,0.22,0.81,-0.38,0.00,0.61,4.29,4.66,-0.12,5,Estratificado
21/2021/04 13:17:28,32,18,28,1023,-0.64,0.27,0.71,-0.43,-0.03,0.63,3.37,4.63,-0.94,5,Estratificado
21/2021/04 13:17:31,42,34,28,1023,-0.19,0.22,0.85,-0.45,0.01,0.65,3.08,3.89,-1.11,5,Estratificado
21/2021/04 13:17:34,27,12,27,1023,0.30,0.21,0.69,-0.39,0.05,0.61,3.74,4.69,-0.37,5,Estratificado
21/2021/04 13:17:37,30,19,27,1023,-0.48,0.20,0.77,-0.45,-0.02,0.67,3.22,1.90,-0.78,5,Estratificado
21/2021/04 13:17:40,36,24,27,1023,-0.46,0.21,0.66,-0.42,0.01,0.63,4.07,2.34,-0.61,5,Estratificado
21/2021/04 13:17:43,26,7,26,1023,0.57,0.21,0.71,-0.33,0.01,0.63,3.73,6.31,1.09,5,Estratificado
21/2021/04 13:17:46,39,23,27,1023,-0.02,0.20,0.78,-0.48,-0.01,0.67,2.90,2.59,-1.36,5,Estratificado
21/2021/04 13:17:49,41,24,27,1023,2.00,0.21,0.69,-0.40,0.00,0.62,4.12,2.63,-0.52,5,Estratificado
21/2021/04 13:17:52,24,11,28,1023,0.14,0.21,0.79,-0.37,0.00,0.61,3.98,4.76,-0.21,5,Estratificado
21/2021/04 13:17:55,31,19,27,1023,-0.82,0.21,0.57,-0.47,-0.05,0.62,4.21,-3.25,0.10,5,Estratificado
21/2021/04 13:17:58,45,31,27,1023,0.13,0.20,0.80,-0.43,0.00,0.66,3.79,2.57,-0.54,5,Estratificado
21/2021/04 13:18:01,29,15,27,1023,0.36,0.20,0.75,-0.38,-0.02,0.61,3.61,4.27,-0.42,5,Estratificado
21/2021/04 13:18:04,28,18,28,1023,-2.00,0.20,0.68,-0.46,0.01,0.66,2.60,5.75,-1.27,5,Estratificado
21/2021/04 13:18:07,41,33,27,1023,-0.14,0.20,0.75,-0.46,0.03,0.67,3.31,2.52,-0.97,5,Estratificado
21/2021/04 13:18:10,35,20,27,1023,-0.50,0.19,0.81,-0.39,0.04,0.63,4.31,2.73,0.02,5,Estratificado
21/2021/04 13:18:13,24,10,27,1023,0.18,0.24,0.69,-0.39,0.02,0.62,3.60,4.65,-0.46,5,Estratificado
21/2021/04 13:18:16,31,15,27,1023,0.84,0.19,0.74,-0.43,0.02,0.64,2.57,3.46,-1.34,5,Estratificado
21/2021/04 13:18:19,46,35,27,1023,-0.08,0.21,0.65,-0.46,-0.00,0.65,3.04,2.94,-1.08,5,Estratificado
21/2021/04 13:18:22,25,11,26,1023,0.31,0.19,0.81,-0.36,0.01,0.60,4.34,3.74,-0.28,5,Estratificado
21/2021/04 13:18:25,20,11,27,1023,0.45,0.19,0.65,-0.39,-0.01,0.61,3.32,5.78,-0.86,5,Estratificado
21/2021/04 13:18:28,37,29,27,1023,-0.35,0.20,0.62,-0.48,-0.04,0.66,3.08,3.08,-1.53,5,Estratificado
21/2021/04 13:18:31,31,23,27,1022,0.05,0.19,0.77,-0.39,-0.02,0.63,4.04,3.18,-0.57,5,Estratificado
21/2021/04 13:18:34,22,7,27,1023,-0.00,0.19,0.82,0.00,0.00,0.00,0.00,0.00,0.00,5,Estratificado
