data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 16:51:18,148,133,123,1023,-0.88,0.42,0.82,-0.43,0.01,0.66,2.82,2.08,-0.50,2,Estratificado
19/2021/04 16:51:18,129,115,122,1023,-1.73,0.42,0.75,-0.40,0.02,0.63,3.21,3.10,-0.24,2,Estratificado
19/2021/04 16:51:18,130,116,121,1023,0.30,0.43,0.92,-0.39,-0.00,0.64,2.61,4.56,-1.41,2,Estratificado
19/2021/04 16:51:18,129,117,117,1023,-0.01,0.43,1.17,-0.41,0.01,0.66,2.89,3.15,-0.66,2,Estratificado
19/2021/04 16:51:18,130,119,120,1023,0.06,0.42,0.90,-0.42,0.02,0.66,3.11,3.35,-0.37,2,Estratificado
19/2021/04 16:51:18,137,125,121,1023,-0.66,0.42,0.80,-0.42,0.00,0.65,3.26,2.21,-0.21,2,Estratificado
19/2021/04 16:51:18,130,119,121,1023,-0.20,0.42,0.83,-0.39,0.01,0.62,2.72,3.76,-1.03,2,Estratificado
19/2021/04 16:51:18,134,124,123,1023,-0.29,0.42,0.76,-0.44,-0.01,0.65,3.04,2.29,-0.57,2,Estratificado
19/2021/04 16:51:18,130,116,120,1023,0.15,0.42,0.87,-0.37,0.00,0.62,2.98,4.53,-0.73,2,Estratificado
19/2021/04 16:51:18,139,124,120,1023,0.61,0.42,0.72,-0.44,-0.02,0.66,2.75,0.75,0.21,2,Estratificado
19/2021/04 16:51:18,128,117,117,1023,0.45,0.42,0.83,-0.44,0.01,0.66,3.38,2.26,-0.29,2,Estratificado
19/2021/04 16:51:18,125,112,118,1023,-0.24,0.42,0.95,-0.38,0.00,0.63,3.02,4.38,-0.73,2,Estratificado
19/2021/04 16:51:18,135,123,123,1023,-0.14,0.43,0.80,-0.41,-0.02,0.64,2.80,3.44,-1.15,2,Estratificado
19/2021/04 16:51:18,135,124,117,1023,-0.75,0.42,0.91,-0.44,0.01,0.66,3.29,1.55,-0.56,2,Estratificado
19/2021/04 16:51:21,129,112,122,1023,-0.23,0.43,1.19,-0.40,0.00,0.65,3.03,2.10,-0.83,2,Estratificado
19/2021/04 16:51:24,128,113,118,1023,-0.02,0.51,1.50,-0.38,-0.02,0.64,3.47,2.13,-0.46,2,Estratificado
19/2021/04 16:51:27,144,131,125,1023,-0.07,0.42,1.23,-0.44,0.01,0.65,3.40,1.85,-0.15,2,Estratificado
19/2021/04 16:51:30,132,115,126,1023,-0.22,0.42,1.10,-0.37,0.01,0.63,2.98,4.43,-0.95,2,Estratificado
19/2021/04 16:51:33,143,130,126,1023,0.34,0.46,1.47,-0.41,0.03,0.65,2.26,4.72,-1.49,2,Estratificado
19/2021/04 16:51:36,129,116,122,1023,-0.60,0.43,0.95,-0.44,0.01,0.64,3.32,2.67,-0.27,2,Estratificado
19/2021/04 16:51:39,126,110,120,1023,0.00,0.42,0.84,-0.40,0.01,0.64,2.39,4.10,-1.01,2,Estratificado
19/2021/04 16:51:42,143,135,124,1023,0.44,0.42,0.90,-0.44,0.03,0.65,2.79,2.21,-1.15,2,Estratificado
19/2021/04 16:51:45,126,112,122,1023,-0.56,0.42,0.75,-0.38,-0.00,0.66,2.85,2.95,-0.91,2,Estratificado
19/2021/04 16:51:48,131,118,124,1023,-0.64,0.42,0.73,-0.40,-0.01,0.65,2.64,4.21,-0.85,2,Estratificado
19/2021/04 16:51:51,135,136,124,1023,-0.25,0.42,0.68,-0.38,-0.02,0.63,3.09,2.12,-0.49,2,Estratificado
19/2021/04 16:51:54,124,110,120,1023,0.89,0.41,0.81,-0.39,0.02,0.64,3.27,2.99,0.02,2,Estratificado
19/2021/04 16:51:57,129,117,122,1023,-1.39,0.41,0.91,-0.37,-0.03,0.60,4.37,4.33,1.19,2,Estratificado
19/2021/04 16:52:00,142,132,123,1023,-0.67,0.41,0.85,-0.44,0.00,0.67,2.70,1.73,-0.75,2,Estratificado
19/2021/04 16:52:03,127,112,122,1023,-0.18,0.42,0.79,-0.38,-0.00,0.62,2.92,3.53,-0.82,2,Estratificado
19/2021/04 16:52:06,136,119,123,1023,0.11,0.41,0.76,-0.40,0.00,0.66,2.53,4.38,-1.34,2,Estratificado
19/2021/04 16:52:09,138,128,124,1023,-1.44,0.41,0.77,-0.44,-0.01,0.66,3.27,2.29,0.04,2,Estratificado
19/2021/04 16:52:12,128,112,123,1023,-0.17,0.41,0.80,-0.40,-0.00,0.64,2.98,3.21,-0.65,2,Estratificado
19/2021/04 16:52:15,131,117,121,1023,0.00,0.41,0.83,-0.41,0.00,0.65,2.53,3.22,-1.19,2,Estratificado
19/2021/04 16:52:18,138,128,121,1023,-1.30,0.41,0.83,-0.44,-0.01,0.66,3.27,1.97,-0.27,2,Estratificado
19/2021/04 16:52:21,127,112,121,1023,0.76,0.43,1.04,-0.39,0.01,0.63,2.97,3.68,-0.72,2,Estratificado
19/2021/04 16:52:24,125,113,118,1023,-0.55,0.41,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2,Estratificado
19/2021/04 16:52:27,138,129,115,1023,-1.88,0.42,0.82,-0.45,0.01,0.68,3.01,3.40,-0.73,2,Estratificado
19/2021/04 16:52:30,127,112,121,1023,0.08,0.41,0.90,-0.41,0.01,0.64,3.07,2.91,-0.55,2,Estratificado
19/2021/04 16:52:33,123,111,116,1023,-0.10,0.41,0.79,-0.39,-0.00,0.64,2.53,3.92,-1.08,2,Estratificado
19/2021/04 16:52:36,135,128,118,1023,-0.04,0.41,0.72,-0.42,0.01,0.65,3.18,2.15,-0.62,2,Estratificado
19/2021/04 16:52:39,125,108,117,1023,0.18,0.40,0.75,-0.40,0.01,0.64,3.11,3.31,-0.40,2,Estratificado
19/2021/04 16:52:42,119,105,111,1023,-0.02,0.40,0.82,-0.39,0.02,0.64,2.16,4.41,-1.57,2,Estratificado
19/2021/04 16:52:45,134,124,114,1023,-0.09,0.41,0.76,-0.43,-0.00,0.66,3.20,2.32,-0.20,2,Estratificado
19/2021/04 16:52:48,118,104,114,1023,-1.24,0.41,0.76,-0.37,0.07,0.63,1.92,-1.18,-2.16,2,Estratificado
19/2021/04 16:52:51,125,114,114,1023,-0.83,0.41,0.80,-0.43,0.01,0.65,2.73,3.14,-1.08,2,Estratificado
19/2021/04 16:52:54,120,107,110,1023,0.48,0.41,0.69,-0.42,-0.00,0.66,3.38,2.29,0.02,2,Estratificado
19/2021/04 16:52:57,119,104,114,1023,-1.79,0.40,0.83,-0.38,0.02,0.64,2.76,3.89,-0.89,2,Estratificado
19/2021/04 16:53:00,139,127,114,1023,-0.71,0.41,0.77,-0.39,0.00,0.65,3.40,1.29,0.76,2,Estratificado
19/2021/04 16:53:03,120,105,115,1023,-0.08,0.41,0.75,-0.41,0.01,0.64,3.27,3.37,-0.27,2,Estratificado
19/2021/04 16:53:06,123,112,115,1023,-0.11,0.40,0.77,-0.40,0.02,0.65,2.42,4.35,-1.15,2,Estratificado
19/2021/04 16:53:09,128,120,115,1023,-0.80,0.41,0.73,-0.43,-0.01,0.66,2.33,2.94,-1.47,2,Estratificado
19/2021/04 16:53:12,126,115,111,1023,0.46,0.41,0.80,-0.44,-0.00,0.66,3.31,1.50,-0.34,2,Estratificado
19/2021/04 16:53:15,115,111,115,1023,-1.82,0.41,0.72,-0.40,0.04,0.67,2.16,4.08,-1.81,2,Estratificado
19/2021/04 16:53:18,125,113,117,1023,-0.06,0.41,0.74,-0.36,-0.01,0.62,2.56,4.05,-0.95,2,Estratificado
19/2021/04 16:53:21,135,126,126,1023,-0.02,0.41,0.70,-0.41,0.00,0.66,2.93,2.07,-0.76,2,Estratificado
19/2021/04 16:53:24,120,112,122,1020,0.85,0.40,0.79,-0.40,0.01,0.65,3.00,3.90,-0.64,2,Estratificado
19/2021/04 16:53:27,123,112,119,1023,-0.16,0.41,0.71,-0.38,0.02,0.63,2.22,5.59,-1.56,2,Estratificado
19/2021/04 16:53:30,136,127,121,1023,-1.00,0.41,0.73,-0.48,-0.01,0.68,3.13,1.90,-0.87,2,Estratificado
19/2021/04 16:53:33,125,107,119,1023,0.24,0.41,0.79,-0.39,0.01,0.63,3.27,3.76,-0.64,2,Estratificado
19/2021/04 16:53:36,116,104,104,1023,-0.29,0.41,0.72,-0.40,0.03,0.64,2.53,3.09,0.05,2,Estratificado
19/2021/04 16:53:39,121,108,104,1023,0.11,0.41,0.82,-0.45,-0.00,0.66,3.13,1.66,-0.42,2,Estratificado
19/2021/04 16:53:42,113,103,107,1023,0.13,0.41,0.74,-0.39,0.00,0.63,2.61,5.02,-0.73,2,Estratificado
19/2021/04 16:53:45,119,106,110,1023,-0.58,0.41,0.69,-0.41,-0.02,0.65,2.68,3.73,-1.35,2,Estratificado
