data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 17:03:41,109,97,96,1023,-0.16,0.49,0.97,-0.42,-0.01,0.64,3.42,2.23,-0.69,2,Plug
19/2021/04 17:03:41,99,89,100,1023,0.56,0.49,0.94,-0.40,-0.02,0.63,3.69,3.44,-0.06,2,Plug
19/2021/04 17:03:41,109,93,99,1023,0.07,0.50,0.91,-0.38,0.03,0.64,2.68,5.19,-1.31,2,Plug
19/2021/04 17:03:41,113,102,98,1023,-0.24,0.49,0.93,-0.45,0.00,0.65,3.74,0.85,-0.34,2,Plug
19/2021/04 17:03:41,97,82,95,1023,-1.80,0.49,0.93,-0.42,-0.14,0.58,4.01,-0.49,-0.82,2,Plug
19/2021/04 17:03:42,108,98,99,1023,-0.81,0.49,0.83,-0.42,-0.01,0.64,2.95,4.40,-1.47,2,Plug
19/2021/04 17:03:45,107,94,97,1023,0.01,0.49,0.94,-0.44,-0.02,0.69,4.02,2.01,-0.05,2,Plug
19/2021/04 17:03:48,106,95,99,1023,0.12,0.49,0.91,-0.40,0.02,0.63,3.39,3.90,-0.67,2,Plug
19/2021/04 17:03:51,107,95,98,1023,0.27,0.49,0.99,-0.47,0.02,0.68,2.44,1.18,-1.19,2,Plug
19/2021/04 17:03:54,116,97,98,1023,0.66,0.49,0.88,-0.45,0.01,0.65,3.73,2.51,-0.21,2,Plug
19/2021/04 17:03:57,116,92,98,1023,-0.43,0.49,0.97,-0.41,-0.01,0.64,3.83,3.02,-0.24,2,Plug
19/2021/04 17:04:00,107,96,97,1023,-0.38,0.49,0.92,-0.41,0.02,0.65,2.89,4.34,-1.34,2,Plug
19/2021/04 17:04:03,117,109,99,1023,0.16,0.49,0.91,-0.42,0.01,0.64,3.37,2.58,-0.54,2,Plug
19/2021/04 17:04:06,104,91,101,1023,0.11,0.49,0.86,-0.41,-0.02,0.62,3.32,4.76,-0.16,2,Plug
19/2021/04 17:04:09,103,94,100,1023,-0.97,0.49,0.92,-0.38,0.04,0.63,2.75,3.56,-1.40,2,Plug
19/2021/04 17:04:12,117,107,97,1023,-1.96,0.49,0.92,-0.44,0.01,0.65,3.64,2.56,-0.20,2,Plug
19/2021/04 17:04:15,107,91,101,1023,-0.77,0.49,0.91,-0.38,0.02,0.62,3.53,4.60,-0.39,2,Plug
19/2021/04 17:04:18,105,93,102,1023,0.05,0.49,0.95,-0.38,-0.00,0.64,2.62,4.99,-1.76,2,Plug
19/2021/04 17:04:21,113,105,97,1023,-1.08,0.49,0.94,-0.43,0.02,0.66,3.69,1.48,-0.41,2,Plug
