data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 20:39:28,48,32,31,1023,0.10,0.58,1.20,-0.37,0.01,0.65,3.46,0.80,-1.56,5,Golfada
18/2021/04 20:39:28,30,20,32,1023,-0.24,0.57,1.25,-0.42,0.00,0.63,3.98,3.02,-0.59,5,Golfada
18/2021/04 20:39:28,22,20,31,1023,-0.58,0.57,1.29,-0.39,0.01,0.64,3.24,5.66,-0.54,5,Golfada
18/2021/04 20:39:28,42,29,31,1023,0.15,0.58,1.22,-0.47,0.01,0.69,3.63,5.06,-1.34,5,Golfada
18/2021/04 20:39:28,31,18,31,1023,-0.80,0.57,1.27,-0.41,0.04,0.64,4.08,3.41,0.11,5,Golfada
18/2021/04 20:39:28,36,18,30,1023,0.17,0.57,1.30,-0.37,0.04,0.62,3.65,4.88,-0.73,5,Golfada
18/2021/04 20:39:28,39,28,30,1023,-0.13,0.58,1.19,-0.43,0.02,0.65,3.07,2.88,-1.58,5,Golfada
18/2021/04 20:39:28,43,25,31,1023,-0.07,0.58,1.28,-0.42,0.03,0.63,3.92,3.08,-0.16,5,Golfada
18/2021/04 20:39:28,33,20,31,1023,-0.93,0.61,1.30,-0.45,0.01,0.64,3.85,4.66,-0.02,5,Golfada
18/2021/04 20:39:29,35,23,31,1023,-1.92,0.57,1.30,-0.46,0.03,0.66,3.50,3.95,-0.71,5,Golfada
18/2021/04 20:39:32,42,29,31,1023,0.21,0.57,1.25,-0.49,-0.01,0.65,4.33,-0.58,0.04,5,Golfada
18/2021/04 20:39:35,33,21,32,1023,-0.36,0.57,1.35,-0.46,-0.00,0.65,4.21,2.56,-0.26,5,Golfada
18/2021/04 20:39:38,30,20,31,1023,1.13,0.58,1.16,-0.37,0.00,0.61,3.53,5.27,-0.48,5,Golfada
18/2021/04 20:39:41,36,24,31,1023,0.35,0.57,1.25,-0.43,0.02,0.64,3.07,3.57,-1.31,5,Golfada
18/2021/04 20:39:44,39,24,31,1023,-0.10,0.58,1.18,-0.42,-0.00,0.65,4.19,2.40,-0.21,5,Golfada
18/2021/04 20:39:47,35,22,31,1023,-0.43,0.57,1.20,-0.38,0.01,0.64,4.21,5.08,-0.03,5,Golfada
18/2021/04 20:39:50,43,27,30,1023,-0.09,0.57,1.23,-0.39,0.01,0.59,3.63,3.85,-0.82,5,Golfada
18/2021/04 20:39:53,43,28,31,1023,0.47,0.57,1.25,-0.41,-0.03,0.66,3.76,2.14,-0.47,5,Golfada
18/2021/04 20:39:56,34,14,31,1023,-1.04,0.57,1.23,-0.39,0.00,0.62,3.54,6.82,-0.63,5,Golfada
18/2021/04 20:39:59,35,22,32,1023,-0.67,0.57,1.31,-0.53,-0.01,0.68,4.22,4.60,0.21,5,Golfada
18/2021/04 20:40:02,51,37,31,1023,-0.47,0.57,1.28,-0.51,0.02,0.61,2.82,13.47,-0.80,5,Golfada
18/2021/04 20:40:05,32,17,32,1023,-1.20,0.57,1.31,-0.37,-0.01,0.62,4.34,3.72,-0.01,5,Golfada
18/2021/04 20:40:08,26,15,32,1023,0.12,0.58,1.26,-0.44,-0.02,0.63,4.47,4.34,0.26,5,Golfada
18/2021/04 20:40:11,36,25,31,1023,-0.33,0.58,1.29,-0.44,-0.02,0.65,3.43,4.82,-0.89,5,Golfada
18/2021/04 20:40:14,49,33,31,1023,-1.43,0.57,1.27,-0.52,-0.07,0.58,3.98,-4.59,1.98,5,Golfada
18/2021/04 20:40:17,26,14,35,1023,1.52,0.58,1.29,-0.39,-0.01,0.62,4.16,3.14,0.27,5,Golfada
18/2021/04 20:40:20,34,21,35,1023,-0.89,0.57,1.27,-0.43,-0.11,0.72,4.53,-5.07,-1.39,5,Golfada
18/2021/04 20:40:23,44,36,31,1023,-0.07,0.58,1.21,-0.43,-0.02,0.66,3.93,3.46,-0.50,5,Golfada
18/2021/04 20:40:26,32,17,33,1023,-2.00,0.57,1.27,-0.38,0.02,0.61,3.78,3.81,-0.30,5,Golfada
18/2021/04 20:40:29,36,21,32,1023,2.00,0.57,1.32,-0.41,0.01,0.65,3.02,3.96,-0.76,5,Golfada
18/2021/04 20:40:32,58,39,31,1023,0.02,0.57,1.28,-0.40,-0.05,0.64,3.37,2.34,-1.59,5,Golfada
18/2021/04 20:40:35,31,16,31,1023,-0.83,0.58,1.22,-0.42,0.01,0.64,4.05,2.85,-0.51,5,Golfada
18/2021/04 20:40:38,32,15,32,1023,-2.00,0.57,1.16,-0.44,-0.03,0.63,3.85,-0.28,0.85,5,Golfada
18/2021/04 20:40:41,41,31,31,1023,0.34,0.58,1.25,-0.46,-0.00,0.65,2.77,4.61,-1.24,5,Golfada
18/2021/04 20:40:44,34,22,31,1023,-0.70,0.57,1.27,-0.42,-0.01,0.63,3.71,2.64,-1.40,5,Golfada
18/2021/04 20:40:47,28,15,32,1023,-0.26,0.57,1.23,-0.41,0.01,0.55,3.26,3.90,0.21,5,Golfada
18/2021/04 20:40:50,48,38,31,1023,-1.47,0.58,1.25,-0.56,-0.06,0.71,3.99,-0.50,0.16,5,Golfada
18/2021/04 20:40:53,32,18,31,1023,-2.00,0.57,1.21,-0.41,0.03,0.61,3.88,4.96,-0.15,5,Golfada
18/2021/04 20:40:56,35,23,32,1023,-0.67,0.58,1.28,-0.44,0.05,0.65,3.15,3.81,-1.03,5,Golfada
18/2021/04 20:40:59,46,34,32,1023,-0.21,0.58,1.26,0.00,0.00,0.00,0.00,0.00,0.00,5,Golfada
18/2021/04 20:41:02,29,14,31,1023,-2.00,0.59,1.31,-0.37,0.01,0.68,3.08,-0.72,-1.16,5,Golfada
18/2021/04 20:41:05,35,21,31,1023,0.26,0.57,1.25,-0.50,0.02,0.67,2.23,4.81,-2.20,5,Golfada
18/2021/04 20:41:08,51,38,33,1023,-1.02,0.58,1.26,-0.43,0.03,0.65,4.08,1.96,-0.12,5,Golfada
18/2021/04 20:41:11,29,18,32,1023,-0.45,0.57,1.21,-0.36,0.05,0.62,3.95,4.92,-0.56,5,Golfada
18/2021/04 20:41:14,29,16,32,1023,0.14,0.57,1.28,-0.41,0.06,0.64,3.60,5.12,-0.61,5,Golfada
18/2021/04 20:41:17,39,29,33,1023,-2.00,0.57,1.28,-0.43,0.02,0.61,3.11,2.95,-2.76,5,Golfada
18/2021/04 20:41:20,39,30,31,1023,-1.03,0.57,1.20,-0.42,0.04,0.65,4.02,2.29,-2.05,5,Golfada
18/2021/04 20:41:23,23,14,31,1023,0.37,0.57,1.28,-0.38,0.03,0.63,3.86,4.98,-0.39,5,Golfada
18/2021/04 20:41:26,39,30,33,1023,-1.19,0.57,1.23,-0.47,-0.02,0.66,3.34,2.37,-0.93,5,Golfada
18/2021/04 20:41:29,31,21,31,1023,-0.09,0.57,1.20,-0.43,-0.00,0.65,4.06,2.38,-0.45,5,Golfada
18/2021/04 20:41:32,46,17,32,1023,-0.30,0.57,1.27,-0.39,-0.03,0.59,4.15,3.53,-0.78,5,Golfada
18/2021/04 20:41:35,47,37,32,1023,-2.00,0.57,1.28,-0.47,0.00,0.60,4.07,3.76,-2.54,5,Golfada
18/2021/04 20:41:38,30,15,31,1023,0.44,0.57,1.21,-0.42,0.01,0.62,4.09,4.79,-0.47,5,Golfada
18/2021/04 20:41:41,34,20,31,1023,-1.12,0.57,1.26,-0.38,-0.06,0.60,3.55,3.17,-0.66,5,Golfada
18/2021/04 20:41:44,38,39,32,1023,-1.43,0.57,1.24,-0.43,-0.02,0.65,3.96,2.49,-0.71,5,Golfada
18/2021/04 20:41:47,36,17,32,1023,-0.96,0.57,1.19,-0.37,0.02,0.61,3.82,4.98,-0.78,5,Golfada
18/2021/04 20:41:50,31,20,30,1023,-0.55,0.57,1.24,-0.43,-0.02,0.64,3.48,3.65,-0.62,5,Golfada
18/2021/04 20:41:53,50,38,31,1023,-0.73,0.57,1.21,-0.50,0.05,0.64,2.53,1.71,0.35,5,Golfada
18/2021/04 20:41:56,31,15,31,1023,-2.00,0.57,1.19,-0.37,-0.02,0.63,4.02,5.15,-1.31,5,Golfada
18/2021/04 20:41:59,40,14,31,1023,-0.08,0.57,1.23,-0.44,0.04,0.63,3.28,5.33,-0.37,5,Golfada
18/2021/04 20:42:02,44,34,31,1023,1.90,0.57,1.23,-0.43,-0.03,0.65,3.07,3.80,-1.40,5,Golfada
18/2021/04 20:42:05,42,25,30,1023,-0.81,0.57,1.23,-0.40,0.06,0.65,3.96,1.93,-0.31,5,Golfada
18/2021/04 20:42:08,30,13,31,1023,0.51,0.57,1.19,-0.45,0.01,0.69,3.08,3.42,-1.05,5,Golfada
18/2021/04 20:42:11,34,21,31,1023,-0.26,0.57,1.28,-0.42,0.03,0.65,3.27,3.91,-1.11,5,Golfada
18/2021/04 20:42:14,43,38,31,1023,-0.13,0.57,1.22,-0.42,-0.02,0.65,3.66,3.18,-0.50,5,Golfada
18/2021/04 20:42:17,33,18,32,1023,0.66,0.57,1.21,-0.30,0.00,0.61,4.76,2.40,1.35,5,Golfada
18/2021/04 20:42:20,34,20,30,1023,-0.75,0.57,1.27,-0.43,-0.04,0.64,3.07,3.67,-1.59,5,Golfada
18/2021/04 20:42:23,41,31,31,1023,-1.04,0.58,1.17,-0.44,0.01,0.66,3.07,4.53,-1.60,5,Golfada
18/2021/04 20:42:26,33,14,32,1023,0.17,0.58,1.19,-0.40,0.03,0.64,3.04,4.59,-0.97,5,Golfada
18/2021/04 20:42:29,49,38,32,1023,-0.68,0.58,1.22,-0.47,-0.00,0.66,3.67,2.87,-1.27,5,Golfada
