data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 21:51:53,67,50,67,1023,0.61,0.21,0.63,-0.41,0.00,0.62,3.66,4.66,-0.62,4,Estratificado
21/2021/04 21:51:53,69,56,66,1023,-0.03,0.21,0.52,-0.42,-0.00,0.63,3.01,3.79,-1.00,4,Estratificado
21/2021/04 21:51:54,74,66,63,1023,-0.52,0.21,0.54,-0.41,-0.01,0.64,3.76,2.11,-0.46,4,Estratificado
21/2021/04 21:51:57,68,51,67,1023,0.14,0.21,0.64,-0.39,0.00,0.63,3.76,4.61,-0.60,4,Estratificado
21/2021/04 21:52:00,62,44,64,1023,-0.51,0.22,0.61,-0.45,0.03,0.65,3.22,4.47,-0.74,4,Estratificado
21/2021/04 21:52:03,72,59,64,1023,0.94,0.21,0.60,-0.41,0.03,0.63,3.30,3.05,-1.11,4,Estratificado
21/2021/04 21:52:06,82,72,65,1023,-0.82,0.21,0.63,-0.41,-0.01,0.64,4.18,3.52,-0.45,4,Estratificado
21/2021/04 21:52:09,66,50,65,1023,0.20,0.21,0.60,-0.40,-0.00,0.61,3.93,4.15,-0.79,4,Estratificado
21/2021/04 21:52:12,70,47,67,1023,-0.11,0.21,0.52,-0.41,0.01,0.63,3.35,5.48,-1.26,4,Estratificado
21/2021/04 21:52:15,70,57,66,1023,-1.66,0.21,0.63,-0.43,-0.02,0.63,3.53,3.02,-1.00,4,Estratificado
21/2021/04 21:52:18,85,73,66,1023,-0.55,0.21,0.49,-0.41,-0.01,0.65,3.82,3.79,-0.57,4,Estratificado
21/2021/04 21:52:21,64,48,64,1023,-2.00,0.21,0.67,-0.39,-0.00,0.61,4.07,4.63,-0.54,4,Estratificado
21/2021/04 21:52:24,60,46,65,1023,0.18,0.21,0.61,-0.43,-0.02,0.64,3.52,4.74,-0.76,4,Estratificado
21/2021/04 21:52:27,69,55,66,1023,0.04,0.21,0.56,-0.42,-0.03,0.62,3.72,2.65,-0.81,4,Estratificado
21/2021/04 21:52:30,79,73,65,1023,0.05,0.21,0.54,-0.42,-0.01,0.65,3.58,2.70,-0.89,4,Estratificado
21/2021/04 21:52:33,81,71,66,1023,0.76,0.21,0.57,-0.42,0.01,0.64,4.02,3.35,-0.27,4,Estratificado
21/2021/04 21:52:36,61,47,63,1023,-1.72,0.20,0.69,-0.40,0.01,0.62,3.88,4.52,-0.48,4,Estratificado
21/2021/04 21:52:39,69,45,65,1023,0.15,0.20,0.58,-0.43,-0.01,0.64,3.27,4.48,-1.02,4,Estratificado
21/2021/04 21:52:42,67,56,65,1023,-0.84,0.20,0.52,-0.43,-0.04,0.62,3.91,3.25,-0.87,4,Estratificado
21/2021/04 21:52:45,79,72,64,1023,1.22,0.20,0.67,-0.42,-0.05,0.61,3.67,2.28,-1.19,4,Estratificado
21/2021/04 21:52:48,73,59,65,1023,-0.00,0.20,0.44,-0.43,0.01,0.65,4.02,3.75,-0.82,4,Estratificado
21/2021/04 21:52:51,66,47,64,1023,0.74,0.20,0.67,-0.43,-0.01,0.64,3.62,4.79,-0.47,4,Estratificado
21/2021/04 21:52:54,68,54,65,1023,-0.57,0.20,0.63,-0.42,0.02,0.63,3.02,3.73,-1.22,4,Estratificado
21/2021/04 21:52:57,82,74,65,1023,0.96,0.20,0.57,-0.41,0.01,0.65,3.79,3.60,-0.63,4,Estratificado
21/2021/04 21:53:00,67,50,65,1023,0.14,0.21,0.55,-0.39,-0.02,0.61,4.27,4.40,-0.40,4,Estratificado
21/2021/04 21:53:03,58,46,66,1023,-0.13,0.20,0.49,-0.41,0.03,0.64,3.53,4.90,-0.79,4,Estratificado
21/2021/04 21:53:06,69,54,66,1023,0.23,0.20,0.62,-0.44,0.01,0.64,3.75,3.46,-0.91,4,Estratificado
21/2021/04 21:53:09,77,74,64,1023,-0.59,0.20,0.49,-0.43,-0.02,0.62,4.00,3.36,-1.45,4,Estratificado
21/2021/04 21:53:12,76,64,66,1023,0.45,0.19,0.68,-0.42,-0.00,0.64,3.82,3.68,-0.48,4,Estratificado
21/2021/04 21:53:15,66,51,65,1023,-0.21,0.20,0.47,-0.41,-0.02,0.63,3.89,4.53,-0.64,4,Estratificado
21/2021/04 21:53:18,60,46,64,1023,0.70,0.20,0.62,-0.44,0.04,0.65,3.39,4.09,-0.82,4,Estratificado
21/2021/04 21:53:21,68,55,64,1023,0.10,0.20,0.52,-0.42,-0.01,0.63,3.48,3.26,-1.24,4,Estratificado
21/2021/04 21:53:24,86,72,65,1023,-1.09,0.19,0.62,-0.43,-0.06,0.65,3.76,3.40,-0.69,4,Estratificado
21/2021/04 21:53:27,65,51,65,1023,0.10,0.20,0.49,-0.40,-0.01,0.63,3.88,4.16,-0.16,4,Estratificado
21/2021/04 21:53:30,63,45,63,1023,-1.71,0.20,0.62,-0.42,0.02,0.60,3.05,6.30,-0.79,4,Estratificado
21/2021/04 21:53:33,70,54,67,1023,0.29,0.19,0.48,-0.43,0.02,0.63,3.31,3.00,-0.82,4,Estratificado
21/2021/04 21:53:36,86,73,65,1023,0.33,0.19,0.56,-0.41,-0.03,0.63,3.97,3.40,-0.42,4,Estratificado
21/2021/04 21:53:39,68,48,64,1023,-2.00,0.19,0.60,-0.37,-0.00,0.63,3.36,5.27,-0.23,4,Estratificado
21/2021/04 21:53:42,71,54,66,1023,0.44,0.16,0.61,-0.43,0.03,0.64,3.43,3.44,-0.69,4,Estratificado
21/2021/04 21:53:45,76,77,67,1023,-0.24,0.13,0.45,-0.42,0.00,0.64,3.89,3.29,-0.69,4,Estratificado
21/2021/04 21:53:48,71,48,65,1023,-1.25,0.13,0.37,-0.39,0.02,0.62,3.89,4.51,-0.40,4,Estratificado
21/2021/04 21:53:51,63,45,65,1023,0.82,0.13,0.55,-0.42,-0.01,0.64,3.56,4.37,-0.82,4,Estratificado
21/2021/04 21:53:54,72,58,65,1023,-0.05,0.13,0.53,-0.40,0.02,0.64,3.44,2.89,-0.92,4,Estratificado
21/2021/04 21:53:57,77,72,64,1023,-0.35,0.13,0.50,-0.41,-0.00,0.64,3.66,3.81,-0.67,4,Estratificado
21/2021/04 21:54:00,66,51,63,1023,-0.17,0.13,0.48,-0.42,0.01,0.64,3.87,4.13,-0.60,4,Estratificado
21/2021/04 21:54:03,71,47,64,1023,-0.16,0.13,0.56,-0.42,0.04,0.64,3.81,4.89,-0.64,4,Estratificado
21/2021/04 21:54:06,67,53,67,1023,0.01,0.13,0.38,-0.44,0.00,0.65,3.34,3.69,-1.18,4,Estratificado
21/2021/04 21:54:09,69,56,65,1023,-0.21,0.12,0.56,-0.42,-0.01,0.64,3.37,3.07,-1.11,4,Estratificado
21/2021/04 21:54:12,78,74,65,1023,-0.00,0.13,0.39,-0.46,-0.00,0.67,4.05,2.25,-0.27,4,Estratificado
21/2021/04 21:54:15,74,63,65,1023,-0.50,0.12,0.50,-0.41,0.01,0.61,3.86,3.48,-0.50,4,Estratificado
21/2021/04 21:54:18,66,49,65,1023,-0.98,0.13,0.36,-0.41,-0.01,0.61,3.83,5.04,-0.47,4,Estratificado
21/2021/04 21:54:21,61,46,65,1023,-0.17,0.12,0.65,-0.43,0.01,0.64,3.60,4.03,-0.75,4,Estratificado
21/2021/04 21:54:24,72,57,64,1023,0.54,0.13,0.57,-0.42,-0.01,0.64,3.49,3.12,-0.92,4,Estratificado
21/2021/04 21:54:27,77,70,65,1023,-0.88,0.13,0.39,-0.40,-0.01,0.65,3.92,3.79,-0.44,4,Estratificado
21/2021/04 21:54:30,64,48,64,1023,0.07,0.13,0.48,-0.40,0.01,0.61,3.86,3.83,-0.64,4,Estratificado
21/2021/04 21:54:33,68,56,66,1023,0.21,0.12,0.54,-0.44,0.01,0.64,3.37,3.21,-1.07,4,Estratificado
21/2021/04 21:54:36,79,75,65,1023,-0.24,0.12,0.46,-0.42,-0.00,0.66,3.63,3.00,-0.84,4,Estratificado
21/2021/04 21:54:39,72,56,65,1023,0.03,0.13,0.32,-0.42,-0.00,0.62,4.02,3.92,-0.45,4,Estratificado
21/2021/04 21:54:42,63,48,64,1023,0.42,0.12,0.42,-0.41,0.02,0.63,3.89,4.63,-0.51,4,Estratificado
21/2021/04 21:54:45,66,51,65,1023,-0.27,0.13,0.53,-0.44,-0.00,0.63,3.18,3.50,-0.85,4,Estratificado
21/2021/04 21:54:48,81,66,67,1023,-0.33,0.13,0.30,-0.44,0.00,0.65,3.31,2.82,-1.12,4,Estratificado
21/2021/04 21:54:51,75,68,64,1023,1.29,0.13,0.56,-0.41,-0.04,0.64,4.03,3.55,-0.36,4,Estratificado
21/2021/04 21:54:54,66,48,64,1023,-0.29,0.12,0.66,-0.40,0.00,0.62,4.04,4.55,-0.43,4,Estratificado
