data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 23:54:46,43,28,39,1023,0.02,0.39,1.03,-0.45,-0.03,0.63,3.46,3.24,-1.31,5,Golfada
19/2021/04 23:54:46,51,36,38,1023,-2.00,0.39,1.06,-0.42,-0.00,0.65,3.18,3.69,-1.92,5,Golfada
19/2021/04 23:54:46,53,46,37,1023,-1.47,0.40,1.06,-0.44,0.03,0.67,3.54,3.29,-0.77,5,Golfada
19/2021/04 23:54:46,43,30,39,1023,-1.68,0.40,1.00,-0.40,0.01,0.61,4.12,3.83,-0.21,5,Golfada
19/2021/04 23:54:46,39,25,38,1023,0.24,0.40,0.95,-0.42,0.04,0.64,3.98,5.20,-0.66,5,Golfada
19/2021/04 23:54:47,38,25,38,1023,-2.00,0.40,1.05,-0.39,0.01,0.63,3.66,5.01,-0.84,5,Golfada
19/2021/04 23:54:50,44,30,37,1023,0.25,0.40,1.02,-0.39,-0.01,0.63,3.47,4.84,-0.93,5,Golfada
19/2021/04 23:54:53,43,28,40,1023,2.00,0.39,1.06,-0.42,0.00,0.63,3.06,4.24,-1.53,5,Golfada
19/2021/04 23:54:56,41,27,37,1023,-2.00,0.40,1.01,-0.42,0.04,0.62,2.82,4.02,-1.66,5,Golfada
19/2021/04 23:54:59,42,28,38,1023,-0.07,0.40,0.97,-0.42,0.01,0.63,3.36,4.17,-1.37,5,Golfada
19/2021/04 23:55:02,42,29,37,1023,0.13,0.40,0.99,-0.45,0.00,0.59,3.97,4.47,-1.64,5,Golfada
19/2021/04 23:55:05,46,28,38,1023,0.60,0.40,0.97,-0.41,0.02,0.63,3.42,3.37,-1.31,5,Golfada
19/2021/04 23:55:08,47,35,38,1023,0.62,0.39,1.01,-0.45,0.00,0.64,3.92,1.52,-0.65,5,Golfada
19/2021/04 23:55:11,47,45,37,1023,-0.62,0.40,1.03,-0.43,0.04,0.63,3.42,3.44,-1.57,5,Golfada
19/2021/04 23:55:14,57,48,37,1023,-2.00,0.40,0.98,-0.44,0.00,0.65,3.61,2.46,-0.93,5,Golfada
19/2021/04 23:55:17,47,41,37,1023,0.10,0.40,1.05,-0.43,0.01,0.63,3.67,3.60,-0.46,5,Golfada
19/2021/04 23:55:20,45,31,37,1023,-0.29,0.39,0.99,-0.42,-0.00,0.63,3.97,2.26,-0.38,5,Golfada
19/2021/04 23:55:23,40,20,37,1023,-0.76,0.39,0.96,-0.28,-0.05,0.51,3.38,4.58,2.18,5,Golfada
19/2021/04 23:55:26,36,23,38,1023,-0.09,0.40,1.07,-0.39,-0.05,0.62,4.18,4.53,-0.33,5,Golfada
19/2021/04 23:55:29,31,25,39,1023,-2.00,0.40,1.00,-0.50,0.11,0.69,3.63,3.31,2.86,5,Golfada
19/2021/04 23:55:32,43,26,37,1023,0.38,0.39,1.06,-0.43,-0.00,0.64,3.42,4.47,-1.17,5,Golfada
19/2021/04 23:55:35,42,28,37,1023,-0.13,0.40,0.94,-0.42,-0.01,0.62,3.05,4.21,-1.15,5,Golfada
19/2021/04 23:55:38,45,35,38,1023,-0.66,0.40,0.90,-0.44,-0.02,0.66,3.44,3.42,-1.18,5,Golfada
19/2021/04 23:55:41,53,40,38,1023,-1.62,0.40,0.84,-0.43,-0.02,0.64,3.76,2.53,-1.12,5,Golfada
19/2021/04 23:55:44,48,31,39,1023,0.23,0.42,1.06,-0.43,0.01,0.64,4.00,3.31,-0.37,5,Golfada
19/2021/04 23:55:47,41,26,38,1023,-0.46,0.39,0.94,-0.39,0.00,0.62,4.16,4.34,0.08,5,Golfada
19/2021/04 23:55:50,42,30,38,1023,-0.92,0.39,1.00,-0.36,0.04,0.60,3.85,6.74,0.02,5,Golfada
19/2021/04 23:55:53,47,34,38,1023,1.25,0.39,0.94,-0.51,0.12,0.75,0.86,4.93,-2.64,5,Golfada
19/2021/04 23:55:56,44,29,37,1023,0.20,0.41,1.11,-0.44,0.03,0.66,3.21,3.23,-1.42,5,Golfada
19/2021/04 23:55:59,53,46,38,1023,-0.87,0.39,0.96,-0.42,-0.01,0.64,3.29,0.96,-1.03,5,Golfada
19/2021/04 23:56:02,51,35,38,1023,-0.47,0.37,0.99,-0.43,-0.01,0.65,4.14,2.78,-0.52,5,Golfada
19/2021/04 23:56:05,40,24,38,1023,-0.56,0.37,1.03,-0.36,0.02,0.62,4.05,4.13,-0.08,5,Golfada
19/2021/04 23:56:08,43,25,38,1023,0.43,0.37,1.04,0.00,0.00,0.00,0.00,0.00,0.00,5,Golfada
19/2021/04 23:56:11,35,22,38,1023,-2.00,0.37,1.06,-0.34,-0.01,0.63,3.88,6.02,-0.39,5,Golfada
19/2021/04 23:56:14,45,24,38,1023,-0.69,0.37,1.03,-0.48,0.05,0.68,3.98,4.18,-0.21,5,Golfada
19/2021/04 23:56:17,41,28,38,1023,-1.49,0.40,0.97,-0.43,0.02,0.64,3.11,4.66,-2.00,5,Golfada
