data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 14:40:30,53,39,32,1023,0.34,0.30,0.54,-0.42,0.00,0.64,3.43,3.47,-0.66,1,Estratificado
21/2021/04 14:40:30,37,24,31,1023,-0.06,0.30,0.53,-0.40,0.00,0.63,4.02,2.73,-0.52,1,Estratificado
21/2021/04 14:40:30,30,16,31,1023,-0.31,0.31,0.51,-0.37,0.01,0.61,3.33,4.93,-0.46,1,Estratificado
21/2021/04 14:40:32,34,22,31,1023,0.94,0.31,0.54,-0.44,-0.01,0.64,3.02,4.33,-1.04,1,Estratificado
21/2021/04 14:40:35,48,39,31,1023,-0.70,0.31,0.52,-0.46,-0.02,0.66,3.56,2.46,-0.69,1,Estratificado
21/2021/04 14:40:38,39,29,31,1023,0.07,0.30,0.49,-0.41,-0.01,0.63,3.89,2.84,-0.45,1,Estratificado
21/2021/04 14:40:41,29,16,31,1023,-0.06,0.30,0.48,-0.38,0.01,0.61,3.80,4.50,-0.56,1,Estratificado
21/2021/04 14:40:44,30,16,32,1023,-0.44,0.29,0.46,-0.41,0.01,0.63,3.09,4.65,-0.85,1,Estratificado
21/2021/04 14:40:47,35,22,31,1023,-0.04,0.29,0.52,-0.45,-0.00,0.65,3.15,3.13,-1.26,1,Estratificado
21/2021/04 14:40:50,48,37,32,1023,0.22,0.29,0.43,-0.44,-0.01,0.66,4.09,2.47,-0.31,1,Estratificado
21/2021/04 14:40:53,31,16,31,1023,-0.32,0.31,0.47,-0.37,0.01,0.61,3.80,4.15,-0.45,1,Estratificado
21/2021/04 14:40:56,28,14,31,1023,-0.17,0.29,0.56,-0.41,0.00,0.63,3.29,5.18,-0.88,1,Estratificado
21/2021/04 14:40:59,34,19,30,1023,0.27,0.29,0.46,-0.43,-0.01,0.64,3.49,2.79,-0.69,1,Estratificado
21/2021/04 14:41:02,49,38,32,1023,-0.20,0.29,0.50,-0.42,-0.01,0.64,3.79,3.32,-0.38,1,Estratificado
21/2021/04 14:41:05,32,17,31,1023,0.12,0.29,0.56,-0.40,0.01,0.62,3.64,4.66,-0.69,1,Estratificado
21/2021/04 14:41:08,33,15,31,1023,0.18,0.29,0.48,-0.45,0.01,0.66,2.92,4.16,-1.16,1,Estratificado
21/2021/04 14:41:11,44,29,31,1023,-0.37,0.29,0.46,-0.43,-0.00,0.65,3.32,2.28,-0.78,1,Estratificado
21/2021/04 14:41:14,50,36,31,1023,0.40,0.29,0.44,-0.41,0.01,0.64,3.92,2.52,-0.30,1,Estratificado
21/2021/04 14:41:17,33,16,32,1023,-0.76,0.30,0.51,-0.40,-0.00,0.63,3.94,4.31,-0.18,1,Estratificado
21/2021/04 14:41:20,34,14,31,1023,0.04,0.28,0.52,-0.38,0.01,0.62,3.23,5.28,-0.86,1,Estratificado
