data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
22/2021/04 02:21:28,62,50,57,1013,-2.00,0.21,0.74,-0.43,0.03,0.64,3.36,2.87,-1.37,5,Estratificado
22/2021/04 02:21:28,63,49,58,1008,-2.00,0.20,0.78,-0.42,-0.03,0.63,4.36,2.75,-0.64,5,Estratificado
22/2021/04 02:21:29,62,51,57,1021,0.54,0.21,0.62,-0.41,0.01,0.63,3.62,4.57,-0.60,5,Estratificado
22/2021/04 02:21:32,61,49,57,1012,1.14,0.21,0.79,-0.45,0.01,0.65,3.44,2.40,-1.29,5,Estratificado
22/2021/04 02:21:35,65,49,57,1010,0.19,0.20,0.78,-0.41,0.01,0.63,3.95,3.18,-0.68,5,Estratificado
22/2021/04 02:21:38,65,49,56,1021,-1.23,0.21,0.74,-0.43,0.03,0.65,3.71,3.38,-0.65,5,Estratificado
22/2021/04 02:21:41,63,48,57,1012,0.51,0.21,0.63,-0.44,-0.00,0.65,3.57,3.19,-1.37,5,Estratificado
22/2021/04 02:21:44,61,48,57,1004,-0.62,0.24,0.81,-0.40,0.00,0.62,4.26,2.44,-0.37,5,Estratificado
22/2021/04 02:21:47,63,50,57,1016,0.19,0.21,0.71,-0.42,0.02,0.63,3.72,5.28,-0.44,5,Estratificado
22/2021/04 02:21:50,62,49,57,1013,0.17,0.21,0.73,-0.43,-0.03,0.62,3.34,2.85,-1.15,5,Estratificado
22/2021/04 02:21:53,62,47,56,1002,-1.54,0.25,0.83,-0.38,0.03,0.62,4.22,1.32,-0.13,5,Estratificado
22/2021/04 02:21:56,67,51,58,1016,1.22,0.21,0.63,-0.36,-0.00,0.57,4.89,1.85,-0.41,5,Estratificado
22/2021/04 02:21:59,62,48,58,1013,-1.49,0.20,0.81,-0.45,0.03,0.65,3.21,3.23,-1.25,5,Estratificado
22/2021/04 02:22:02,57,46,56,1007,0.23,0.21,0.70,-0.40,-0.03,0.63,4.01,3.82,0.23,5,Estratificado
22/2021/04 02:22:05,64,50,58,1017,0.51,0.20,0.79,-0.40,-0.01,0.63,3.90,4.86,-0.39,5,Estratificado
22/2021/04 02:22:08,62,49,58,1010,-0.07,0.21,0.69,-0.46,-0.02,0.65,3.56,2.85,-1.12,5,Estratificado
22/2021/04 02:22:11,62,49,58,1010,-0.53,0.20,0.78,-0.38,0.01,0.61,4.28,3.78,-0.50,5,Estratificado
22/2021/04 02:22:14,63,50,58,1014,0.59,0.20,0.64,-0.43,0.01,0.64,3.18,3.98,-1.18,5,Estratificado
22/2021/04 02:22:17,60,48,56,1012,-0.02,0.21,0.81,-0.40,-0.00,0.65,4.10,2.94,-0.42,5,Estratificado
22/2021/04 02:22:20,62,50,57,1018,0.24,0.20,0.61,-0.40,0.00,0.62,3.85,4.67,-0.38,5,Estratificado
22/2021/04 02:22:23,62,48,57,1010,-0.28,0.20,0.74,-0.44,0.01,0.67,3.49,2.28,-0.97,5,Estratificado
22/2021/04 02:22:26,63,51,58,1012,-0.61,0.20,0.82,-0.39,-0.00,0.61,4.26,3.09,-0.60,5,Estratificado
22/2021/04 02:22:29,60,46,57,1015,0.62,0.20,0.77,-0.44,0.02,0.62,3.45,4.28,-0.80,5,Estratificado
22/2021/04 02:22:32,60,46,56,1012,-0.30,0.20,0.66,-0.45,0.01,0.67,3.03,3.11,-1.17,5,Estratificado
22/2021/04 02:22:35,63,50,57,1010,-0.34,0.20,0.78,-0.39,-0.02,0.64,4.28,3.63,-0.08,5,Estratificado
22/2021/04 02:22:38,63,48,57,1014,0.01,0.21,0.72,-0.38,0.04,0.61,4.13,4.39,-0.24,5,Estratificado
22/2021/04 02:22:41,60,46,57,1013,-0.24,0.20,0.69,-0.44,0.01,0.64,3.46,4.05,-0.82,5,Estratificado
22/2021/04 02:22:44,62,49,57,1010,-2.00,0.27,0.68,-0.45,0.03,0.67,3.38,1.79,-0.87,5,Estratificado
22/2021/04 02:22:47,61,48,56,1017,1.14,0.21,0.76,-0.41,0.06,0.68,3.08,7.51,-0.47,5,Estratificado
22/2021/04 02:22:50,63,49,58,1014,1.70,0.20,0.84,-0.43,0.00,0.64,3.53,3.02,-0.95,5,Estratificado
22/2021/04 02:22:53,60,49,56,1010,-0.10,0.20,0.70,-0.41,-0.07,0.64,3.79,2.71,-0.54,5,Estratificado
22/2021/04 02:22:56,63,49,57,1016,-0.03,0.21,0.85,-0.37,-0.03,0.61,4.29,4.51,-0.33,5,Estratificado
22/2021/04 02:22:59,62,49,57,1013,0.80,0.21,0.78,-0.46,0.00,0.64,3.22,3.49,-1.40,5,Estratificado
22/2021/04 02:23:02,61,50,55,1013,-0.04,0.21,0.74,-0.41,0.00,0.65,4.08,3.20,-0.50,5,Estratificado
