data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 22:11:50,33,17,28,1023,-1.18,0.30,0.49,-0.40,0.05,0.64,2.80,5.94,-1.03,3,Estratificado
19/2021/04 22:11:50,33,18,29,1023,-0.10,0.30,0.59,-0.39,0.03,0.63,4.02,5.21,-0.31,3,Estratificado
19/2021/04 22:11:50,39,25,29,1023,-0.18,0.30,0.58,-0.41,0.00,0.64,3.15,4.22,-1.84,3,Estratificado
19/2021/04 22:11:50,45,36,29,1023,-0.23,0.30,0.60,-0.46,-0.00,0.66,4.13,2.69,-0.02,3,Estratificado
19/2021/04 22:11:50,35,18,29,1023,-0.32,0.30,0.65,-0.40,0.02,0.63,3.13,6.47,-0.42,3,Estratificado
19/2021/04 22:11:50,37,23,28,1023,-0.80,0.30,0.56,-0.40,-0.02,0.63,3.37,3.87,-1.23,3,Estratificado
19/2021/04 22:11:50,46,35,30,1023,-0.70,0.30,0.59,-0.42,-0.00,0.69,3.24,3.25,-0.29,3,Estratificado
19/2021/04 22:11:50,33,16,28,1023,-0.75,0.30,0.56,-0.39,0.01,0.65,4.28,3.70,-0.37,3,Estratificado
19/2021/04 22:11:50,39,23,28,1023,0.21,0.29,0.57,-0.42,-0.01,0.63,3.07,3.37,-1.46,3,Estratificado
19/2021/04 22:11:51,48,34,28,1023,-1.26,0.29,0.56,-0.45,0.01,0.65,3.94,2.48,-0.15,3,Estratificado
19/2021/04 22:11:54,30,15,28,1023,0.53,0.29,0.61,-0.38,0.03,0.62,3.82,5.37,-0.18,3,Estratificado
19/2021/04 22:11:57,37,26,28,1023,0.78,0.28,0.61,-0.40,-0.01,0.63,3.14,3.92,-1.46,3,Estratificado
19/2021/04 22:12:00,44,30,29,1023,-1.87,0.28,0.57,-0.41,-0.01,0.64,3.98,2.76,-0.54,3,Estratificado
19/2021/04 22:12:03,34,18,28,1023,1.13,0.28,0.58,-0.38,-0.01,0.62,3.84,3.96,-0.42,3,Estratificado
19/2021/04 22:12:06,25,17,29,1023,-0.22,0.28,0.52,-0.38,0.03,0.63,3.83,4.50,-0.57,3,Estratificado
19/2021/04 22:12:09,36,22,29,1023,0.16,0.28,0.58,-0.42,0.00,0.64,3.13,3.74,-1.18,3,Estratificado
19/2021/04 22:12:12,43,32,28,1023,-0.30,0.28,0.56,-0.45,0.03,0.66,3.21,2.39,-1.34,3,Estratificado
19/2021/04 22:12:15,42,24,28,1023,-0.23,0.28,0.47,-0.46,0.00,0.67,4.16,2.28,-0.15,3,Estratificado
19/2021/04 22:12:18,36,23,28,1023,-0.11,0.28,0.62,-0.38,-0.02,0.61,4.36,4.88,-0.21,3,Estratificado
19/2021/04 22:12:21,38,27,28,1023,-0.57,0.27,0.50,-0.44,0.00,0.66,3.34,4.74,-0.98,3,Estratificado
19/2021/04 22:12:24,43,32,28,1023,-0.42,0.27,0.44,-0.43,-0.00,0.65,3.32,3.01,-1.44,3,Estratificado
19/2021/04 22:12:27,34,21,29,1023,-1.10,0.26,0.58,-0.39,0.01,0.65,4.65,2.56,-0.21,3,Estratificado
19/2021/04 22:12:30,38,23,28,1023,0.36,0.27,0.52,-0.38,0.02,0.62,3.65,5.40,-0.73,3,Estratificado
19/2021/04 22:12:33,40,27,28,1023,-0.11,0.27,0.61,-0.43,-0.01,0.64,2.98,4.06,-1.55,3,Estratificado
19/2021/04 22:12:36,44,28,28,1023,-0.09,0.27,0.46,-0.42,-0.00,0.64,4.27,2.66,-0.23,3,Estratificado
19/2021/04 22:12:39,32,20,28,1023,-0.31,0.27,0.52,-0.37,0.01,0.61,3.92,3.92,-0.33,3,Estratificado
19/2021/04 22:12:42,37,23,28,1023,0.43,0.27,0.58,-0.40,0.01,0.65,3.43,5.11,-1.06,3,Estratificado
19/2021/04 22:12:45,43,29,28,1023,-1.45,0.27,0.52,-0.45,-0.01,0.65,3.24,3.24,-1.47,3,Estratificado
19/2021/04 22:12:48,45,33,29,1023,-0.15,0.26,0.51,-0.42,0.00,0.64,3.80,3.36,-0.43,3,Estratificado
19/2021/04 22:12:51,31,16,28,1023,-0.52,0.27,0.53,-0.41,0.01,0.63,4.05,4.63,-0.45,3,Estratificado
19/2021/04 22:12:54,39,27,28,1023,0.10,0.27,0.45,-0.44,0.01,0.64,3.31,3.80,-1.55,3,Estratificado
19/2021/04 22:12:57,41,29,29,1023,-0.23,0.26,0.73,-0.41,0.01,0.64,3.95,3.00,-0.45,3,Estratificado
19/2021/04 22:13:00,34,24,29,1023,0.34,0.26,0.43,-0.41,0.01,0.63,4.19,4.41,-0.37,3,Estratificado
19/2021/04 22:13:03,38,26,29,1023,-0.05,0.25,0.54,-0.41,0.02,0.64,3.18,3.85,-1.64,3,Estratificado
19/2021/04 22:13:06,36,24,28,1023,0.64,0.25,0.55,-0.43,0.04,0.65,3.79,2.53,-0.24,3,Estratificado
19/2021/04 22:13:09,42,24,29,1023,0.11,0.26,0.43,-0.38,0.01,0.62,3.98,4.94,-0.31,3,Estratificado
19/2021/04 22:13:12,43,31,28,1023,-0.35,0.26,0.53,-0.44,0.01,0.66,3.15,3.44,-1.20,3,Estratificado
19/2021/04 22:13:15,35,19,29,1023,0.44,0.25,0.52,-0.39,0.01,0.62,4.42,3.03,0.00,3,Estratificado
19/2021/04 22:13:18,35,17,29,1023,-0.09,0.26,0.50,-0.39,-0.00,0.63,3.50,4.85,-0.72,3,Estratificado
19/2021/04 22:13:21,36,23,29,1023,-0.98,0.26,0.53,-0.42,-0.00,0.64,3.21,3.75,-1.37,3,Estratificado
19/2021/04 22:13:24,46,31,28,1023,-0.25,0.27,0.52,-0.42,-0.00,0.64,3.53,2.28,-0.98,3,Estratificado
19/2021/04 22:13:27,34,19,29,1023,-2.00,0.27,0.51,-0.41,0.01,0.63,3.99,3.63,-0.39,3,Estratificado
19/2021/04 22:13:30,32,23,29,1023,-2.00,0.27,0.44,-0.38,-0.00,0.61,3.92,4.62,-0.44,3,Estratificado
19/2021/04 22:13:33,43,27,28,1023,-0.22,0.26,0.54,-0.43,0.01,0.65,3.03,4.60,-1.09,3,Estratificado
19/2021/04 22:13:36,48,30,29,1023,-0.16,0.25,0.47,-0.44,-0.00,0.64,3.31,3.28,-1.49,3,Estratificado
19/2021/04 22:13:39,41,28,30,1023,0.01,0.26,0.46,-0.44,-0.00,0.65,3.84,2.95,-0.25,3,Estratificado
19/2021/04 22:13:42,36,23,29,1023,0.67,0.25,0.50,-0.38,-0.00,0.62,4.11,4.47,-0.49,3,Estratificado
19/2021/04 22:13:45,45,26,29,1023,-0.33,0.25,0.44,-0.40,0.02,0.64,3.02,5.44,-1.54,3,Estratificado
19/2021/04 22:13:48,42,30,29,1023,-0.27,0.26,0.57,-0.44,0.01,0.65,3.13,2.97,-1.40,3,Estratificado
19/2021/04 22:13:51,36,23,29,1023,-2.00,0.26,0.45,-0.42,-0.00,0.64,4.53,1.79,0.29,3,Estratificado
19/2021/04 22:13:54,36,25,30,1023,-0.33,0.25,0.56,-0.38,-0.01,0.61,4.09,5.06,0.05,3,Estratificado
19/2021/04 22:13:57,45,33,30,1023,-0.22,0.25,0.56,-0.49,-0.02,0.65,2.73,3.93,-1.08,3,Estratificado
19/2021/04 22:14:00,35,18,30,1023,-0.54,0.25,0.47,-0.42,-0.01,0.64,4.22,3.60,-0.06,3,Estratificado
19/2021/04 22:14:03,38,27,29,1023,1.41,0.25,0.56,-0.42,0.03,0.65,3.66,4.98,-0.63,3,Estratificado
19/2021/04 22:14:06,46,34,31,1023,1.48,0.25,0.50,-0.46,0.00,0.67,3.29,2.20,-1.37,3,Estratificado
19/2021/04 22:14:09,36,23,30,1023,-0.29,0.25,0.42,-0.45,0.00,0.65,3.87,2.69,-0.56,3,Estratificado
19/2021/04 22:14:12,34,25,29,1023,0.36,0.25,0.56,-0.40,0.01,0.62,3.89,5.10,-0.70,3,Estratificado
19/2021/04 22:14:15,41,29,29,1023,-2.00,0.24,0.48,-0.45,0.00,0.66,3.20,3.82,-1.07,3,Estratificado
19/2021/04 22:14:18,58,34,30,1023,-0.17,0.24,0.48,-0.44,0.00,0.66,3.52,2.34,-1.16,3,Estratificado
19/2021/04 22:14:21,39,24,30,1023,-0.93,0.24,0.41,-0.45,0.01,0.66,4.21,2.82,-0.13,3,Estratificado
19/2021/04 22:14:24,36,25,31,1023,0.72,0.25,0.33,-0.36,0.00,0.61,3.85,4.89,-0.31,3,Estratificado
19/2021/04 22:14:27,41,29,31,1023,-0.00,0.24,0.54,-0.40,-0.01,0.64,2.99,2.42,-1.65,3,Estratificado
19/2021/04 22:14:30,46,33,31,1023,0.10,0.24,0.56,-0.47,0.01,0.67,3.41,2.41,-1.23,3,Estratificado
19/2021/04 22:14:33,38,25,31,1023,0.13,0.24,0.39,-0.43,0.00,0.64,4.20,2.37,0.15,3,Estratificado
19/2021/04 22:14:36,39,26,31,1023,-0.38,0.24,0.56,-0.39,0.03,0.62,4.04,4.76,-0.53,3,Estratificado
19/2021/04 22:14:39,41,26,30,1023,-0.17,0.24,0.44,-0.44,0.00,0.64,3.19,4.38,-1.28,3,Estratificado
19/2021/04 22:14:42,40,29,30,1023,0.83,0.24,0.56,-0.42,-0.00,0.64,3.04,3.84,-1.66,3,Estratificado
19/2021/04 22:14:45,57,44,31,1023,-0.09,0.24,0.54,-0.45,-0.00,0.64,3.97,4.56,-1.21,3,Estratificado
19/2021/04 22:14:48,42,25,31,1023,0.60,0.24,0.53,-0.45,-0.06,0.65,4.01,2.40,0.09,3,Estratificado
19/2021/04 22:14:51,38,24,32,1023,-0.08,0.24,0.41,-0.41,0.03,0.62,4.03,4.30,-0.58,3,Estratificado
