data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 17:48:34,110,96,99,1023,0.81,0.28,0.72,-0.44,0.01,0.63,2.96,3.73,-1.93,4,Estratificado
21/2021/04 17:48:34,120,112,101,1023,-0.35,0.28,0.79,-0.43,-0.01,0.64,3.81,2.44,-0.56,4,Estratificado
21/2021/04 17:48:34,111,97,98,1023,0.28,0.28,0.76,-0.41,-0.00,0.64,3.69,3.38,-0.09,4,Estratificado
21/2021/04 17:48:34,112,92,101,1023,1.17,0.28,0.72,-0.44,-0.01,0.67,3.93,3.29,0.76,4,Estratificado
21/2021/04 17:48:36,101,93,99,1023,1.57,0.28,0.81,-0.37,0.01,0.61,2.98,4.37,-1.00,4,Estratificado
21/2021/04 17:48:39,106,91,99,1023,-0.24,0.27,0.93,-0.45,0.01,0.64,2.75,4.34,-1.24,4,Estratificado
21/2021/04 17:48:42,116,108,96,1023,0.82,0.28,0.74,-0.44,0.01,0.64,3.85,2.06,-0.53,4,Estratificado
21/2021/04 17:48:45,110,102,98,1023,1.72,0.28,0.76,-0.44,-0.01,0.64,4.15,2.34,0.08,4,Estratificado
21/2021/04 17:48:48,99,83,95,1021,0.13,0.28,0.74,-0.39,-0.01,0.61,4.09,3.37,0.16,4,Estratificado
21/2021/04 17:48:51,99,84,99,1023,0.33,0.28,0.81,-0.41,-0.02,0.63,3.14,5.08,-0.95,4,Estratificado
21/2021/04 17:48:54,107,94,101,1023,-0.59,0.28,0.80,-0.43,0.00,0.63,3.38,3.86,-1.29,4,Estratificado
21/2021/04 17:48:57,110,101,99,1023,0.40,0.28,0.78,-0.43,-0.02,0.64,3.66,1.98,-0.56,4,Estratificado
21/2021/04 17:49:00,118,112,98,1023,0.41,0.28,0.81,-0.44,-0.00,0.65,3.57,2.48,-0.65,4,Estratificado
21/2021/04 17:49:03,111,103,96,1023,0.20,0.30,0.81,-0.42,0.00,0.62,4.44,2.20,0.01,4,Estratificado
21/2021/04 17:49:06,105,89,101,1023,0.29,0.43,0.77,-0.42,0.01,0.64,3.00,4.25,-1.41,4,Estratificado
21/2021/04 17:49:09,102,88,98,1023,-1.23,0.43,0.94,-0.39,0.02,0.62,4.21,2.42,0.03,4,Estratificado
21/2021/04 17:49:12,106,96,99,1023,-0.34,0.38,0.75,-0.45,-0.00,0.64,2.97,4.44,-1.45,4,Estratificado
21/2021/04 17:49:15,115,104,107,1023,2.00,0.28,0.83,-0.46,-0.01,0.66,3.00,2.99,-1.10,4,Estratificado
21/2021/04 17:49:18,120,112,102,1023,0.27,0.28,0.73,-0.41,-0.03,0.63,3.79,2.85,-0.50,4,Estratificado
21/2021/04 17:49:21,104,87,99,1023,0.01,0.28,0.78,-0.39,-0.02,0.62,3.92,3.58,-0.63,4,Estratificado
21/2021/04 17:49:24,106,89,101,1023,-1.83,0.27,0.72,-0.40,-0.00,0.62,3.48,4.44,-0.85,4,Estratificado
21/2021/04 17:49:27,99,89,95,1023,-0.06,0.28,0.71,-0.41,-0.04,0.64,3.55,3.39,-1.10,4,Estratificado
21/2021/04 17:49:30,115,106,95,1023,0.72,0.27,0.77,-0.43,0.01,0.65,3.97,2.20,-0.53,4,Estratificado
21/2021/04 17:49:33,108,98,96,1023,0.49,0.28,0.70,-0.41,0.01,0.64,3.87,2.85,0.05,4,Estratificado
21/2021/04 17:49:36,107,92,101,1023,0.08,0.27,0.67,-0.38,-0.03,0.62,3.88,4.63,-0.55,4,Estratificado
21/2021/04 17:49:39,102,81,96,1023,-0.55,0.27,0.74,-0.18,-0.03,0.51,5.42,-3.39,-1.31,4,Estratificado
21/2021/04 17:49:42,104,93,101,1023,-0.80,0.27,0.72,-0.41,-0.03,0.64,2.92,4.38,-1.37,4,Estratificado
21/2021/04 17:49:45,111,99,99,1023,-0.07,0.27,0.77,-0.46,0.12,0.60,1.14,8.16,-1.88,4,Estratificado
21/2021/04 17:49:48,118,110,96,1023,0.17,0.28,0.67,-0.35,-0.04,0.61,4.05,3.54,-1.35,4,Estratificado
21/2021/04 17:49:51,104,85,98,1018,1.61,0.27,0.89,-0.38,0.01,0.61,3.91,4.17,-0.37,4,Estratificado
21/2021/04 17:49:54,104,87,101,1023,-0.08,0.28,0.63,-0.41,0.00,0.65,3.31,4.75,-0.57,4,Estratificado
21/2021/04 17:49:57,109,93,101,1023,-0.13,0.27,0.85,-0.44,-0.01,0.63,2.91,4.05,-1.21,4,Estratificado
21/2021/04 17:50:00,124,114,101,1023,-0.05,0.27,0.78,-0.45,0.00,0.64,3.48,2.43,-1.11,4,Estratificado
21/2021/04 17:50:03,111,98,95,1023,0.55,0.27,0.69,-0.39,-0.02,0.61,4.05,2.88,-0.34,4,Estratificado
21/2021/04 17:50:06,103,88,98,1023,1.57,0.28,0.58,-0.37,0.11,0.60,2.82,4.93,-0.36,4,Estratificado
21/2021/04 17:50:09,101,82,98,1023,0.07,0.27,0.80,-0.31,0.03,0.58,3.24,4.23,-1.43,4,Estratificado
21/2021/04 17:50:12,104,90,98,1023,-0.06,0.27,0.75,-0.46,-0.03,0.69,3.71,2.54,-0.54,4,Estratificado
21/2021/04 17:50:15,115,102,95,1023,0.01,0.27,0.80,-0.45,-0.03,0.64,3.42,2.84,-0.57,4,Estratificado
21/2021/04 17:50:18,119,109,101,1023,0.27,0.27,0.79,-0.43,-0.01,0.64,4.11,2.13,-0.51,4,Estratificado
21/2021/04 17:50:21,103,86,99,1018,0.23,0.27,0.72,-0.39,-0.00,0.64,4.61,2.21,-0.02,4,Estratificado
21/2021/04 17:50:24,102,87,97,1023,0.25,0.27,0.81,-0.39,0.02,0.62,3.71,4.21,-0.64,4,Estratificado
21/2021/04 17:50:27,102,86,99,1023,0.14,0.27,0.68,-0.43,0.01,0.65,3.22,4.24,-0.88,4,Estratificado
21/2021/04 17:50:30,103,87,95,1023,0.72,0.27,0.73,-0.43,0.01,0.63,3.22,3.82,-1.02,4,Estratificado
21/2021/04 17:50:33,108,100,98,1023,-1.85,0.27,0.79,-0.46,0.02,0.65,3.46,2.18,-0.91,4,Estratificado
21/2021/04 17:50:36,116,109,96,1023,-0.24,0.28,0.76,-0.42,0.03,0.67,3.73,3.31,-0.40,4,Estratificado
21/2021/04 17:50:39,111,102,100,1016,0.30,0.27,0.69,-0.41,-0.00,0.63,3.85,3.42,-0.12,4,Estratificado
21/2021/04 17:50:42,103,92,102,1023,0.18,0.28,0.72,-0.38,0.04,0.61,3.79,3.75,-0.89,4,Estratificado
21/2021/04 17:50:45,106,88,102,1023,-0.01,0.27,0.81,-0.42,-0.00,0.64,3.11,4.72,-0.95,4,Estratificado
21/2021/04 17:50:48,105,92,99,1023,0.54,0.27,0.70,-0.43,0.03,0.65,3.11,3.49,-0.92,4,Estratificado
21/2021/04 17:50:51,118,109,99,1023,-0.64,0.27,0.70,-0.43,-0.00,0.64,3.71,2.34,-0.65,4,Estratificado
21/2021/04 17:50:54,112,104,99,1023,0.73,0.27,0.88,-0.38,0.03,0.64,4.02,1.79,-0.46,4,Estratificado
21/2021/04 17:50:57,103,86,98,1023,-0.29,0.27,0.78,-0.39,0.01,0.61,3.50,5.20,-1.05,4,Estratificado
21/2021/04 17:51:00,102,86,98,1023,0.27,0.27,0.74,-0.40,0.01,0.63,3.58,4.48,-0.34,4,Estratificado
21/2021/04 17:51:03,105,92,98,1023,0.24,0.28,0.66,-0.44,0.01,0.64,3.12,4.09,-1.26,4,Estratificado
21/2021/04 17:51:06,107,94,99,1023,-0.45,0.27,0.78,-0.40,0.01,0.61,3.74,2.45,-0.65,4,Estratificado
21/2021/04 17:51:09,115,107,99,1023,-1.88,0.28,0.68,-0.43,-0.00,0.64,3.69,2.10,-0.82,4,Estratificado
21/2021/04 17:51:12,108,96,98,1023,0.13,0.27,0.75,-0.42,-0.01,0.64,3.85,2.95,-0.28,4,Estratificado
21/2021/04 17:51:15,105,86,99,1023,0.34,0.26,0.84,-0.38,0.03,0.61,3.82,4.27,-0.82,4,Estratificado
21/2021/04 17:51:18,109,92,102,1023,-0.81,0.27,0.69,-0.39,0.00,0.62,3.42,4.81,-0.74,4,Estratificado
21/2021/04 17:51:21,104,90,98,1023,0.94,0.27,0.86,-0.42,0.03,0.64,2.94,4.08,-1.23,4,Estratificado
21/2021/04 17:51:24,107,95,98,1023,0.17,0.27,0.69,-0.44,-0.02,0.64,3.20,2.79,-0.99,4,Estratificado
21/2021/04 17:51:27,119,111,101,1023,-0.07,0.27,0.76,-0.41,-0.00,0.63,3.87,2.70,-0.75,4,Estratificado
21/2021/04 17:51:30,118,108,98,1023,0.10,0.27,0.78,-0.41,0.01,0.64,3.76,3.11,-0.31,4,Estratificado
21/2021/04 17:51:33,113,104,97,1023,-0.14,0.28,0.63,-0.43,0.01,0.66,3.98,2.80,0.01,4,Estratificado
21/2021/04 17:51:36,105,93,95,1016,-0.74,0.27,0.78,-0.41,0.02,0.64,4.02,2.65,-0.11,4,Estratificado
