data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
22/2021/04 01:42:26,61,46,54,1009,0.78,0.21,0.35,-0.42,-0.00,0.63,3.55,4.35,-0.88,2,Estratificado
22/2021/04 01:42:26,60,44,55,1006,-0.08,0.21,0.43,-0.46,-0.02,0.65,3.44,3.24,-0.98,2,Estratificado
22/2021/04 01:42:26,60,46,57,1003,0.41,0.21,0.29,-0.44,0.01,0.66,3.59,3.40,-1.01,2,Estratificado
22/2021/04 01:42:26,59,47,55,1003,-0.14,0.21,0.45,-0.41,-0.01,0.64,4.01,3.61,-0.58,2,Estratificado
22/2021/04 01:42:28,61,48,55,1004,-0.34,0.22,0.38,-0.41,-0.00,0.62,4.21,3.25,-0.08,2,Estratificado
22/2021/04 01:42:31,60,48,56,1007,0.01,0.21,0.38,-0.41,0.00,0.62,3.65,4.10,-0.70,2,Estratificado
22/2021/04 01:42:34,60,48,55,1007,-0.35,0.21,0.37,-0.46,-0.01,0.64,3.34,3.37,-1.12,2,Estratificado
22/2021/04 01:42:37,61,48,56,1004,-0.02,0.21,0.39,-0.44,-0.01,0.67,3.70,2.67,-0.89,2,Estratificado
22/2021/04 01:42:40,61,48,57,1004,0.04,0.22,0.35,-0.41,0.01,0.64,4.01,3.53,-0.32,2,Estratificado
22/2021/04 01:42:43,63,49,56,1006,0.03,0.22,0.36,-0.38,0.00,0.62,3.70,4.10,-0.86,2,Estratificado
22/2021/04 01:42:46,60,45,55,1006,-0.17,0.22,0.36,-0.42,0.01,0.64,3.36,4.36,-0.69,2,Estratificado
22/2021/04 01:42:49,59,45,55,1007,-0.11,0.25,0.28,-0.43,-0.00,0.64,3.27,3.22,-0.91,2,Estratificado
22/2021/04 01:42:52,63,48,55,1004,0.59,0.21,0.47,-0.40,0.00,0.63,4.04,3.10,-0.57,2,Estratificado
22/2021/04 01:42:55,60,48,55,1006,-0.41,0.20,0.33,-0.41,0.00,0.63,4.12,3.79,-0.57,2,Estratificado
22/2021/04 01:42:58,60,46,55,1008,0.32,0.20,0.35,-0.42,0.00,0.63,3.37,4.29,-0.91,2,Estratificado
22/2021/04 01:43:01,59,45,56,1007,-0.19,0.19,0.36,-0.45,-0.00,0.63,3.37,2.91,-1.11,2,Estratificado
22/2021/04 01:43:04,55,46,54,1003,-0.31,0.20,0.31,-0.39,0.00,0.63,4.00,3.11,-0.50,2,Estratificado
22/2021/04 01:43:07,59,50,55,1006,0.05,0.19,0.37,-0.41,-0.01,0.62,3.91,3.43,-0.56,2,Estratificado
22/2021/04 01:43:10,61,47,56,1008,-0.02,0.21,0.37,-0.43,0.02,0.63,3.74,4.16,-0.69,2,Estratificado
22/2021/04 01:43:13,57,46,54,1008,-0.34,0.20,0.31,-0.44,-0.01,0.62,3.33,3.24,-1.44,2,Estratificado
22/2021/04 01:43:16,60,48,55,1005,0.16,0.20,0.35,-0.43,-0.02,0.65,3.89,2.96,-0.54,2,Estratificado
22/2021/04 01:43:19,63,50,56,1005,0.11,0.21,0.37,-0.41,0.01,0.62,4.11,3.58,-0.44,2,Estratificado
22/2021/04 01:43:22,61,48,55,1010,-0.46,0.21,0.30,-0.41,-0.00,0.62,3.61,4.30,-0.60,2,Estratificado
22/2021/04 01:43:25,60,44,57,1007,0.02,0.21,0.37,-0.45,-0.00,0.64,3.52,3.44,-1.14,2,Estratificado
22/2021/04 01:43:28,58,44,55,1007,-0.12,0.21,0.37,-0.41,-0.00,0.64,3.77,3.05,-0.90,2,Estratificado
