data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 17:32:16,107,92,100,1023,-0.07,0.74,1.19,-0.41,0.01,0.63,3.59,3.59,-0.40,1,Plug
19/2021/04 17:32:16,107,94,101,1023,1.24,0.74,1.18,-0.40,0.01,0.65,3.02,3.85,-1.26,1,Plug
19/2021/04 17:32:16,120,109,101,1023,-0.19,0.73,1.18,-0.45,0.01,0.65,3.49,2.58,-0.44,1,Plug
19/2021/04 17:32:16,106,91,101,1023,-0.48,0.74,1.19,-0.43,0.01,0.64,4.12,2.89,0.09,1,Plug
19/2021/04 17:32:16,104,90,100,1023,-0.48,0.74,1.17,-0.44,0.04,0.67,2.55,4.62,-1.30,1,Plug
19/2021/04 17:32:18,124,111,101,1023,-0.56,0.74,1.17,-0.44,0.00,0.66,2.96,3.71,-0.93,1,Plug
19/2021/04 17:32:21,109,98,104,1023,0.38,0.74,1.19,-0.43,-0.01,0.64,4.00,2.97,0.39,1,Plug
19/2021/04 17:32:24,106,89,101,1023,0.22,0.73,1.18,-0.40,0.00,0.64,3.34,4.50,-0.98,1,Plug
19/2021/04 17:32:27,109,95,101,1023,-1.43,0.73,1.20,-0.39,0.00,0.63,3.01,2.92,-0.26,1,Plug
19/2021/04 17:32:30,120,110,98,1023,-1.37,0.74,1.19,-0.43,-0.01,0.64,3.67,3.31,0.05,1,Plug
19/2021/04 17:32:33,105,92,101,1023,0.93,0.74,1.17,-0.40,0.02,0.65,3.82,3.00,-0.02,1,Plug
19/2021/04 17:32:36,109,89,101,1023,-0.85,0.73,1.19,-0.41,0.01,0.65,3.32,4.64,-0.35,1,Plug
19/2021/04 17:32:39,106,91,98,1023,-1.60,0.74,1.16,-0.38,0.00,0.62,2.69,4.43,-1.78,1,Plug
19/2021/04 17:32:42,127,112,100,1023,1.30,0.74,1.19,-0.43,0.01,0.64,3.47,3.99,-0.86,1,Plug
19/2021/04 17:32:45,109,91,101,1023,-0.41,0.74,1.19,-0.39,0.00,0.63,3.50,3.78,-0.73,1,Plug
19/2021/04 17:32:48,98,86,99,1023,1.48,0.74,1.15,-0.44,0.01,0.65,2.95,4.70,-1.53,1,Plug
19/2021/04 17:32:51,116,100,100,1023,0.14,0.73,1.19,-0.44,-0.01,0.64,3.20,3.57,-1.25,1,Plug
19/2021/04 17:32:54,117,107,101,1023,1.55,0.74,1.18,-0.45,0.01,0.66,3.78,2.56,-0.18,1,Plug
19/2021/04 17:32:57,107,90,101,1023,1.42,0.73,1.18,-0.38,-0.00,0.61,3.35,3.81,-0.71,1,Plug
19/2021/04 17:33:00,110,95,103,1023,1.25,0.73,1.18,-0.40,0.01,0.63,2.91,4.44,-1.73,1,Plug
19/2021/04 17:33:03,123,110,103,1023,-1.88,0.73,1.18,-0.44,0.01,0.65,3.66,3.25,-0.32,1,Plug
19/2021/04 17:33:06,105,89,101,1023,1.63,0.73,1.17,-0.35,0.02,0.62,3.32,4.58,-1.50,1,Plug
19/2021/04 17:33:09,121,108,104,1023,-0.65,0.74,1.20,-0.45,-0.00,0.65,3.03,3.73,-1.23,1,Plug
19/2021/04 17:33:12,109,96,104,1023,1.28,0.73,1.19,-0.41,-0.01,0.64,3.71,3.69,-0.32,1,Plug
19/2021/04 17:33:15,106,90,103,1023,-0.04,0.74,1.19,-0.41,0.02,0.64,3.11,4.40,-1.08,1,Plug
