data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 22:15:14,73,67,65,1023,0.39,0.20,0.62,-0.44,0.01,0.65,3.86,2.74,-0.53,5,Estratificado
21/2021/04 22:15:14,66,49,64,1023,0.06,0.20,0.79,-0.42,-0.02,0.63,3.47,5.05,-0.84,5,Estratificado
21/2021/04 22:15:14,78,66,65,1023,0.05,0.20,0.67,-0.44,-0.03,0.66,3.45,2.89,-0.85,5,Estratificado
21/2021/04 22:15:15,67,50,65,1023,-0.55,0.20,0.66,-0.40,-0.00,0.62,4.07,3.95,-0.57,5,Estratificado
21/2021/04 22:15:18,66,52,65,1023,-0.43,0.19,0.69,-0.43,0.03,0.65,3.22,4.06,-0.99,5,Estratificado
21/2021/04 22:15:21,81,76,66,1023,0.97,0.20,0.56,-0.42,-0.01,0.65,3.04,4.53,-0.37,5,Estratificado
21/2021/04 22:15:24,64,48,64,1023,-0.99,0.20,0.74,-0.38,0.11,0.63,4.11,3.98,-0.50,5,Estratificado
21/2021/04 22:15:27,67,51,65,1023,-0.64,0.19,0.74,-0.45,-0.00,0.59,3.11,0.82,-1.55,5,Estratificado
21/2021/04 22:15:30,85,77,66,1023,0.01,0.23,0.75,-0.43,-0.01,0.64,3.63,3.32,-0.86,5,Estratificado
21/2021/04 22:15:33,64,47,64,1023,-0.34,0.23,0.75,-0.37,0.01,0.60,4.12,4.24,-0.82,5,Estratificado
21/2021/04 22:15:36,68,49,65,1023,-0.53,0.20,0.56,-0.41,0.02,0.64,3.12,5.44,-1.31,5,Estratificado
21/2021/04 22:15:39,76,61,63,1023,-1.13,0.21,0.75,-0.43,-0.01,0.64,3.54,2.89,-0.85,5,Estratificado
21/2021/04 22:15:42,76,66,64,1023,0.18,0.24,0.75,-0.42,0.00,0.63,3.80,4.03,-0.47,5,Estratificado
21/2021/04 22:15:45,66,50,65,1023,0.22,0.20,0.66,-0.40,0.00,0.64,3.96,4.61,-0.61,5,Estratificado
21/2021/04 22:15:48,69,51,64,1023,0.43,0.19,0.67,-0.43,0.00,0.62,3.35,3.60,-1.05,5,Estratificado
21/2021/04 22:15:51,80,72,63,1023,-0.15,0.19,0.69,-0.43,-0.00,0.65,3.49,3.51,-0.87,5,Estratificado
21/2021/04 22:15:54,66,51,67,1023,0.43,0.19,0.72,-0.39,0.01,0.62,4.13,3.64,-0.40,5,Estratificado
21/2021/04 22:15:57,62,47,66,1023,-0.03,0.19,0.65,-0.42,0.01,0.62,3.58,4.56,-0.84,5,Estratificado
21/2021/04 22:16:00,66,55,63,1023,-0.68,0.19,0.58,-0.41,0.01,0.64,3.24,5.52,-0.70,5,Estratificado
21/2021/04 22:16:03,77,69,65,1023,-0.07,0.19,0.57,-0.47,0.00,0.67,3.66,3.33,-0.53,5,Estratificado
21/2021/04 22:16:06,59,48,64,1023,-0.01,0.18,0.69,-0.42,0.00,0.63,3.77,4.63,-0.48,5,Estratificado
21/2021/04 22:16:09,66,54,63,1023,-0.69,0.19,0.63,-0.42,-0.01,0.63,3.60,3.23,-0.73,5,Estratificado
21/2021/04 22:16:12,78,71,66,1023,0.07,0.18,0.68,-0.43,-0.07,0.63,4.27,2.85,-0.88,5,Estratificado
21/2021/04 22:16:15,65,47,66,1023,1.08,0.19,0.69,-0.42,0.02,0.62,3.94,4.53,-0.55,5,Estratificado
21/2021/04 22:16:18,71,58,64,1023,-0.76,0.19,0.60,-0.44,0.02,0.63,3.43,3.29,-1.16,5,Estratificado
21/2021/04 22:16:21,65,51,64,1009,-0.50,0.19,0.52,-0.42,0.00,0.65,3.97,3.01,-0.04,5,Estratificado
21/2021/04 22:16:24,65,50,65,1023,-1.58,0.18,0.66,-0.42,0.06,0.63,3.47,5.41,-0.82,5,Estratificado
21/2021/04 22:16:27,81,75,65,1023,-0.15,0.18,0.78,-0.43,0.01,0.66,3.84,3.11,-0.54,5,Estratificado
21/2021/04 22:16:30,65,49,65,1023,-0.29,0.19,0.55,-0.39,-0.01,0.62,3.87,4.56,-0.74,5,Estratificado
21/2021/04 22:16:33,67,53,65,1023,-2.00,0.18,0.69,-0.44,0.02,0.63,3.11,3.87,-0.97,5,Estratificado
21/2021/04 22:16:36,85,74,64,1023,-0.02,0.19,0.64,-0.41,-0.02,0.64,3.82,3.42,-0.61,5,Estratificado
21/2021/04 22:16:39,64,50,64,1023,-0.33,0.18,0.56,-0.38,0.01,0.63,3.21,6.13,0.02,5,Estratificado
21/2021/04 22:16:42,67,53,65,1023,0.04,0.19,0.59,-0.42,0.00,0.61,3.34,3.53,-1.02,5,Estratificado
21/2021/04 22:16:45,82,75,66,1023,0.02,0.18,0.69,-0.41,-0.01,0.64,3.88,3.19,-0.41,5,Estratificado
21/2021/04 22:16:48,67,50,65,1023,-0.85,0.19,0.58,-0.40,0.01,0.63,3.87,4.48,-0.44,5,Estratificado
21/2021/04 22:16:51,67,53,65,1023,-0.03,0.19,0.64,-0.43,0.00,0.63,3.32,3.95,-1.13,5,Estratificado
21/2021/04 22:16:54,76,74,64,1023,-0.51,0.19,0.59,-0.42,-0.03,0.63,3.95,2.73,-0.83,5,Estratificado
21/2021/04 22:16:57,66,48,65,1023,0.65,0.19,0.74,-0.40,0.03,0.62,3.93,4.07,-0.68,5,Estratificado
21/2021/04 22:17:00,67,52,65,1023,-0.71,0.19,0.59,-0.44,0.02,0.63,3.30,3.66,-1.08,5,Estratificado
21/2021/04 22:17:03,85,72,65,1023,-0.38,0.19,0.62,-0.41,0.01,0.64,3.90,2.94,-0.57,5,Estratificado
