data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 19:40:33,55,37,49,1023,-2.00,0.40,0.73,-0.43,0.01,0.62,2.94,5.13,-0.95,2,Estratificado
21/2021/04 19:40:33,61,50,50,1023,-0.83,0.40,0.68,-0.44,-0.01,0.64,3.33,2.69,-0.97,2,Estratificado
21/2021/04 19:40:33,65,54,52,1023,-0.07,0.40,0.66,-0.45,-0.01,0.65,3.81,3.30,0.02,2,Estratificado
21/2021/04 19:40:33,50,35,51,1023,0.28,0.42,0.77,-0.39,0.01,0.63,3.39,4.72,-0.71,2,Estratificado
21/2021/04 19:40:33,69,63,50,1023,-0.22,0.48,0.68,-0.43,-0.00,0.65,3.65,2.76,-0.66,2,Estratificado
21/2021/04 19:40:33,54,39,50,1023,-0.33,0.48,0.69,-0.41,-0.03,0.64,4.05,3.61,-0.41,2,Estratificado
21/2021/04 19:40:36,70,54,50,1023,0.07,0.48,0.67,-0.42,-0.01,0.63,2.98,3.90,-1.19,2,Estratificado
21/2021/04 19:40:39,51,37,51,1023,-0.49,0.46,0.78,-0.39,0.00,0.62,3.73,4.53,-0.75,2,Estratificado
21/2021/04 19:40:42,57,44,52,1023,-1.09,0.43,0.72,-0.37,-0.02,0.59,3.72,3.68,-0.18,2,Estratificado
21/2021/04 19:40:45,70,63,51,1023,0.31,0.49,0.71,-0.41,-0.02,0.64,3.73,3.29,-0.49,2,Estratificado
21/2021/04 19:40:48,53,39,51,1023,-2.00,0.40,0.69,-0.40,0.02,0.62,3.48,4.55,-0.78,2,Estratificado
21/2021/04 19:40:51,55,41,49,1023,0.94,0.40,0.74,-0.42,-0.00,0.63,3.02,3.61,-1.13,2,Estratificado
21/2021/04 19:40:54,71,60,50,1023,-0.03,0.39,0.75,-0.43,-0.00,0.64,4.29,2.11,0.23,2,Estratificado
21/2021/04 19:40:57,55,38,51,1023,-1.64,0.39,0.69,-0.39,-0.01,0.62,3.73,4.26,-0.73,2,Estratificado
21/2021/04 19:41:00,55,40,50,1023,-0.62,0.38,0.73,-0.43,-0.00,0.63,3.24,3.69,-1.29,2,Estratificado
21/2021/04 19:41:03,67,62,51,1023,-0.38,0.38,0.70,-0.43,-0.01,0.66,3.84,2.42,-0.31,2,Estratificado
21/2021/04 19:41:06,47,35,51,1023,0.64,0.38,0.75,-0.39,-0.00,0.59,3.47,4.67,-0.85,2,Estratificado
21/2021/04 19:41:09,66,49,51,1023,-1.55,0.38,0.73,-0.45,-0.00,0.66,3.09,2.54,-1.10,2,Estratificado
21/2021/04 19:41:12,60,42,51,1023,-0.96,0.38,0.76,-0.39,-0.01,0.62,4.18,3.90,-0.31,2,Estratificado
