data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 17:10:05,115,103,110,1023,0.41,0.53,1.08,-0.43,0.03,0.66,3.06,4.41,-1.23,3,Plug
19/2021/04 17:10:05,124,114,111,1023,-1.38,0.53,1.16,-0.43,0.00,0.65,3.14,3.23,-1.18,3,Plug
19/2021/04 17:10:05,127,119,108,1023,0.17,0.52,1.18,-0.43,-0.01,0.64,3.82,1.57,-0.32,3,Plug
19/2021/04 17:10:05,111,96,105,1023,-0.05,0.53,1.12,-0.38,-0.03,0.62,5.29,2.22,1.66,3,Plug
19/2021/04 17:10:05,112,100,110,1023,-0.30,0.53,1.13,-0.38,-0.01,0.65,3.62,4.57,-0.61,3,Plug
19/2021/04 17:10:05,114,103,110,1023,0.25,0.53,1.08,-0.36,-0.01,0.61,4.11,-2.92,-2.00,3,Plug
19/2021/04 17:10:05,125,114,112,1023,-1.91,0.52,1.19,-0.44,-0.04,0.67,3.08,4.11,-1.19,3,Plug
19/2021/04 17:10:05,121,114,108,1023,0.44,0.53,1.11,-0.45,-0.01,0.65,3.82,1.87,-0.37,3,Plug
19/2021/04 17:10:08,112,99,108,1023,-0.15,0.53,1.10,-0.41,-0.02,0.65,3.34,3.53,-0.66,3,Plug
19/2021/04 17:10:11,113,102,106,1023,-0.39,0.53,1.12,-0.39,0.01,0.64,3.26,4.44,-1.47,3,Plug
19/2021/04 17:10:14,121,112,105,1023,-0.60,0.53,1.08,-0.41,0.01,0.62,2.80,4.60,-1.78,3,Plug
19/2021/04 17:10:17,116,103,109,1023,0.73,0.53,1.10,-0.42,-0.01,0.65,3.85,3.22,0.21,3,Plug
19/2021/04 17:10:20,119,104,109,1023,-1.67,0.53,1.09,-0.47,-0.40,0.61,3.89,2.73,-2.09,3,Plug
19/2021/04 17:10:23,113,98,106,1023,-0.72,0.53,1.07,-0.41,0.02,0.66,2.66,4.33,-0.73,3,Plug
19/2021/04 17:10:26,118,114,112,1023,0.01,0.53,1.13,-0.45,0.02,0.65,3.76,-0.33,-0.66,3,Plug
19/2021/04 17:10:29,128,119,108,1023,-0.65,0.53,1.14,-0.44,0.01,0.66,3.50,2.76,-0.65,3,Plug
19/2021/04 17:10:32,115,105,109,1023,0.10,0.53,1.17,-0.42,-0.00,0.65,3.68,2.92,-0.37,3,Plug
19/2021/04 17:10:35,113,97,106,1023,-0.50,0.53,1.19,-0.38,0.01,0.63,3.53,3.66,-0.39,3,Plug
19/2021/04 17:10:38,108,97,109,1023,-0.06,0.53,1.13,-0.39,-0.00,0.65,3.21,4.76,-1.01,3,Plug
19/2021/04 17:10:41,119,106,111,1023,-0.30,0.53,1.16,-0.43,0.03,0.64,2.76,4.53,-1.91,3,Plug
19/2021/04 17:10:44,126,111,107,1023,-1.91,0.53,1.12,-0.45,0.01,0.65,3.09,3.18,-0.97,3,Plug
19/2021/04 17:10:47,131,119,112,1023,-1.43,0.53,1.12,-0.44,-0.01,0.64,3.92,3.48,0.05,3,Plug
19/2021/04 17:10:50,120,102,113,1023,-1.89,0.53,1.08,-0.36,0.01,0.62,3.57,5.63,-0.34,3,Plug
19/2021/04 17:10:53,120,108,110,1023,-1.92,0.53,1.08,-0.41,0.04,0.65,2.00,7.28,-2.67,3,Plug
19/2021/04 17:10:56,119,107,107,1023,0.05,0.53,1.08,-0.37,0.01,0.64,3.50,3.07,-0.45,3,Plug
19/2021/04 17:10:59,114,101,107,1023,0.18,0.53,1.19,-0.40,-0.01,0.63,3.80,3.13,-0.26,3,Plug
19/2021/04 17:11:02,119,105,107,1023,-0.17,0.53,1.12,-0.39,0.01,0.62,3.00,5.46,-1.35,3,Plug
19/2021/04 17:11:05,132,118,107,1023,-1.53,0.53,1.18,-0.43,-0.01,0.65,3.47,2.73,-0.53,3,Plug
19/2021/04 17:11:08,113,102,110,1023,-0.10,0.53,1.04,-0.40,0.01,0.64,3.72,2.73,-0.40,3,Plug
19/2021/04 17:11:11,118,99,113,1023,0.91,0.53,1.13,-0.39,-0.02,0.60,2.93,7.57,-2.40,3,Plug
19/2021/04 17:11:14,127,113,112,1023,0.08,0.52,1.18,-0.41,-0.01,0.64,3.18,3.50,-1.17,3,Plug
19/2021/04 17:11:17,124,108,113,1023,-0.07,0.53,1.14,-0.43,0.00,0.65,3.21,3.42,-1.08,3,Plug
19/2021/04 17:11:20,120,107,112,1023,-0.16,0.53,1.09,-0.39,0.03,0.63,3.62,3.64,-0.76,3,Plug
19/2021/04 17:11:23,121,110,113,1023,-0.21,0.53,1.05,-0.38,0.01,0.64,2.95,11.63,-2.00,3,Plug
19/2021/04 17:11:26,129,121,110,1023,-1.47,0.53,1.12,-0.44,0.05,0.66,2.97,3.67,-0.95,3,Plug
19/2021/04 17:11:29,123,112,112,1023,-1.56,0.53,1.08,-0.49,-0.02,0.67,3.53,2.72,-0.02,3,Plug
