data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 22:43:12,40,26,33,1023,-0.76,0.42,0.82,-0.45,0.01,0.64,3.16,4.07,-1.31,2,Estratificado
19/2021/04 22:43:12,55,43,34,1023,1.56,0.43,0.69,-0.45,-0.05,0.69,3.98,1.44,-0.24,2,Estratificado
19/2021/04 22:43:12,35,23,33,1023,-2.00,0.42,0.82,-0.36,-0.00,0.60,3.40,3.98,-1.03,2,Estratificado
19/2021/04 22:43:13,44,31,33,1023,0.09,0.42,0.78,-0.44,0.01,0.65,3.17,3.85,-1.29,2,Estratificado
19/2021/04 22:43:16,51,35,33,1023,0.51,0.42,0.74,-0.40,0.00,0.67,4.67,0.65,0.71,2,Estratificado
19/2021/04 22:43:19,40,26,33,1023,-1.27,0.42,0.81,-0.39,0.02,0.61,3.91,4.44,-0.38,2,Estratificado
19/2021/04 22:43:22,41,27,33,1023,-2.00,0.41,0.83,-0.43,0.01,0.64,3.50,3.35,-1.36,2,Estratificado
19/2021/04 22:43:25,44,43,33,1023,-0.51,0.42,0.80,-0.43,-0.03,0.64,4.51,3.40,-0.38,2,Estratificado
19/2021/04 22:43:28,32,21,33,1023,-2.00,0.42,0.75,-0.38,0.05,0.64,3.53,3.85,-0.06,2,Estratificado
19/2021/04 22:43:31,41,30,33,1023,-1.03,0.43,0.74,-0.44,-0.03,0.64,3.35,3.68,-1.29,2,Estratificado
19/2021/04 22:43:34,44,29,34,1023,-0.31,0.42,0.79,-0.41,-0.01,0.62,4.24,3.22,-0.08,2,Estratificado
19/2021/04 22:43:37,40,24,33,1023,-1.53,0.42,0.83,-0.45,0.01,0.65,3.56,3.47,-0.57,2,Estratificado
19/2021/04 22:43:40,47,44,33,1023,-0.18,0.43,0.81,-0.42,-0.01,0.66,3.86,3.11,-0.33,2,Estratificado
19/2021/04 22:43:43,31,19,33,1023,-0.13,0.46,0.75,-0.39,0.01,0.64,3.73,4.66,-0.47,2,Estratificado
19/2021/04 22:43:46,67,46,34,1023,-0.05,0.47,0.79,-0.45,-0.01,0.64,4.24,2.48,0.24,2,Estratificado
19/2021/04 22:43:49,42,24,34,1023,-0.98,0.43,0.78,-0.42,0.00,0.63,4.05,2.79,-0.12,2,Estratificado
19/2021/04 22:43:52,40,26,32,1023,-0.06,0.48,0.79,-0.43,0.01,0.64,4.18,3.11,-0.19,2,Estratificado
19/2021/04 22:43:55,49,41,33,1023,0.20,0.47,0.79,-0.42,0.01,0.64,3.23,3.82,-1.19,2,Estratificado
19/2021/04 22:43:58,38,22,33,1023,1.34,0.43,0.78,-0.38,-0.02,0.62,3.83,4.62,-0.12,2,Estratificado
19/2021/04 22:44:01,42,27,32,1023,0.09,0.45,0.77,-0.41,-0.00,0.62,3.01,4.28,-1.82,2,Estratificado
19/2021/04 22:44:04,57,44,33,1023,-0.21,0.43,0.79,-0.45,-0.00,0.67,4.15,3.39,-0.34,2,Estratificado
19/2021/04 22:44:07,38,22,32,1023,-0.11,0.42,0.75,-0.38,0.01,0.62,3.81,4.15,-0.51,2,Estratificado
19/2021/04 22:44:10,45,31,32,1023,-0.22,0.43,0.81,-0.44,-0.02,0.65,3.24,3.99,-1.26,2,Estratificado
19/2021/04 22:44:13,37,23,33,1023,-0.24,0.42,0.84,-0.40,0.01,0.63,4.04,3.42,-0.36,2,Estratificado
19/2021/04 22:44:16,39,26,33,1023,-0.69,0.42,0.72,-0.42,0.03,0.64,3.48,2.36,-1.79,2,Estratificado
19/2021/04 22:44:19,59,42,33,1023,-0.03,0.42,0.82,-0.44,-0.01,0.66,3.96,3.18,-0.30,2,Estratificado
19/2021/04 22:44:22,38,20,33,1023,0.24,0.42,0.75,-0.40,0.02,0.66,3.46,4.57,-0.77,2,Estratificado
19/2021/04 22:44:25,50,38,32,1023,-1.86,0.42,0.83,-0.45,0.01,0.67,3.61,2.97,-1.18,2,Estratificado
19/2021/04 22:44:28,37,23,34,1023,-0.46,0.41,0.80,-0.41,0.00,0.62,4.11,3.27,-0.26,2,Estratificado
19/2021/04 22:44:31,38,22,33,1023,1.01,0.42,0.75,-0.42,0.00,0.64,3.11,4.34,-1.19,2,Estratificado
19/2021/04 22:44:34,57,44,33,1023,-0.39,0.43,0.78,-0.44,-0.00,0.66,3.69,3.08,-0.86,2,Estratificado
19/2021/04 22:44:37,36,22,33,1023,-2.00,0.41,0.85,-0.36,0.01,0.63,4.50,4.99,-0.95,2,Estratificado
19/2021/04 22:44:40,38,21,33,1023,0.59,0.42,0.80,-0.41,0.02,0.63,3.51,4.50,-1.01,2,Estratificado
19/2021/04 22:44:43,41,31,32,1023,-1.37,0.41,0.87,-0.42,0.02,0.63,3.42,3.79,-1.53,2,Estratificado
19/2021/04 22:44:46,60,44,34,1023,0.44,0.41,0.76,-0.46,0.00,0.65,4.09,2.47,-0.13,2,Estratificado
19/2021/04 22:44:49,33,22,33,1023,0.10,0.42,0.81,-0.38,0.03,0.63,3.92,4.51,-0.60,2,Estratificado
19/2021/04 22:44:52,38,22,33,1023,-0.08,0.42,0.75,-0.44,-0.00,0.63,3.34,4.56,-1.16,2,Estratificado
19/2021/04 22:44:55,54,41,32,1023,-0.00,0.41,0.85,-0.44,-0.01,0.66,3.67,3.19,-1.05,2,Estratificado
19/2021/04 22:44:58,38,22,33,1023,0.05,0.42,0.64,-0.47,-0.00,0.64,4.53,1.15,-0.53,2,Estratificado
