data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
22/2021/04 03:16:38,68,54,80,1023,0.07,0.21,0.38,-0.45,0.00,0.65,3.07,4.47,-0.95,2,Estratificado
22/2021/04 03:16:38,70,59,79,1023,-0.16,0.21,0.35,-0.43,0.01,0.64,3.68,2.54,-0.97,2,Estratificado
22/2021/04 03:16:38,81,72,79,1023,-0.16,0.21,0.40,-0.43,0.00,0.65,4.26,3.29,-0.34,2,Estratificado
22/2021/04 03:16:41,66,50,80,1023,0.25,0.21,0.39,-0.37,0.01,0.60,4.02,3.68,-0.41,2,Estratificado
22/2021/04 03:16:45,62,47,81,1023,-0.01,0.21,0.29,-0.40,0.01,0.63,3.49,4.55,-0.50,2,Estratificado
22/2021/04 03:16:48,69,55,82,1023,0.35,0.21,0.38,-0.44,0.00,0.63,3.53,3.08,-0.89,2,Estratificado
22/2021/04 03:16:51,75,67,82,1023,0.34,0.20,0.43,-0.45,-0.00,0.66,3.51,2.76,-0.89,2,Estratificado
22/2021/04 03:16:54,73,60,81,1023,0.10,0.21,0.31,-0.42,0.00,0.64,4.24,3.28,-0.29,2,Estratificado
22/2021/04 03:16:57,67,54,80,1023,-0.19,0.21,0.37,-0.37,0.01,0.61,3.84,4.27,-0.68,2,Estratificado
22/2021/04 03:17:00,72,54,79,1023,-0.24,0.20,0.42,-0.42,-0.00,0.64,3.36,4.63,-0.70,2,Estratificado
22/2021/04 03:17:03,71,63,81,1023,0.08,0.23,0.31,-0.45,-0.02,0.65,3.57,2.08,-1.08,2,Estratificado
22/2021/04 03:17:09,68,55,79,1023,0.03,0.24,0.21,-0.44,0.05,0.67,3.15,3.76,-0.77,2,Estratificado
22/2021/04 03:17:12,71,58,80,1023,-1.22,0.22,0.50,-0.43,0.01,0.64,3.37,2.76,-1.07,2,Estratificado
22/2021/04 03:17:15,72,55,81,1023,-0.24,0.20,0.33,-0.40,-0.01,0.59,3.90,2.80,-0.24,2,Estratificado
22/2021/04 03:17:18,71,53,79,1023,0.19,0.22,0.38,-0.42,0.02,0.63,3.47,5.02,-0.61,2,Estratificado
22/2021/04 03:17:21,73,57,80,1023,0.06,0.21,0.38,-0.43,0.01,0.64,3.29,2.72,-1.34,2,Estratificado
22/2021/04 03:17:24,71,58,80,1023,0.31,0.21,0.35,-0.41,-0.01,0.63,4.05,3.44,-0.69,2,Estratificado
22/2021/04 03:17:27,69,53,79,1023,-0.21,0.24,0.30,-0.39,0.00,0.61,4.01,4.43,-0.50,2,Estratificado
22/2021/04 03:17:30,71,59,80,1023,0.04,0.21,0.37,-0.45,-0.00,0.63,3.12,3.55,-1.44,2,Estratificado
22/2021/04 03:17:33,73,63,81,1023,-0.15,0.21,0.44,-0.41,-0.01,0.64,4.11,3.02,-0.41,2,Estratificado
22/2021/04 03:17:36,67,53,78,1023,0.18,0.22,0.36,-0.37,0.00,0.60,4.08,4.69,-0.79,2,Estratificado
22/2021/04 03:17:39,72,61,81,1023,0.77,0.21,0.32,-0.46,0.00,0.66,3.25,3.47,-1.11,2,Estratificado
22/2021/04 03:17:42,78,64,80,1023,0.01,0.30,0.31,-0.42,0.01,0.64,3.76,2.54,-0.83,2,Estratificado
22/2021/04 03:17:45,66,49,80,1023,0.11,0.23,0.24,-0.38,0.01,0.61,4.23,3.84,-0.15,2,Estratificado
22/2021/04 03:17:54,78,65,81,1023,-1.06,0.21,0.39,-0.41,0.00,0.64,4.22,3.33,-0.47,2,Estratificado
22/2021/04 03:17:57,66,50,82,1023,-0.25,0.20,0.35,-0.40,0.00,0.61,4.60,2.89,-0.08,2,Estratificado
22/2021/04 03:18:00,58,52,79,1023,-0.01,0.21,0.44,-0.42,0.01,0.64,3.79,4.35,-0.47,2,Estratificado
22/2021/04 03:18:03,72,60,82,1023,0.13,0.20,0.30,-0.47,0.01,0.64,3.40,2.92,-1.05,2,Estratificado
22/2021/04 03:18:06,78,61,80,1023,-0.07,0.20,0.37,-0.43,-0.00,0.64,3.38,3.18,-1.43,2,Estratificado
22/2021/04 03:18:09,80,66,81,1023,-0.18,0.19,0.38,-0.41,0.00,0.64,4.08,3.44,-0.45,2,Estratificado
22/2021/04 03:18:12,67,50,82,1023,0.56,0.20,0.31,-0.40,0.00,0.63,4.17,3.56,-0.34,2,Estratificado
22/2021/04 03:18:15,68,54,82,1023,-0.60,0.20,0.33,-0.44,0.01,0.61,3.45,4.85,-1.76,2,Estratificado
22/2021/04 03:18:18,71,57,80,1023,-0.06,0.19,0.43,-0.42,-0.00,0.64,3.56,2.85,-0.94,2,Estratificado
22/2021/04 03:18:21,74,62,80,1023,0.06,0.20,0.33,-0.41,-0.00,0.64,4.08,3.05,-0.26,2,Estratificado
22/2021/04 03:18:24,67,52,79,1023,0.42,0.20,0.36,-0.40,0.00,0.62,3.69,3.90,-0.59,2,Estratificado
22/2021/04 03:18:27,72,60,82,1023,0.23,0.25,0.32,-0.42,0.00,0.62,3.47,3.23,-1.03,2,Estratificado
22/2021/04 03:18:30,75,65,82,1023,-0.15,0.22,0.42,-0.39,-0.01,0.63,4.37,2.11,-0.37,2,Estratificado
22/2021/04 03:18:33,67,51,81,1023,-0.04,0.20,0.38,-0.39,0.01,0.62,4.02,3.75,-0.68,2,Estratificado
22/2021/04 03:18:36,72,55,79,1023,0.35,0.25,0.36,-0.44,0.01,0.64,3.53,3.96,-0.79,2,Estratificado
22/2021/04 03:18:39,77,64,80,1023,0.21,0.25,0.33,-0.43,-0.01,0.65,3.57,2.63,-0.89,2,Estratificado
22/2021/04 03:19:00,75,61,79,1023,-0.76,0.25,0.38,-0.42,0.00,0.64,4.07,3.29,-0.34,2,Estratificado
22/2021/04 03:19:03,65,54,80,1023,-0.54,0.21,0.37,-0.40,-0.02,0.62,3.95,3.96,-1.31,2,Estratificado
22/2021/04 03:19:06,71,61,82,1023,0.85,0.22,0.34,-0.47,0.00,0.64,3.31,3.23,-1.27,2,Estratificado
22/2021/04 03:19:09,77,64,81,1023,-2.00,0.21,0.44,-0.40,0.02,0.64,3.95,3.48,-0.47,2,Estratificado
22/2021/04 03:19:12,65,49,81,1022,-0.11,0.21,0.30,-0.37,0.01,0.60,3.87,3.82,-0.88,2,Estratificado
22/2021/04 03:19:15,66,53,80,1023,0.15,0.23,0.30,-0.42,0.01,0.64,3.41,4.30,-0.68,2,Estratificado
