data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 21:33:07,70,57,64,1012,0.06,0.21,0.50,-0.42,0.01,0.61,3.77,5.56,-1.04,3,Estratificado
21/2021/04 21:33:07,72,56,66,1008,0.33,0.23,0.66,-0.42,0.00,0.62,3.53,2.84,-1.00,3,Estratificado
21/2021/04 21:33:07,75,62,68,1001,-0.33,0.26,0.50,-0.40,0.01,0.64,3.92,3.37,-0.27,3,Estratificado
21/2021/04 21:33:08,73,60,66,1010,0.99,0.26,0.61,-0.40,-0.02,0.64,3.82,4.34,-0.38,3,Estratificado
21/2021/04 21:33:11,73,58,68,1009,0.06,0.21,0.55,-0.43,0.01,0.64,3.19,3.98,-0.93,3,Estratificado
21/2021/04 21:33:14,68,56,65,1007,-0.16,0.19,0.56,-0.42,0.00,0.61,3.63,2.74,-1.16,3,Estratificado
21/2021/04 21:33:17,73,60,65,1008,0.13,0.31,0.69,-0.41,-0.00,0.63,3.71,3.36,-0.57,3,Estratificado
21/2021/04 21:33:20,74,62,68,1007,-0.02,0.23,0.46,-0.39,-0.01,0.62,3.82,4.63,-0.65,3,Estratificado
21/2021/04 21:33:23,71,57,64,1014,-0.25,0.24,0.46,-0.37,-0.02,0.61,3.44,3.60,-1.31,3,Estratificado
21/2021/04 21:33:26,71,57,66,1007,0.11,0.21,0.60,-0.41,0.00,0.63,3.56,2.80,-1.08,3,Estratificado
21/2021/04 21:33:29,71,59,65,1005,-0.23,0.20,0.51,-0.42,-0.01,0.64,3.85,3.78,-0.46,3,Estratificado
21/2021/04 21:33:32,71,58,64,1009,-0.07,0.19,0.52,-0.39,-0.00,0.62,3.66,4.68,-0.61,3,Estratificado
21/2021/04 21:33:35,71,57,68,1009,0.17,0.22,0.54,-0.45,0.00,0.64,3.33,3.84,-1.01,3,Estratificado
21/2021/04 21:33:38,72,60,65,1007,0.03,0.24,0.54,-0.42,0.02,0.66,3.59,2.68,-0.73,3,Estratificado
21/2021/04 21:33:41,72,61,65,1006,-0.72,0.22,0.56,-0.42,-0.00,0.62,4.10,3.91,-0.47,3,Estratificado
21/2021/04 21:33:44,71,58,67,1009,-0.16,0.19,0.48,-0.43,-0.00,0.64,3.56,4.60,-0.56,3,Estratificado
21/2021/04 21:33:47,70,59,66,1009,-0.29,0.19,0.37,-0.45,0.01,0.65,3.47,3.26,-0.90,3,Estratificado
21/2021/04 21:33:50,70,57,67,1007,-0.92,0.22,0.61,-0.43,-0.02,0.63,3.35,3.24,-1.31,3,Estratificado
21/2021/04 21:33:53,72,60,66,1004,-0.13,0.23,0.44,-0.41,-0.00,0.64,3.82,3.29,-0.44,3,Estratificado
