data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 17:34:50,117,109,98,1023,-0.20,0.31,0.79,-0.47,0.03,0.65,3.24,2.48,-1.07,3,Estratificado
21/2021/04 17:34:50,103,87,98,1021,0.15,0.30,0.81,-0.39,-0.00,0.62,4.04,3.72,-0.44,3,Estratificado
21/2021/04 17:34:50,107,91,100,1023,0.33,0.30,0.57,-0.44,0.00,0.64,3.08,4.62,-1.04,3,Estratificado
21/2021/04 17:34:50,120,113,101,1023,0.12,0.30,0.68,-0.44,-0.00,0.64,3.56,2.47,-0.40,3,Estratificado
21/2021/04 17:34:50,100,87,99,1014,-1.86,0.30,0.76,-0.36,0.01,0.61,4.00,3.87,-0.47,3,Estratificado
21/2021/04 17:34:52,106,89,101,1023,-0.30,0.31,0.64,-0.42,0.01,0.64,3.00,5.32,-1.53,3,Estratificado
21/2021/04 17:34:55,119,112,98,1023,-0.06,0.31,0.70,-0.43,-0.01,0.64,3.50,2.37,-0.53,3,Estratificado
21/2021/04 17:34:58,99,83,95,1018,1.08,0.30,0.64,-0.38,-0.02,0.62,3.95,3.96,-0.28,3,Estratificado
21/2021/04 17:35:01,102,87,101,1023,-0.33,0.30,0.69,-0.43,0.01,0.65,2.93,4.98,-1.20,3,Estratificado
21/2021/04 17:35:04,117,104,95,1023,0.18,0.30,0.68,-0.46,-0.01,0.65,3.37,2.36,-0.82,3,Estratificado
21/2021/04 17:35:07,102,84,95,1005,1.04,0.30,0.66,-0.39,0.00,0.61,4.13,3.44,-0.37,3,Estratificado
21/2021/04 17:35:10,100,82,98,1023,-1.82,0.30,0.61,-0.39,0.03,0.62,3.36,4.92,-0.82,3,Estratificado
21/2021/04 17:35:13,114,101,100,1023,0.50,0.30,0.65,-0.46,-0.00,0.65,3.22,2.88,-0.99,3,Estratificado
21/2021/04 17:35:16,113,104,97,1022,-0.00,0.29,0.75,-0.42,-0.01,0.65,3.89,2.34,-0.04,3,Estratificado
21/2021/04 17:35:19,102,88,101,1023,-0.20,0.30,0.53,-0.40,0.01,0.66,4.41,3.75,0.28,3,Estratificado
21/2021/04 17:35:22,102,88,95,1023,1.14,0.30,0.70,-0.43,-0.00,0.63,2.81,4.21,-1.60,3,Estratificado
21/2021/04 17:35:25,115,111,99,1023,-1.45,0.29,0.71,-0.45,0.02,0.65,3.44,2.34,-0.60,3,Estratificado
21/2021/04 17:35:28,110,100,98,1023,-1.87,0.30,0.64,-0.41,0.03,0.63,3.79,2.51,-0.20,3,Estratificado
21/2021/04 17:35:31,103,86,99,1023,0.16,0.30,0.63,-0.40,-0.00,0.62,3.70,3.93,-0.31,3,Estratificado
21/2021/04 17:35:34,101,86,98,1023,-0.12,0.28,0.79,-0.45,0.06,0.65,3.34,3.24,-1.02,3,Estratificado
21/2021/04 17:35:37,106,92,97,1023,-0.34,0.29,0.69,-0.45,0.00,0.65,3.08,3.11,-1.00,3,Estratificado
21/2021/04 17:35:40,119,115,101,1023,0.01,0.29,0.56,-0.43,-0.02,0.64,3.51,3.47,-0.73,3,Estratificado
21/2021/04 17:35:43,104,86,97,1023,1.02,0.29,0.72,-0.37,-0.00,0.61,3.78,4.34,-0.56,3,Estratificado
21/2021/04 17:35:46,106,90,97,1023,-0.86,0.29,0.62,-0.44,0.01,0.65,2.91,4.80,-1.31,3,Estratificado
21/2021/04 17:35:49,117,114,102,1023,0.42,0.29,0.64,-0.42,-0.01,0.64,3.93,2.53,-0.68,3,Estratificado
21/2021/04 17:35:52,99,84,94,1023,-0.50,0.29,0.69,-0.39,0.02,0.62,3.49,4.60,-0.73,3,Estratificado
21/2021/04 17:35:55,101,87,95,1023,-0.62,0.29,0.63,-0.43,-0.00,0.63,2.81,4.25,-1.53,3,Estratificado
21/2021/04 17:35:58,113,110,97,1023,0.09,0.29,0.69,-0.42,0.03,0.64,3.76,2.86,-0.44,3,Estratificado
21/2021/04 17:36:01,105,88,101,1023,0.14,0.29,0.57,-0.37,0.02,0.61,3.92,4.50,-0.49,3,Estratificado
21/2021/04 17:36:04,103,80,95,1023,-0.61,0.29,0.68,-0.43,0.02,0.65,2.79,5.19,-1.50,3,Estratificado
21/2021/04 17:36:07,112,99,98,1023,0.12,0.29,0.67,-0.46,-0.01,0.64,3.38,2.37,-1.13,3,Estratificado
21/2021/04 17:36:10,123,110,106,1022,2.00,0.28,0.71,-0.45,-0.00,0.64,4.02,3.15,-0.45,3,Estratificado
21/2021/04 17:36:13,103,85,99,1020,-1.87,0.28,0.71,-0.38,0.01,0.61,3.69,3.70,-0.18,3,Estratificado
21/2021/04 17:36:16,104,90,95,1023,-0.65,0.29,0.53,-0.43,-0.00,0.63,3.51,-0.56,-0.50,3,Estratificado
21/2021/04 17:36:19,110,102,98,1023,-0.03,0.29,0.68,-0.43,-0.02,0.65,3.98,1.94,0.16,3,Estratificado
21/2021/04 17:36:22,98,84,98,1023,-0.58,0.28,0.69,-0.38,0.03,0.63,3.60,4.58,-0.50,3,Estratificado
21/2021/04 17:36:25,105,94,95,1023,0.34,0.29,0.57,-0.47,-0.01,0.67,3.27,2.56,-0.78,3,Estratificado
21/2021/04 17:36:28,109,97,98,1023,-0.21,0.28,0.62,-0.42,0.01,0.64,3.84,2.53,-0.03,3,Estratificado
21/2021/04 17:36:31,101,83,101,1023,0.00,0.29,0.56,-0.37,-0.03,0.62,3.02,5.50,-1.23,3,Estratificado
21/2021/04 17:36:34,112,104,98,1023,0.37,0.28,0.73,-0.47,-0.01,0.66,3.21,2.80,-1.02,3,Estratificado
21/2021/04 17:36:37,104,93,97,1023,0.16,0.28,0.57,-0.42,-0.01,0.62,3.74,3.47,-0.30,3,Estratificado
21/2021/04 17:36:40,101,85,101,1023,-0.16,0.29,0.67,-0.39,0.02,0.62,3.23,4.85,-0.96,3,Estratificado
21/2021/04 17:36:43,111,104,100,1023,0.62,0.28,0.63,-0.45,-0.01,0.64,3.27,2.60,-0.95,3,Estratificado
21/2021/04 17:36:46,108,94,98,1021,0.71,0.29,0.67,-0.41,-0.00,0.63,4.06,2.68,-0.22,3,Estratificado
21/2021/04 17:36:49,101,83,97,1023,-0.06,0.28,0.64,-0.41,-0.01,0.63,3.27,4.72,-0.92,3,Estratificado
21/2021/04 17:36:52,111,99,95,1023,-0.20,0.27,0.66,-0.46,-0.02,0.65,3.18,2.40,-1.17,3,Estratificado
21/2021/04 17:36:55,105,91,95,1023,0.43,0.27,0.63,-0.42,0.01,0.63,4.03,2.98,-0.22,3,Estratificado
21/2021/04 17:36:58,100,84,98,1023,0.38,0.27,0.60,-0.36,-0.02,0.62,3.32,8.42,-0.94,3,Estratificado
21/2021/04 17:37:01,102,90,95,1023,-0.44,0.27,0.65,-0.43,0.00,0.65,2.77,4.84,-1.74,3,Estratificado
21/2021/04 17:37:04,116,108,98,1023,0.46,0.27,0.63,-0.41,0.01,0.63,4.05,3.90,-0.15,3,Estratificado
21/2021/04 17:37:07,101,85,97,1023,0.22,0.27,0.58,-0.39,-0.00,0.63,3.49,4.63,-0.68,3,Estratificado
