data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 23:16:01,37,21,37,1023,-0.13,0.40,0.82,-0.40,0.03,0.63,3.55,4.37,-0.56,3,Estratificado
19/2021/04 23:16:01,46,32,37,1023,0.14,0.40,0.86,-0.43,0.00,0.64,3.50,3.17,-1.15,3,Estratificado
19/2021/04 23:16:01,52,40,37,1023,-0.06,0.40,0.81,-0.44,0.01,0.65,3.96,2.81,-0.38,3,Estratificado
19/2021/04 23:16:01,41,25,38,1023,0.25,0.40,0.85,-0.40,-0.00,0.63,3.90,4.24,-0.62,3,Estratificado
19/2021/04 23:16:04,43,30,38,1023,-0.49,0.40,0.87,-0.42,0.02,0.63,3.16,3.40,-1.53,3,Estratificado
19/2021/04 23:16:07,50,34,37,1023,0.44,0.40,0.81,-0.43,0.01,0.67,3.82,4.15,-0.27,3,Estratificado
19/2021/04 23:16:10,40,24,37,1023,-0.04,0.40,0.85,-0.40,0.01,0.63,3.84,4.60,-0.56,3,Estratificado
19/2021/04 23:16:13,39,24,37,1023,-0.03,0.40,0.93,-0.39,0.01,0.62,3.86,4.74,-0.34,3,Estratificado
19/2021/04 23:16:16,40,29,37,1023,0.56,0.40,0.80,-0.39,0.00,0.62,3.54,4.96,-0.13,3,Estratificado
19/2021/04 23:16:19,41,29,37,1023,-0.65,0.40,0.81,-0.40,0.03,0.59,2.70,2.70,-1.76,3,Estratificado
19/2021/04 23:16:22,41,29,38,1023,-0.79,0.40,0.87,-0.38,0.01,0.62,3.92,3.95,-0.57,3,Estratificado
19/2021/04 23:16:25,44,30,38,1023,-0.03,0.40,0.87,-0.39,-0.01,0.62,3.85,4.40,-0.50,3,Estratificado
19/2021/04 23:16:28,45,23,38,1023,-1.21,0.40,0.82,-0.38,-0.01,0.61,3.38,5.40,-1.11,3,Estratificado
19/2021/04 23:16:31,44,32,37,1023,0.46,0.40,0.88,-0.44,0.02,0.67,3.42,4.31,-0.96,3,Estratificado
19/2021/04 23:16:34,46,34,37,1023,0.12,0.40,0.82,-0.42,-0.01,0.64,3.69,3.56,-1.21,3,Estratificado
19/2021/04 23:16:37,50,46,38,1023,-0.11,0.40,0.86,-0.46,-0.00,0.65,3.21,5.08,-1.07,3,Estratificado
19/2021/04 23:16:40,44,28,37,1023,0.47,0.40,0.75,-0.39,0.01,0.63,3.90,4.15,-0.39,3,Estratificado
19/2021/04 23:16:43,42,27,38,1023,0.15,0.40,0.81,-0.43,0.01,0.64,3.23,4.41,-1.23,3,Estratificado
19/2021/04 23:16:46,46,40,37,1023,-0.15,0.40,0.81,-0.42,0.02,0.64,3.32,2.73,-1.28,3,Estratificado
19/2021/04 23:16:49,48,36,38,1023,-0.08,0.40,0.84,-0.42,-0.02,0.63,4.15,2.40,0.04,3,Estratificado
19/2021/04 23:16:52,41,24,38,1023,-0.18,0.40,0.87,-0.39,-0.00,0.62,3.80,3.80,-0.41,3,Estratificado
19/2021/04 23:16:55,41,27,37,1023,-0.19,0.39,0.81,-0.45,0.04,0.65,3.46,3.81,-0.98,3,Estratificado
