data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 23:23:39,41,25,38,1023,-2.00,0.42,0.93,-0.35,-0.03,0.54,3.53,8.92,0.78,4,Estratificado
19/2021/04 23:23:39,43,29,38,1023,-0.96,0.42,0.95,-0.46,0.04,0.60,2.54,8.90,-1.82,4,Estratificado
19/2021/04 23:23:39,53,44,37,1023,0.12,0.42,0.97,-0.44,-0.03,0.65,4.15,4.51,-0.21,4,Estratificado
19/2021/04 23:23:39,38,22,37,1023,-1.11,0.42,1.02,-0.33,0.04,0.62,3.96,-2.70,-4.12,4,Estratificado
19/2021/04 23:23:42,42,28,38,1023,-0.41,0.41,1.06,-0.45,-0.01,0.65,3.60,3.50,-0.75,4,Estratificado
19/2021/04 23:23:45,53,46,38,1023,0.42,0.42,0.94,-0.43,-0.00,0.65,4.05,3.21,-0.08,4,Estratificado
19/2021/04 23:23:48,37,24,37,1023,0.14,0.42,0.95,-0.40,-0.01,0.63,4.32,3.40,-0.64,4,Estratificado
19/2021/04 23:23:51,41,27,37,1023,-0.88,0.42,0.93,-0.43,0.03,0.63,3.09,4.37,-1.38,4,Estratificado
19/2021/04 23:23:54,55,48,38,1023,-0.40,0.41,0.93,-0.38,-0.02,0.67,6.60,-8.50,-0.93,4,Estratificado
19/2021/04 23:23:57,41,26,38,1023,-0.30,0.41,0.94,-0.40,0.01,0.63,4.02,4.17,-0.60,4,Estratificado
19/2021/04 23:24:00,40,25,37,1023,-0.58,0.41,0.94,-0.41,0.04,0.68,3.96,3.02,-0.05,4,Estratificado
19/2021/04 23:24:03,57,47,37,1023,0.06,0.41,0.98,-0.44,0.09,0.67,3.69,3.20,-0.45,4,Estratificado
19/2021/04 23:24:06,38,25,37,1023,-1.41,0.41,0.90,-0.34,-0.00,0.76,4.81,4.15,0.82,4,Estratificado
19/2021/04 23:24:09,38,23,38,1023,-2.00,0.40,1.06,-0.38,-0.01,0.62,3.69,4.97,-0.34,4,Estratificado
19/2021/04 23:24:12,42,29,38,1023,-2.00,0.41,0.99,-0.44,0.00,0.64,3.31,3.86,-1.79,4,Estratificado
19/2021/04 23:24:15,49,44,37,1023,-0.21,0.41,1.00,-0.39,-0.02,0.63,4.33,2.73,-0.79,4,Estratificado
19/2021/04 23:24:18,38,21,37,1023,-0.41,0.41,0.94,-0.34,0.02,0.59,4.44,3.27,-0.55,4,Estratificado
19/2021/04 23:24:21,35,23,38,1023,-0.17,0.41,0.98,-0.39,0.04,0.63,3.48,5.02,-1.21,4,Estratificado
19/2021/04 23:24:24,45,30,38,1023,-0.40,0.41,0.95,-0.44,-0.00,0.64,3.21,4.18,-1.56,4,Estratificado
19/2021/04 23:24:27,51,45,38,1023,0.17,0.41,0.94,-0.44,0.03,0.64,3.94,3.20,-0.39,4,Estratificado
19/2021/04 23:24:30,42,25,38,1023,-1.47,0.41,0.96,-0.39,0.02,0.62,4.15,4.47,-0.63,4,Estratificado
19/2021/04 23:24:33,37,26,38,1023,-1.88,0.41,0.97,-0.44,0.01,0.64,3.21,4.85,-1.01,4,Estratificado
19/2021/04 23:24:36,61,47,38,1023,-1.35,0.41,0.94,-0.48,0.01,0.69,3.64,3.82,-0.14,4,Estratificado
19/2021/04 23:24:39,42,29,37,1023,-1.23,0.41,0.94,-0.37,0.01,0.60,3.80,4.10,0.15,4,Estratificado
19/2021/04 23:24:42,42,23,38,1023,0.39,0.40,1.01,-0.42,0.05,0.65,3.45,5.18,-0.68,4,Estratificado
19/2021/04 23:24:46,51,33,37,1023,-0.47,0.41,1.00,-0.44,0.01,0.65,3.53,3.15,-1.32,4,Estratificado
19/2021/04 23:24:49,51,42,38,1023,0.70,0.41,0.95,-0.47,0.00,0.62,4.51,4.05,0.03,4,Estratificado
19/2021/04 23:24:52,40,25,38,1023,0.71,0.40,0.94,-0.41,0.01,0.65,3.99,4.95,-0.80,4,Estratificado
19/2021/04 23:24:55,41,30,38,1023,0.35,0.41,0.96,-0.45,0.02,0.66,3.07,3.46,-1.21,4,Estratificado
19/2021/04 23:24:57,54,46,38,1023,-2.00,0.40,0.89,-0.47,-0.06,0.62,3.56,2.56,-0.64,4,Estratificado
19/2021/04 23:25:01,46,34,36,1023,0.98,0.40,1.03,-0.39,0.01,0.62,3.77,3.63,-0.44,4,Estratificado
