data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 14:32:29,50,37,32,1023,-0.46,0.27,0.85,-0.42,0.00,0.65,3.70,3.31,-0.33,5,Estratificado
21/2021/04 14:32:29,36,23,31,1023,0.08,0.28,0.76,-0.41,0.00,0.63,3.85,2.65,-0.65,5,Estratificado
21/2021/04 14:32:30,32,17,32,1023,-2.00,0.25,0.92,-0.40,-0.04,0.61,3.83,4.72,-0.47,5,Estratificado
21/2021/04 14:32:33,38,26,32,1023,0.15,0.27,0.68,-0.42,-0.03,0.62,3.30,3.68,-0.89,5,Estratificado
21/2021/04 14:32:36,39,27,31,1023,-0.04,0.30,0.83,-0.44,-0.01,0.64,2.84,3.11,-1.34,5,Estratificado
21/2021/04 14:32:39,41,26,31,1023,-0.11,0.26,0.69,-0.46,-0.01,0.67,3.46,2.69,-0.60,5,Estratificado
21/2021/04 14:32:42,33,22,31,1023,0.34,0.25,0.82,-0.41,-0.11,0.66,4.27,6.10,-0.63,5,Estratificado
21/2021/04 14:32:45,33,22,31,1023,-0.33,0.26,0.75,-0.41,-0.03,0.62,3.47,4.02,-0.31,5,Estratificado
21/2021/04 14:32:48,37,26,30,1023,-0.54,0.27,0.72,-0.46,-0.00,0.66,2.93,3.52,-1.22,5,Estratificado
21/2021/04 14:32:51,41,28,32,1023,-1.07,0.27,0.85,-0.42,-0.01,0.64,3.72,2.17,-0.66,5,Estratificado
21/2021/04 14:32:54,31,16,31,1023,-0.02,0.30,0.82,-0.39,-0.02,0.61,3.65,4.82,-1.01,5,Estratificado
21/2021/04 14:32:57,34,23,31,1023,-0.52,0.28,0.82,-0.42,0.05,0.65,3.41,5.13,-0.66,5,Estratificado
21/2021/04 14:33:00,42,27,33,1023,2.00,0.32,0.75,-0.41,0.00,0.63,3.74,3.04,-0.25,5,Estratificado
21/2021/04 14:33:03,41,29,31,1023,-0.23,0.40,0.93,-0.38,-0.01,0.61,3.97,3.81,-0.62,5,Estratificado
21/2021/04 14:33:06,32,18,31,1023,0.05,0.29,0.86,-0.41,0.00,0.63,3.91,1.27,-0.08,5,Estratificado
21/2021/04 14:33:09,35,23,31,1023,-0.32,0.26,0.81,-0.43,-0.03,0.63,3.16,4.35,-1.15,5,Estratificado
21/2021/04 14:33:12,43,31,31,1023,0.48,0.25,0.90,-0.48,0.04,0.67,2.95,3.45,-0.67,5,Estratificado
21/2021/04 14:33:15,40,24,31,1023,0.50,0.26,0.66,-0.42,-0.02,0.64,3.95,2.98,-0.45,5,Estratificado
21/2021/04 14:33:18,34,20,32,1023,-2.00,0.27,0.77,-0.39,0.01,0.62,3.63,4.63,-0.52,5,Estratificado
21/2021/04 14:33:21,40,28,31,1023,0.24,0.27,0.74,-0.45,0.00,0.64,2.99,3.62,-0.92,5,Estratificado
21/2021/04 14:33:24,40,31,31,1023,-0.20,0.27,0.88,-0.42,0.00,0.64,3.70,2.90,-0.50,5,Estratificado
21/2021/04 14:33:27,30,13,32,1023,-1.65,0.27,0.66,-0.40,-0.01,0.60,4.02,5.61,0.05,5,Estratificado
21/2021/04 14:33:30,35,21,31,1023,-0.10,0.27,0.81,-0.37,-0.02,0.60,3.37,3.73,-0.90,5,Estratificado
21/2021/04 14:33:33,45,36,32,1023,1.20,0.25,0.83,-0.42,0.03,0.64,3.59,3.00,-1.09,5,Estratificado
21/2021/04 14:33:36,32,16,32,1023,-2.00,0.29,0.77,-0.40,0.03,0.64,3.89,3.38,-0.33,5,Estratificado
21/2021/04 14:33:39,33,15,31,1023,0.19,0.25,0.79,-0.38,0.01,0.62,3.36,4.68,-0.70,5,Estratificado
21/2021/04 14:33:42,36,21,31,1023,0.30,0.26,0.73,-0.43,-0.01,0.63,3.04,4.51,-1.24,5,Estratificado
21/2021/04 14:33:45,44,39,31,1023,0.13,0.26,0.83,-0.45,-0.02,0.66,3.24,3.23,-0.95,5,Estratificado
21/2021/04 14:33:48,34,18,31,1010,-0.35,0.27,0.73,-0.44,0.01,0.65,3.59,2.21,-0.27,5,Estratificado
21/2021/04 14:33:51,32,15,31,1023,0.63,0.26,0.83,-0.38,-0.02,0.61,3.63,5.08,-0.36,5,Estratificado
21/2021/04 14:33:54,37,28,33,1023,2.00,0.24,0.74,-0.47,-0.00,0.67,2.85,3.16,-2.11,5,Estratificado
21/2021/04 14:33:57,45,32,32,1023,0.73,0.24,0.93,-0.45,0.07,0.65,3.57,3.06,-0.31,5,Estratificado
21/2021/04 14:34:00,31,14,31,1023,-0.29,0.24,0.67,-0.36,-0.00,0.62,4.04,4.47,-0.24,5,Estratificado
21/2021/04 14:34:03,36,20,31,1023,0.52,0.25,0.76,-0.41,-0.00,0.65,2.79,4.53,-1.37,5,Estratificado
21/2021/04 14:34:06,47,37,32,1023,-0.05,0.24,0.74,-0.42,-0.00,0.65,3.54,2.44,-0.42,5,Estratificado
21/2021/04 14:34:09,32,17,32,1023,-1.02,0.24,0.84,-0.36,-0.01,0.60,4.08,4.18,-0.31,5,Estratificado
21/2021/04 14:34:12,38,26,32,1023,-1.17,0.24,0.70,-0.38,0.01,0.62,2.54,4.77,-0.81,5,Estratificado
21/2021/04 14:34:15,50,38,31,1023,-2.00,0.26,0.92,-0.44,0.01,0.66,3.66,2.77,-0.85,5,Estratificado
21/2021/04 14:34:18,33,15,32,1023,2.00,0.26,0.70,-0.37,0.07,0.61,3.66,4.15,-1.10,5,Estratificado
