data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 14:04:29,32,25,30,1023,-0.67,0.40,0.70,-0.45,-0.00,0.65,3.33,2.34,-1.02,1,Estratificado
21/2021/04 14:04:29,40,30,31,1023,0.22,0.40,0.72,-0.42,0.00,0.64,3.82,3.37,-0.17,1,Estratificado
21/2021/04 14:04:29,30,16,30,1023,0.04,0.40,0.61,-0.40,0.01,0.62,3.73,4.52,-0.44,1,Estratificado
21/2021/04 14:04:30,32,20,30,1023,0.26,0.40,0.68,-0.43,-0.01,0.63,3.21,4.01,-0.92,1,Estratificado
21/2021/04 14:04:33,48,39,30,1023,0.89,0.40,0.68,-0.48,-0.01,0.68,3.07,3.24,-0.82,1,Estratificado
21/2021/04 14:04:36,36,23,29,1023,0.28,0.40,0.73,-0.39,0.01,0.63,4.03,3.82,-0.31,1,Estratificado
21/2021/04 14:04:39,27,13,30,1023,-1.08,0.40,0.67,-0.38,0.00,0.61,3.69,4.69,-0.46,1,Estratificado
21/2021/04 14:04:42,33,21,31,1023,0.54,0.40,0.71,-0.43,-0.02,0.64,3.24,3.94,-1.11,1,Estratificado
21/2021/04 14:04:45,51,38,30,1023,-1.73,0.40,0.72,-0.46,-0.00,0.66,3.47,2.68,-0.78,1,Estratificado
21/2021/04 14:04:48,44,31,30,1023,0.16,0.39,0.71,-0.41,-0.01,0.63,4.14,3.21,-0.07,1,Estratificado
21/2021/04 14:04:51,31,14,30,1023,-1.26,0.40,0.75,-0.40,0.02,0.63,3.82,4.18,-0.50,1,Estratificado
21/2021/04 14:04:54,27,13,31,1023,-0.28,0.39,0.69,-0.37,0.01,0.61,3.31,4.61,-1.07,1,Estratificado
21/2021/04 14:04:57,33,19,30,1023,0.15,0.39,0.70,-0.42,0.00,0.65,3.02,3.52,-1.31,1,Estratificado
21/2021/04 14:05:00,41,36,30,1023,0.41,0.39,0.72,-0.43,-0.00,0.65,3.67,2.74,-0.08,1,Estratificado
21/2021/04 14:05:03,30,14,30,1023,-1.23,0.39,0.72,-0.41,-0.01,0.62,3.76,4.33,-0.85,1,Estratificado
21/2021/04 14:05:06,29,14,29,1023,-1.21,0.39,0.68,-0.43,0.01,0.65,3.53,4.67,-0.76,1,Estratificado
21/2021/04 14:05:09,41,26,30,1023,0.08,0.39,0.72,-0.47,-0.01,0.66,3.03,3.21,-1.10,1,Estratificado
21/2021/04 14:05:12,49,36,30,1023,0.49,0.39,0.69,-0.46,0.01,0.69,3.98,1.52,-0.32,1,Estratificado
21/2021/04 14:05:15,29,14,30,1023,-0.58,0.39,0.69,-0.40,0.02,0.63,3.60,4.51,-0.80,1,Estratificado
21/2021/04 14:05:18,28,13,30,1023,-0.15,0.39,0.66,-0.40,0.02,0.63,3.24,5.17,-0.60,1,Estratificado
21/2021/04 14:05:21,33,22,31,1023,-0.23,0.39,0.69,-0.44,0.01,0.64,3.33,3.64,-0.80,1,Estratificado
21/2021/04 14:05:24,52,36,30,1023,0.34,0.39,0.71,-0.47,-0.01,0.67,3.68,2.90,-0.60,1,Estratificado
21/2021/04 14:05:27,43,32,29,1023,0.89,0.39,0.69,-0.45,-0.00,0.65,4.05,2.27,-0.26,1,Estratificado
21/2021/04 14:05:30,31,15,30,1023,-2.00,0.39,0.72,-0.39,0.01,0.62,3.73,4.88,-0.57,1,Estratificado
21/2021/04 14:05:33,33,13,30,1023,0.65,0.39,0.72,-0.40,0.01,0.63,3.27,5.18,-0.87,1,Estratificado
21/2021/04 14:05:36,33,19,30,1023,-0.08,0.39,0.74,-0.43,-0.01,0.63,3.11,3.50,-1.12,1,Estratificado
21/2021/04 14:05:39,49,40,30,1023,-0.21,0.39,0.70,-0.42,0.00,0.64,3.60,2.79,-0.69,1,Estratificado
21/2021/04 14:05:42,40,31,30,1023,0.15,0.40,0.70,-0.44,-0.02,0.64,3.75,2.56,-0.07,1,Estratificado
21/2021/04 14:05:45,28,15,31,1023,0.69,0.39,0.68,-0.38,0.01,0.62,3.76,4.27,-0.92,1,Estratificado
21/2021/04 14:05:48,31,13,31,1023,-0.87,0.39,0.70,-0.38,0.01,0.63,3.24,4.63,-0.68,1,Estratificado
21/2021/04 14:05:51,33,21,31,1023,-0.33,0.39,0.70,-0.42,0.01,0.63,3.08,3.63,-0.91,1,Estratificado
21/2021/04 14:05:54,54,38,31,1023,0.64,0.39,0.68,-0.43,-0.02,0.62,4.08,3.06,-0.63,1,Estratificado
21/2021/04 14:05:57,39,26,31,1023,0.31,0.39,0.69,-0.41,-0.01,0.63,3.91,2.91,-0.44,1,Estratificado
21/2021/04 14:06:00,26,13,30,1023,0.32,0.39,0.66,-0.39,0.01,0.62,3.76,4.77,-0.68,1,Estratificado
21/2021/04 14:06:03,31,19,30,1023,-0.91,0.39,0.60,-0.45,0.01,0.67,3.24,2.98,-0.91,1,Estratificado
21/2021/04 14:06:06,41,36,30,1023,0.19,0.39,0.67,-0.41,-0.00,0.64,3.66,3.36,-0.41,1,Estratificado
21/2021/04 14:06:09,32,19,31,1023,-0.75,0.38,0.66,-0.38,-0.01,0.63,3.89,3.24,-0.14,1,Estratificado
21/2021/04 14:06:12,27,14,31,1023,-0.19,0.39,0.69,-0.36,-0.02,0.59,3.60,4.48,-0.85,1,Estratificado
21/2021/04 14:06:15,33,21,31,1023,0.26,0.38,0.67,-0.43,-0.07,0.63,3.29,3.96,-0.86,1,Estratificado
21/2021/04 14:06:18,51,36,30,1023,0.81,0.38,0.69,-0.39,-0.01,0.62,4.02,3.47,-0.31,1,Estratificado
21/2021/04 14:06:21,33,18,30,1023,-0.01,0.39,0.64,-0.38,0.00,0.62,3.93,4.14,-0.55,1,Estratificado
21/2021/04 14:06:24,26,14,31,1023,-1.16,0.38,0.70,-0.42,0.02,0.64,2.92,4.71,-1.28,1,Estratificado
21/2021/04 14:06:27,33,21,31,1023,-1.25,0.38,0.67,-0.43,-0.01,0.64,3.07,3.58,-1.15,1,Estratificado
21/2021/04 14:06:30,46,37,30,1023,-0.32,0.38,0.71,-0.40,-0.01,0.63,4.13,3.05,-0.49,1,Estratificado
21/2021/04 14:06:33,34,20,30,1023,0.15,0.38,0.67,-0.41,-0.00,0.63,4.15,3.77,-0.01,1,Estratificado
21/2021/04 14:06:36,25,15,30,1023,0.05,0.37,0.69,-0.41,0.01,0.63,3.54,4.24,-0.43,1,Estratificado
21/2021/04 14:06:39,32,19,30,1023,0.24,0.38,0.65,-0.45,-0.01,0.65,2.98,3.20,-1.08,1,Estratificado
21/2021/04 14:06:42,41,36,31,1023,0.26,0.37,0.65,-0.45,-0.00,0.66,3.79,2.58,-0.36,1,Estratificado
21/2021/04 14:06:45,39,28,30,1023,-0.24,0.38,0.61,-0.41,-0.00,0.62,3.73,3.75,-0.29,1,Estratificado
21/2021/04 14:06:48,30,17,30,1023,0.24,0.38,0.69,-0.41,0.01,0.63,3.40,4.60,-0.65,1,Estratificado
21/2021/04 14:06:51,32,17,31,1023,-0.62,0.38,0.63,-0.46,-0.01,0.65,3.06,4.56,-0.95,1,Estratificado
21/2021/04 14:06:54,40,22,30,1023,-0.88,0.38,0.67,-0.45,-0.01,0.65,3.22,2.66,-1.05,1,Estratificado
21/2021/04 14:06:57,46,36,31,1023,-0.95,0.38,0.68,-0.44,-0.00,0.66,3.70,3.44,-0.62,1,Estratificado
21/2021/04 14:07:00,31,14,30,1023,-0.11,0.38,0.67,-0.38,-0.02,0.61,3.98,4.81,-0.60,1,Estratificado
21/2021/04 14:07:03,27,12,31,1023,-0.98,0.38,0.68,-0.41,0.01,0.63,3.00,5.60,-1.02,1,Estratificado
21/2021/04 14:07:06,32,19,30,1023,-0.84,0.39,0.69,-0.43,-0.00,0.64,3.24,3.43,-0.92,1,Estratificado
21/2021/04 14:07:09,49,39,30,1023,-0.63,0.38,0.69,-0.45,-0.01,0.65,3.59,2.99,-0.78,1,Estratificado
21/2021/04 14:07:12,39,25,30,1023,-0.73,0.39,0.65,-0.43,0.00,0.63,4.02,2.73,-0.19,1,Estratificado
21/2021/04 14:07:15,31,15,30,1023,-0.27,0.38,0.69,-0.40,0.01,0.62,3.79,4.29,-0.56,1,Estratificado
21/2021/04 14:07:18,37,14,30,1023,-0.23,0.39,0.69,-0.44,0.01,0.65,3.13,5.15,-1.02,1,Estratificado
21/2021/04 14:07:21,33,18,29,1023,-0.28,0.38,0.64,-0.41,-0.01,0.63,3.22,4.06,-1.13,1,Estratificado
21/2021/04 14:07:24,57,37,31,1023,0.41,0.38,0.64,-0.40,-0.01,0.63,3.65,3.38,-0.54,1,Estratificado
21/2021/04 14:07:27,38,24,29,1023,-0.11,0.38,0.67,-0.38,-0.01,0.62,3.98,4.30,-0.16,1,Estratificado
21/2021/04 14:07:30,32,16,30,1023,0.04,0.38,0.69,-0.41,0.01,0.61,3.58,3.97,-0.79,1,Estratificado
