data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 20:25:15,37,23,29,939,0.51,0.61,1.27,-0.43,0.02,0.66,4.40,1.92,0.14,3,Plug
18/2021/04 20:25:15,34,23,30,944,-1.82,0.61,1.22,-0.39,0.06,0.59,3.71,3.94,-0.71,3,Plug
18/2021/04 20:25:15,36,22,34,943,-0.59,0.61,1.26,-0.43,0.03,0.65,3.65,4.26,-0.27,3,Plug
18/2021/04 20:25:15,30,23,30,938,-0.77,0.61,1.23,-0.42,0.01,0.65,3.66,3.08,-0.85,3,Plug
18/2021/04 20:25:15,35,22,32,940,-0.74,0.61,1.25,-0.41,-0.01,0.63,4.17,4.18,0.02,3,Plug
18/2021/04 20:25:16,34,22,29,941,-1.23,0.61,1.27,-0.36,0.02,0.64,3.43,4.63,-0.74,3,Plug
18/2021/04 20:25:19,36,24,30,938,-0.13,0.61,1.21,-0.49,-0.01,0.66,3.56,1.66,-0.86,3,Plug
18/2021/04 20:25:22,38,25,30,940,-0.37,0.61,1.22,-0.39,0.00,0.66,4.80,2.08,0.40,3,Plug
18/2021/04 20:25:25,31,21,40,944,-2.00,0.61,1.28,-0.36,0.01,0.58,3.92,5.01,-0.77,3,Plug
18/2021/04 20:25:28,33,20,29,943,1.56,0.61,1.28,-0.46,0.02,0.65,3.05,5.09,-1.19,3,Plug
18/2021/04 20:25:31,36,24,30,941,0.19,0.61,1.26,-0.44,0.01,0.65,4.46,2.83,-0.03,3,Plug
18/2021/04 20:25:34,37,23,30,945,0.18,0.61,1.19,-0.37,-0.02,0.62,3.94,4.58,-0.89,3,Plug
18/2021/04 20:25:37,32,21,29,948,-1.75,0.61,1.18,-0.40,0.08,0.66,3.09,0.68,-0.72,3,Plug
18/2021/04 20:25:40,34,22,29,942,-0.35,0.61,1.31,-0.44,0.01,0.66,3.90,2.37,-0.40,3,Plug
18/2021/04 20:25:43,36,25,29,946,-0.25,0.61,1.26,-0.41,0.04,0.63,4.08,2.87,-0.36,3,Plug
18/2021/04 20:25:46,37,23,30,949,-0.46,0.61,1.23,-0.41,0.02,0.61,3.14,6.74,-1.19,3,Plug
18/2021/04 20:25:49,34,21,29,948,-0.33,0.60,1.28,-0.44,-0.06,0.65,3.47,3.88,-1.15,3,Plug
18/2021/04 20:25:52,38,22,30,945,-0.61,0.60,1.29,-0.48,-0.01,0.67,3.53,2.84,-1.42,3,Plug
18/2021/04 20:25:55,38,25,31,943,-0.43,0.60,1.25,-0.43,-0.03,0.66,3.89,1.47,0.04,3,Plug
18/2021/04 20:25:58,37,25,30,948,-1.67,0.60,1.32,-0.35,-0.00,0.60,4.00,4.11,-0.11,3,Plug
