data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 17:24:16,115,107,98,1023,0.39,0.33,0.62,-0.45,-0.01,0.65,3.29,3.19,-1.26,2,Estratificado
21/2021/04 17:24:16,119,110,101,1023,-0.48,0.33,0.63,-0.43,-0.01,0.65,3.86,2.75,-0.33,2,Estratificado
21/2021/04 17:24:16,104,90,101,1022,-0.47,0.32,0.59,-0.39,0.01,0.62,3.85,3.94,-0.27,2,Estratificado
21/2021/04 17:24:16,101,85,98,1023,0.46,0.32,0.61,-0.39,-0.00,0.63,3.34,4.67,-0.72,2,Estratificado
21/2021/04 17:24:16,103,86,97,1023,0.37,0.32,0.56,-0.42,0.01,0.64,3.09,4.61,-1.18,2,Estratificado
21/2021/04 17:24:19,104,92,98,1023,0.40,0.33,0.63,-0.43,0.01,0.63,3.10,3.69,-1.23,2,Estratificado
21/2021/04 17:24:22,115,104,98,1023,0.54,0.32,0.59,-0.44,-0.01,0.66,3.08,4.66,-1.82,2,Estratificado
21/2021/04 17:24:25,116,111,98,1023,-1.19,0.33,0.59,-0.44,-0.00,0.65,3.68,2.65,-0.63,2,Estratificado
21/2021/04 17:24:28,109,99,95,1023,0.31,0.32,0.58,-0.41,0.00,0.62,3.98,2.51,-0.20,2,Estratificado
21/2021/04 17:24:31,101,83,98,1022,0.02,0.32,0.57,-0.39,0.00,0.60,3.78,3.98,-1.05,2,Estratificado
21/2021/04 17:24:34,99,86,96,1023,0.27,0.32,0.63,-0.38,-0.03,0.62,3.53,4.47,-0.95,2,Estratificado
21/2021/04 17:24:37,101,84,98,1023,0.08,0.31,0.56,-0.40,0.01,0.62,3.50,3.93,-0.81,2,Estratificado
21/2021/04 17:24:40,99,85,95,1023,-0.34,0.32,0.48,-0.43,0.00,0.64,2.95,4.26,-1.03,2,Estratificado
21/2021/04 17:24:43,104,89,98,1023,-1.30,0.32,0.57,-0.43,0.01,0.65,2.80,3.31,-1.53,2,Estratificado
21/2021/04 17:24:46,122,112,99,1023,-0.02,0.32,0.59,-0.44,-0.01,0.64,3.71,2.32,-0.42,2,Estratificado
21/2021/04 17:24:49,111,101,96,1023,0.01,0.32,0.66,-0.44,0.01,0.65,3.89,2.37,-0.08,2,Estratificado
21/2021/04 17:24:52,99,82,95,1022,-0.06,0.31,0.61,-0.39,0.01,0.62,3.99,3.18,0.02,2,Estratificado
21/2021/04 17:24:55,105,88,100,1023,0.17,0.31,0.67,-0.39,0.02,0.62,3.41,4.31,-0.71,2,Estratificado
21/2021/04 17:24:58,98,83,97,1023,-0.14,0.31,0.53,-0.39,0.01,0.63,3.46,4.98,-0.92,2,Estratificado
21/2021/04 17:25:01,104,87,97,1023,0.18,0.31,0.54,-0.44,-0.02,0.64,2.86,4.61,-1.54,2,Estratificado
21/2021/04 17:25:04,101,87,94,1023,-0.49,0.31,0.58,-0.43,-0.01,0.63,3.00,3.86,-1.36,2,Estratificado
21/2021/04 17:25:07,119,113,101,1023,0.90,0.31,0.64,-0.46,0.03,0.65,3.43,2.48,-0.56,2,Estratificado
21/2021/04 17:25:10,116,107,95,1023,-0.10,0.31,0.59,-0.39,-0.00,0.63,4.37,2.11,-0.34,2,Estratificado
21/2021/04 17:25:13,111,103,97,1023,0.75,0.31,0.59,-0.44,-0.02,0.65,3.87,2.66,-0.04,2,Estratificado
21/2021/04 17:25:16,109,96,100,1023,0.08,0.31,0.53,-0.41,-0.03,0.62,3.92,2.79,-0.26,2,Estratificado
21/2021/04 17:25:19,101,85,98,1023,-0.35,0.31,0.56,-0.36,0.02,0.61,3.85,4.34,-0.55,2,Estratificado
21/2021/04 17:25:22,104,89,101,1023,-0.38,0.30,0.60,-0.39,0.02,0.62,3.52,4.37,-0.65,2,Estratificado
21/2021/04 17:25:25,98,86,101,1023,0.96,0.30,0.56,-0.39,-0.00,0.64,3.08,5.05,-1.04,2,Estratificado
21/2021/04 17:25:28,101,88,95,1023,0.11,0.30,0.54,-0.43,0.00,0.64,2.89,4.17,-1.42,2,Estratificado
21/2021/04 17:25:31,105,96,97,1023,-0.03,0.30,0.51,-0.43,0.00,0.65,2.87,3.37,-1.25,2,Estratificado
21/2021/04 17:25:34,120,111,99,1023,0.07,0.30,0.58,-0.45,0.01,0.65,3.24,2.87,-0.85,2,Estratificado
21/2021/04 17:25:37,111,102,95,1023,0.25,0.30,0.50,-0.48,0.01,0.68,3.58,2.86,0.20,2,Estratificado
21/2021/04 17:25:40,102,85,98,1023,-0.58,0.30,0.48,-0.37,0.01,0.63,4.01,4.29,-0.73,2,Estratificado
21/2021/04 17:25:43,100,85,99,1023,-1.82,0.29,0.52,-0.39,-0.02,0.61,3.73,4.73,-0.74,2,Estratificado
21/2021/04 17:25:46,104,90,98,1023,-0.77,0.29,0.53,-0.45,-0.02,0.64,3.21,3.43,-0.84,2,Estratificado
21/2021/04 17:25:49,105,96,98,1023,0.73,0.29,0.57,-0.47,-0.02,0.66,2.89,3.08,-1.02,2,Estratificado
21/2021/04 17:25:52,107,102,98,1023,0.58,0.29,0.54,-0.41,-0.01,0.64,3.91,2.30,-0.62,2,Estratificado
21/2021/04 17:25:55,109,95,98,1023,0.09,0.30,0.56,-0.43,0.01,0.66,3.65,2.92,0.02,2,Estratificado
21/2021/04 17:25:58,102,87,97,1015,0.25,0.29,0.50,-0.41,-0.02,0.62,4.11,4.08,-0.49,2,Estratificado
21/2021/04 17:26:01,105,92,101,1023,0.26,0.30,0.57,-0.40,-0.03,0.60,3.77,5.92,-0.89,2,Estratificado
21/2021/04 17:26:04,101,83,98,1023,-1.35,0.30,0.51,-0.40,-0.00,0.62,3.15,4.30,-0.77,2,Estratificado
21/2021/04 17:26:07,104,88,98,1023,1.32,0.29,0.52,-0.46,0.03,0.66,3.00,4.57,-0.87,2,Estratificado
