data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
21/2021/04 14:45:34,32,16,31,1023,-0.67,0.31,0.57,-0.36,0.02,0.61,3.48,4.19,-0.49,1,Estratificado
21/2021/04 14:45:34,33,16,32,1023,0.72,0.31,0.51,-0.40,0.01,0.63,2.94,5.18,-0.99,1,Estratificado
21/2021/04 14:45:34,35,20,31,1023,-0.58,0.32,0.50,-0.43,-0.01,0.64,3.07,3.74,-1.14,1,Estratificado
21/2021/04 14:45:34,44,37,31,1023,-0.37,0.33,0.53,-0.47,-0.00,0.67,3.45,2.05,-0.66,1,Estratificado
21/2021/04 14:45:36,47,34,31,1023,-0.35,0.33,0.53,-0.42,-0.01,0.63,3.98,2.18,-0.21,1,Estratificado
21/2021/04 14:45:39,32,16,31,1023,0.37,0.35,0.56,-0.39,0.00,0.62,3.64,4.32,-0.53,1,Estratificado
21/2021/04 14:45:42,30,16,32,1023,-0.42,0.34,0.53,-0.40,0.00,0.63,3.63,4.55,-0.69,1,Estratificado
21/2021/04 14:45:45,33,22,31,1023,-0.28,0.31,0.53,-0.45,-0.00,0.65,3.09,3.76,-1.20,1,Estratificado
21/2021/04 14:45:48,45,34,31,1023,-0.82,0.32,0.54,-0.46,-0.00,0.66,3.40,2.15,-0.92,1,Estratificado
21/2021/04 14:45:51,39,34,31,1023,-0.36,0.32,0.54,-0.42,-0.01,0.65,3.61,2.89,-0.33,1,Estratificado
21/2021/04 14:45:54,33,17,31,1023,0.33,0.32,0.59,-0.38,0.01,0.62,3.69,4.25,-0.52,1,Estratificado
21/2021/04 14:45:57,29,16,31,1023,-0.27,0.31,0.54,-0.41,0.02,0.62,3.16,4.59,-0.98,1,Estratificado
21/2021/04 14:46:00,34,21,31,1023,-0.13,0.31,0.50,-0.45,-0.00,0.65,2.93,3.43,-1.09,1,Estratificado
21/2021/04 14:46:03,43,31,32,1023,0.09,0.31,0.46,-0.46,-0.01,0.65,3.47,2.05,-1.03,1,Estratificado
21/2021/04 14:46:06,44,33,31,1023,-0.68,0.32,0.56,-0.41,-0.00,0.65,3.73,3.53,-0.58,1,Estratificado
