data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
20/2021/04 00:38:43,30,12,28,1023,-2.00,0.52,1.18,-0.32,-0.01,0.60,4.34,5.94,-0.28,5,Golfada
20/2021/04 00:38:43,33,17,28,1023,-0.72,0.51,1.15,-0.44,-0.01,0.65,3.59,3.78,-1.05,5,Golfada
20/2021/04 00:38:44,44,37,28,1023,0.01,0.54,1.18,-0.42,-0.01,0.64,3.88,3.22,-0.85,5,Golfada
20/2021/04 00:38:47,29,12,27,1023,-0.34,0.51,1.07,-0.39,0.02,0.62,3.63,4.85,-0.81,5,Golfada
20/2021/04 00:38:50,32,15,28,1023,-0.16,0.51,1.13,-0.43,-0.01,0.65,3.16,4.44,-1.06,5,Golfada
20/2021/04 00:38:53,48,36,28,1023,-0.27,0.51,1.19,-0.39,0.01,0.65,3.98,3.49,-0.35,5,Golfada
20/2021/04 00:38:56,30,13,28,1023,0.40,0.53,1.19,-0.40,0.01,0.63,4.05,3.89,-0.11,5,Golfada
20/2021/04 00:38:59,24,9,28,1023,-2.00,0.53,1.07,-0.39,0.04,0.63,3.89,5.01,-0.85,5,Golfada
20/2021/04 00:39:02,32,18,27,1023,-0.70,0.57,1.08,-0.31,0.07,0.65,3.42,8.04,-2.79,5,Golfada
20/2021/04 00:39:05,44,35,27,1023,-0.47,0.55,1.20,-0.41,0.02,0.67,4.08,3.21,-0.60,5,Golfada
20/2021/04 00:39:08,30,12,27,1023,-0.45,0.59,1.14,-0.37,0.04,0.62,4.17,3.96,-0.31,5,Golfada
20/2021/04 00:39:11,21,13,29,1023,2.00,0.61,1.14,-0.40,-0.00,0.63,3.73,4.83,-0.83,5,Golfada
20/2021/04 00:39:14,32,17,28,1023,0.42,0.61,1.14,-0.40,0.02,0.64,3.44,3.42,-1.25,5,Golfada
20/2021/04 00:39:17,46,36,28,1023,0.29,0.58,1.08,-0.45,-0.07,0.64,4.50,0.47,0.16,5,Golfada
20/2021/04 00:39:20,30,13,27,1023,0.26,0.66,1.17,-0.38,-0.13,-0.13,-15.70,-15.70,-15.70,5,Golfada
20/2021/04 00:39:23,27,12,28,1023,-2.00,0.64,1.12,-0.40,0.01,0.64,3.56,4.62,-1.03,5,Golfada
20/2021/04 00:39:26,32,21,27,1023,-0.72,0.52,1.17,-0.43,0.00,0.62,3.44,3.37,-1.15,5,Golfada
20/2021/04 00:39:29,38,37,28,1023,0.52,0.54,1.12,-0.43,0.02,0.66,3.64,3.36,-0.84,5,Golfada
20/2021/04 00:39:32,32,17,29,1022,2.00,0.61,1.20,-0.41,0.04,0.66,4.47,1.89,-0.15,5,Golfada
20/2021/04 00:39:35,30,13,28,1023,1.78,0.66,1.11,-0.40,-0.00,0.63,4.03,4.96,-0.02,5,Golfada
20/2021/04 00:39:38,31,17,27,1023,0.15,0.63,1.21,-0.42,-0.00,0.65,3.47,4.51,-1.18,5,Golfada
20/2021/04 00:39:41,39,25,28,1023,1.14,0.55,1.16,-0.44,0.04,0.65,3.18,3.58,-1.67,5,Golfada
20/2021/04 00:39:44,46,34,28,1023,-0.65,0.54,1.13,-0.44,0.04,0.71,2.86,3.50,-0.96,5,Golfada
20/2021/04 00:39:47,29,13,28,1023,0.36,0.53,1.15,-0.39,-0.05,0.61,4.63,5.02,0.57,5,Golfada
20/2021/04 00:39:50,28,10,27,1023,-0.04,0.52,1.13,-0.39,0.02,0.63,3.60,4.48,-0.50,5,Golfada
20/2021/04 00:39:53,32,17,27,1023,-1.96,0.51,1.04,-0.39,-0.01,0.62,3.44,5.04,-0.88,5,Golfada
20/2021/04 00:39:56,39,32,27,1023,0.14,0.51,1.15,-0.44,-0.00,0.65,4.04,3.46,-0.38,5,Golfada
20/2021/04 00:39:59,28,13,27,1023,-0.36,0.51,1.13,-0.38,-0.00,0.62,3.85,4.02,-0.54,5,Golfada
20/2021/04 00:40:02,27,12,27,1023,-0.63,0.51,1.08,-0.44,-0.00,0.65,3.74,3.82,-0.82,5,Golfada
20/2021/04 00:40:05,36,19,28,1023,0.37,0.57,1.12,-0.42,-0.01,0.62,2.81,4.58,-1.02,5,Golfada
20/2021/04 00:40:08,39,35,27,1023,0.27,0.54,1.10,-0.41,0.01,0.63,4.19,2.76,-0.11,5,Golfada
20/2021/04 00:40:11,28,13,28,1023,-2.00,0.57,1.10,-0.42,0.03,0.64,4.34,3.08,-0.63,5,Golfada
20/2021/04 00:40:14,32,15,28,1023,0.03,0.61,1.09,-0.43,0.01,0.65,3.58,4.41,-1.20,5,Golfada
20/2021/04 00:40:17,41,30,27,1023,0.58,0.52,1.13,-0.40,0.02,0.66,3.82,2.39,-0.76,5,Golfada
