data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 21:14:11,37,25,32,1023,-0.96,0.51,1.20,-0.43,-0.01,0.64,3.20,3.71,-1.10,5,Golfada
18/2021/04 21:14:11,39,31,32,1023,-0.54,0.51,1.14,-0.39,0.00,0.65,4.05,2.48,-0.58,5,Golfada
18/2021/04 21:14:11,36,22,32,1023,-2.00,0.51,1.16,-0.38,0.02,0.61,3.83,4.44,-0.45,5,Golfada
18/2021/04 21:14:11,35,26,32,1023,-0.85,0.51,1.18,-0.42,0.00,0.66,3.02,-1.13,0.13,5,Golfada
18/2021/04 21:14:11,48,35,31,1023,-2.00,0.51,1.18,-0.45,-0.01,0.67,3.47,1.24,-0.32,5,Golfada
18/2021/04 21:14:11,28,18,31,1023,0.11,0.51,1.12,-0.38,0.01,0.63,3.95,5.20,-0.55,5,Golfada
18/2021/04 21:14:14,34,20,31,1023,0.09,0.51,1.19,-0.43,-0.01,0.63,2.82,6.93,-2.04,5,Golfada
18/2021/04 21:14:17,44,34,31,1023,-0.15,0.51,1.16,-0.40,-0.05,0.58,3.44,4.64,-1.10,5,Golfada
18/2021/04 21:14:20,39,22,31,1023,-0.73,0.51,1.17,-0.41,0.01,0.65,4.00,3.20,-0.62,5,Golfada
18/2021/04 21:14:23,37,20,33,1023,-1.88,0.51,1.02,-0.43,-0.06,0.58,3.08,14.16,-2.33,5,Golfada
18/2021/04 21:14:26,37,26,32,1023,0.07,0.51,1.15,-0.43,-0.01,0.64,3.27,2.85,-1.17,5,Golfada
18/2021/04 21:14:29,46,36,31,1023,-0.92,0.51,1.15,-0.45,-0.00,0.70,3.45,4.27,-1.56,5,Golfada
18/2021/04 21:14:32,38,26,32,1023,0.04,0.51,1.19,-0.41,0.01,0.64,3.85,2.11,-0.04,5,Golfada
18/2021/04 21:14:35,28,15,31,1023,-1.94,0.51,1.15,-0.40,0.02,0.63,4.15,3.54,0.00,5,Golfada
18/2021/04 21:14:38,39,26,32,1023,-0.11,0.51,1.19,-0.41,0.03,0.63,2.27,4.63,-2.02,5,Golfada
18/2021/04 21:14:41,42,29,32,1023,-2.00,0.51,1.15,-0.45,0.00,0.64,3.37,2.11,-1.01,5,Golfada
18/2021/04 21:14:44,34,21,33,1023,-1.88,0.51,1.11,-0.38,0.03,0.66,3.60,-6.44,-2.13,5,Golfada
18/2021/04 21:14:47,35,27,31,1023,-0.89,0.51,1.13,-0.40,0.08,0.62,4.98,5.69,3.27,5,Golfada
