data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
22/2021/04 02:26:31,62,50,58,1011,0.40,0.21,0.31,-0.40,0.01,0.61,4.23,3.39,-0.18,1,Estratificado
22/2021/04 02:26:31,62,49,56,1016,-0.11,0.21,0.36,-0.42,-0.01,0.63,3.82,4.05,-0.60,1,Estratificado
22/2021/04 02:26:31,61,46,57,1015,-0.09,0.21,0.31,-0.44,0.01,0.64,3.23,4.31,-1.05,1,Estratificado
22/2021/04 02:26:31,61,49,57,1013,-0.16,0.21,0.33,-0.44,0.01,0.64,3.52,3.23,-1.05,1,Estratificado
22/2021/04 02:26:32,62,48,55,1011,0.16,0.21,0.28,-0.45,-0.04,0.66,3.98,2.26,-0.63,1,Estratificado
22/2021/04 02:26:35,59,46,55,1011,-0.21,0.21,0.37,-0.42,0.00,0.63,4.04,3.26,-0.53,1,Estratificado
22/2021/04 02:26:38,62,49,57,1010,-0.08,0.21,0.22,-0.41,-0.01,0.64,4.33,3.29,-0.39,1,Estratificado
22/2021/04 02:26:41,62,50,56,1012,-0.12,0.21,0.40,-0.37,0.01,0.60,4.35,4.04,-0.54,1,Estratificado
22/2021/04 02:26:44,60,47,55,1016,0.03,0.21,0.33,-0.40,0.00,0.62,3.87,4.64,-0.64,1,Estratificado
22/2021/04 02:26:47,61,47,58,1013,-0.11,0.21,0.31,-0.43,0.01,0.64,3.40,4.76,-0.87,1,Estratificado
22/2021/04 02:26:50,60,48,56,1012,-0.85,0.25,0.30,-0.47,0.00,0.66,3.21,3.40,-1.27,1,Estratificado
22/2021/04 02:26:53,61,49,56,1012,-0.67,0.24,0.28,-0.46,0.00,0.66,3.74,2.35,-1.09,1,Estratificado
22/2021/04 02:26:56,63,51,56,1013,0.23,0.21,0.34,-0.40,-0.00,0.63,4.17,3.31,-0.52,1,Estratificado
22/2021/04 02:26:59,63,49,57,1013,-0.17,0.21,0.31,-0.37,0.01,0.61,4.09,4.70,-0.56,1,Estratificado
22/2021/04 02:27:02,60,46,57,1014,-0.27,0.22,0.31,-0.42,0.00,0.64,3.31,5.57,-1.07,1,Estratificado
22/2021/04 02:27:05,61,47,58,1012,-0.06,0.21,0.32,-0.41,-0.01,0.61,3.65,2.83,-1.18,1,Estratificado
22/2021/04 02:27:08,61,48,55,1011,0.25,0.21,0.35,-0.40,-0.00,0.63,3.92,2.90,-0.73,1,Estratificado
22/2021/04 02:27:11,62,50,55,1013,-0.68,0.21,0.35,-0.39,0.01,0.61,4.30,3.62,-0.34,1,Estratificado
22/2021/04 02:27:14,60,47,57,1014,-0.03,0.21,0.34,-0.42,0.01,0.63,3.57,4.43,-0.86,1,Estratificado
22/2021/04 02:27:17,59,47,55,1014,-0.14,0.21,0.31,-0.45,-0.01,0.64,3.37,2.53,-0.89,1,Estratificado
22/2021/04 02:27:20,62,49,56,1009,-0.21,0.21,0.25,-0.41,-0.01,0.64,3.78,2.94,-0.73,1,Estratificado
22/2021/04 02:27:23,62,49,55,1013,0.11,0.22,0.31,-0.40,-0.00,0.61,4.21,3.38,-0.73,1,Estratificado
22/2021/04 02:27:26,60,47,57,1014,-0.36,0.25,0.34,-0.42,0.01,0.63,3.42,4.64,-0.64,1,Estratificado
22/2021/04 02:27:29,61,48,58,1012,-0.67,0.23,0.34,-0.46,-0.00,0.64,3.17,2.94,-1.08,1,Estratificado
22/2021/04 02:27:32,62,49,58,1009,-0.33,0.22,0.30,-0.42,-0.00,0.64,3.77,2.42,-0.95,1,Estratificado
22/2021/04 02:27:35,60,50,55,1010,0.19,0.22,0.39,-0.41,0.01,0.63,4.06,3.35,-0.56,1,Estratificado
22/2021/04 02:27:38,63,50,58,1013,-0.26,0.22,0.27,-0.40,0.01,0.62,3.76,4.35,-0.72,1,Estratificado
22/2021/04 02:27:41,60,45,57,1013,-0.07,0.22,0.33,-0.43,0.00,0.64,3.63,3.81,-0.84,1,Estratificado
22/2021/04 02:27:44,60,46,57,1012,0.52,0.20,0.31,-0.42,0.00,0.63,3.72,3.01,-1.26,1,Estratificado
22/2021/04 02:27:47,63,51,57,1010,-0.16,0.20,0.33,-0.41,-0.00,0.64,3.81,2.81,-0.68,1,Estratificado
22/2021/04 02:27:53,62,49,57,1013,-0.12,0.21,0.35,-0.38,-0.00,0.62,3.96,4.27,-0.71,1,Estratificado
22/2021/04 02:27:56,59,46,56,1013,-0.06,0.28,0.29,-0.42,0.00,0.63,3.60,4.42,-0.79,1,Estratificado
22/2021/04 02:27:59,61,49,57,1013,1.24,0.24,0.30,-0.46,0.02,0.67,3.34,3.69,-1.11,1,Estratificado
22/2021/04 02:28:02,62,49,56,1011,-0.22,0.25,0.26,-0.46,-0.00,0.66,3.50,3.08,-1.14,1,Estratificado
22/2021/04 02:28:05,64,52,58,1012,-0.20,0.32,0.33,-0.41,-0.00,0.63,4.11,3.21,-0.34,1,Estratificado
22/2021/04 02:28:08,62,48,57,1015,-0.27,0.22,0.27,-0.39,0.00,0.61,3.87,4.53,-0.61,1,Estratificado
22/2021/04 02:28:14,59,48,58,1011,-2.00,0.20,0.33,-0.44,0.01,0.65,3.21,3.05,-1.09,1,Estratificado
22/2021/04 02:28:17,63,52,57,1011,-0.14,0.20,0.27,-0.41,-0.00,0.64,4.09,3.18,-0.47,1,Estratificado
22/2021/04 02:28:20,62,49,56,1013,-0.03,0.21,0.31,-0.38,-0.00,0.60,4.22,3.76,-0.66,1,Estratificado
22/2021/04 02:28:23,60,47,57,1015,0.59,0.21,0.36,-0.42,0.01,0.63,3.62,4.29,-0.47,1,Estratificado
22/2021/04 02:28:26,62,48,56,1012,-0.09,0.25,0.27,-0.47,0.00,0.66,3.40,2.80,-0.97,1,Estratificado
22/2021/04 02:28:29,60,46,56,1009,-0.12,0.22,0.25,-0.45,-0.01,0.65,3.41,2.63,-1.35,1,Estratificado
22/2021/04 02:28:32,61,49,56,1011,-0.04,0.21,0.33,-0.39,-0.01,0.62,4.22,3.22,-0.34,1,Estratificado
22/2021/04 02:28:35,62,50,57,1013,0.00,0.20,0.28,-0.37,0.01,0.59,4.12,3.92,-0.27,1,Estratificado
22/2021/04 02:28:38,60,45,55,1015,0.33,0.21,0.32,-0.41,0.02,0.63,3.47,4.98,-1.23,1,Estratificado
22/2021/04 02:28:41,59,47,57,1013,-0.19,0.20,0.26,-0.46,-0.01,0.65,2.93,3.73,-1.58,1,Estratificado
22/2021/04 02:28:44,62,50,56,1011,-0.15,0.20,0.35,-0.39,-0.01,0.62,4.15,2.30,-0.36,1,Estratificado
22/2021/04 02:28:47,62,49,56,1013,0.25,0.20,0.31,-0.38,0.00,0.61,4.05,4.40,-0.68,1,Estratificado
22/2021/04 02:28:50,61,47,57,1014,0.03,0.20,0.28,-0.44,-0.02,0.65,3.43,4.75,-1.05,1,Estratificado
22/2021/04 02:28:53,62,49,57,1009,0.23,0.22,0.31,-0.46,-0.02,0.66,3.85,2.32,-1.20,1,Estratificado
22/2021/04 02:28:56,64,52,58,1012,0.20,0.20,0.41,-0.40,0.01,0.62,4.24,3.65,-0.39,1,Estratificado
22/2021/04 02:28:59,60,47,57,1014,-0.45,0.21,0.22,-0.41,0.01,0.62,3.61,4.52,-0.60,1,Estratificado
22/2021/04 02:29:02,58,47,55,1013,-0.17,0.21,0.39,-0.47,-0.01,0.65,3.18,3.69,-1.06,1,Estratificado
22/2021/04 02:29:05,61,48,56,1011,-0.00,0.28,0.35,-0.44,-0.02,0.65,3.97,2.15,-1.11,1,Estratificado
22/2021/04 02:29:08,64,50,57,1011,0.28,0.20,0.35,-0.40,0.03,0.64,4.19,3.21,-0.41,1,Estratificado
22/2021/04 02:29:11,62,49,56,1014,-0.30,0.20,0.28,-0.37,0.00,0.60,3.86,4.92,-0.69,1,Estratificado
22/2021/04 02:29:14,60,47,57,1014,-0.07,0.21,0.31,-0.44,0.00,0.65,3.50,4.05,-0.73,1,Estratificado
22/2021/04 02:29:26,61,48,56,1014,-0.06,0.20,0.25,-0.38,0.02,0.62,3.53,4.79,-1.24,1,Estratificado
22/2021/04 02:29:29,61,49,58,1013,-0.02,0.19,0.32,-0.43,0.00,0.65,3.50,4.58,-0.85,1,Estratificado
22/2021/04 02:29:32,62,49,57,1012,-0.23,0.20,0.28,-0.44,-0.01,0.63,3.37,2.66,-0.97,1,Estratificado
