data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
20/2021/04 15:39:23,41,26,55,1023,0.08,0.72,1.20,-0.39,0.02,0.63,3.26,2.81,-1.39,1,Plug
20/2021/04 15:39:23,40,27,55,1023,-0.76,0.72,1.19,-0.47,0.01,0.66,2.87,3.32,-1.53,1,Plug
20/2021/04 15:39:23,47,36,55,1023,-0.53,0.72,1.21,-0.43,0.01,0.64,3.27,3.45,-1.15,1,Plug
20/2021/04 15:39:23,53,42,55,1023,-2.00,0.72,1.19,-0.45,0.01,0.65,3.54,4.14,-0.14,1,Plug
20/2021/04 15:39:25,41,25,55,1023,0.37,0.72,1.20,-0.40,-0.01,0.63,3.35,3.47,-0.89,1,Plug
20/2021/04 15:39:28,42,27,56,1023,1.32,0.72,1.19,-0.46,0.01,0.68,3.11,4.85,-0.50,1,Plug
20/2021/04 15:39:31,48,45,54,1023,-1.88,0.72,1.19,-0.44,0.03,0.65,3.10,3.08,-1.22,1,Plug
20/2021/04 15:39:34,41,23,54,1023,-0.02,0.72,1.19,-0.41,-0.00,0.63,3.73,3.18,-0.37,1,Plug
20/2021/04 15:39:37,42,21,55,1023,-0.55,0.72,1.19,-0.41,0.02,0.64,3.10,4.65,-0.80,1,Plug
20/2021/04 15:39:40,48,36,55,1023,0.92,0.72,1.21,-0.45,-0.01,0.65,3.06,4.08,-0.44,1,Plug
20/2021/04 15:39:43,51,39,56,1023,-0.63,0.72,1.20,-0.45,0.01,0.66,3.76,3.42,-0.44,1,Plug
20/2021/04 15:39:46,41,24,55,1023,-1.27,0.72,1.15,-0.41,0.01,0.63,3.85,2.56,0.01,1,Plug
20/2021/04 15:39:49,42,27,54,1023,0.12,0.72,1.19,-0.41,-0.00,0.64,2.97,3.92,-1.18,1,Plug
20/2021/04 15:39:52,49,46,55,1023,-0.46,0.72,1.21,-0.43,-0.03,0.64,3.49,2.38,-0.38,1,Plug
20/2021/04 15:39:55,42,30,55,1023,-1.77,0.72,1.19,-0.43,0.00,0.63,3.89,3.08,0.05,1,Plug
20/2021/04 15:39:58,37,21,55,1023,0.39,0.71,1.21,-0.40,-0.02,0.64,3.47,3.98,-0.69,1,Plug
20/2021/04 15:40:01,40,27,54,1023,-0.29,0.72,1.16,-0.44,0.03,0.66,2.99,4.15,-1.40,1,Plug
20/2021/04 15:40:04,47,37,55,1023,-0.14,0.72,1.20,-0.42,-0.02,0.64,2.94,3.31,-1.56,1,Plug
20/2021/04 15:40:07,48,46,55,1023,-0.61,0.72,1.19,-0.45,-0.01,0.66,3.48,2.81,-0.35,1,Plug
20/2021/04 15:40:10,40,24,55,1023,-0.92,0.72,1.19,-0.41,-0.00,0.64,4.37,2.31,0.55,1,Plug
20/2021/04 15:40:13,36,20,54,1023,-0.38,0.72,1.19,-0.38,0.02,0.64,3.15,4.49,-1.02,1,Plug
20/2021/04 15:40:16,46,30,54,1023,-0.59,0.72,1.20,-0.41,-0.01,0.64,2.95,3.78,-1.53,1,Plug
20/2021/04 15:40:19,55,42,55,1023,-1.44,0.72,1.22,-0.43,0.00,0.65,3.86,2.52,0.05,1,Plug
20/2021/04 15:40:22,39,24,55,1023,-1.25,0.72,1.19,-0.42,-0.01,0.64,3.63,3.24,-0.35,1,Plug
20/2021/04 15:40:25,41,26,53,1023,1.33,0.72,1.20,-0.41,0.01,0.63,2.82,3.86,-1.39,1,Plug
20/2021/04 15:40:28,57,46,56,1023,-0.01,0.72,1.21,-0.42,-0.01,0.64,3.63,2.76,-0.27,1,Plug
20/2021/04 15:40:31,40,23,55,1023,0.62,0.71,1.21,-0.40,-0.02,0.64,3.47,3.92,-0.69,1,Plug
20/2021/04 15:40:34,41,26,55,1023,-0.30,0.72,1.19,-0.40,-0.00,0.63,2.82,4.28,-1.45,1,Plug
20/2021/04 15:40:37,49,45,54,1023,-2.00,0.72,1.18,-0.43,0.02,0.65,3.72,2.92,-0.43,1,Plug
20/2021/04 15:40:40,41,25,55,1023,1.11,0.71,1.19,-0.41,0.02,0.64,3.77,3.50,-0.37,1,Plug
20/2021/04 15:40:43,41,28,54,1023,-2.00,0.72,1.14,-0.38,-0.02,0.62,3.30,4.18,-0.83,1,Plug
20/2021/04 15:40:46,45,44,56,1023,-1.14,0.72,1.18,-0.43,0.03,0.65,3.29,2.40,-0.69,1,Plug
20/2021/04 15:40:49,33,22,55,1023,0.10,0.72,1.19,-0.39,0.01,0.63,3.66,4.48,-0.63,1,Plug
20/2021/04 15:40:52,46,30,54,1023,-1.01,0.71,1.19,-0.42,0.02,0.64,3.11,3.85,-1.33,1,Plug
20/2021/04 15:40:55,45,36,54,1023,-0.10,0.71,1.18,-0.43,-0.01,0.64,3.54,2.30,-0.36,1,Plug
20/2021/04 15:40:58,36,21,54,1023,0.27,0.71,1.20,-0.39,0.01,0.64,3.17,4.79,-0.85,1,Plug
20/2021/04 15:41:01,45,37,54,1023,-0.67,0.71,1.17,-0.46,-0.04,0.65,3.37,3.04,-0.91,1,Plug
20/2021/04 15:41:04,48,35,54,1023,-1.09,0.71,1.17,-0.46,0.03,0.66,3.66,3.12,0.30,1,Plug
20/2021/04 15:41:07,35,21,55,1023,-0.83,0.71,1.19,-0.41,0.00,0.65,3.14,6.50,-0.64,1,Plug
20/2021/04 15:41:10,42,28,56,1023,-2.00,0.71,1.22,-0.40,0.00,0.65,3.22,5.15,-1.80,1,Plug
20/2021/04 15:41:13,49,46,54,1023,0.52,0.71,1.17,-0.41,-0.01,0.63,3.77,3.08,-0.56,1,Plug
20/2021/04 15:41:16,39,22,54,1023,-0.23,0.71,1.20,-0.41,0.00,0.63,3.59,3.82,-0.54,1,Plug
20/2021/04 15:41:19,39,21,54,1023,-2.00,0.71,1.19,-0.42,0.01,0.64,3.24,4.66,-0.63,1,Plug
20/2021/04 15:41:22,45,32,55,1023,-0.72,0.71,1.17,-0.41,0.01,0.63,3.01,4.07,-1.11,1,Plug
20/2021/04 15:41:25,54,45,56,1023,-0.19,0.70,1.22,-0.44,-0.01,0.66,3.91,2.27,-0.26,1,Plug
20/2021/04 15:41:28,41,25,55,1023,1.33,0.71,1.18,-0.40,-0.00,0.63,3.43,3.82,-1.21,1,Plug
20/2021/04 15:41:31,40,21,55,1023,1.72,0.71,1.19,-0.42,0.03,0.65,3.09,4.43,-1.52,1,Plug
20/2021/04 15:41:34,42,28,55,1023,-1.27,0.71,1.19,-0.42,-0.01,0.64,3.18,3.80,-1.10,1,Plug
20/2021/04 15:41:37,51,46,55,1023,-0.77,0.71,1.19,-0.39,0.00,0.63,3.21,4.69,-0.66,1,Plug
20/2021/04 15:41:40,44,34,55,1023,-1.27,0.70,1.18,-0.43,0.01,0.64,3.68,3.20,-0.21,1,Plug
20/2021/04 15:41:43,40,24,55,1023,-0.73,0.71,1.16,-0.41,0.01,0.63,3.49,3.69,-0.67,1,Plug
20/2021/04 15:41:46,35,22,55,1023,0.23,0.71,1.17,-0.38,0.01,0.63,2.87,4.52,-1.21,1,Plug
20/2021/04 15:41:49,41,28,54,1023,-2.00,0.70,1.18,-0.38,0.01,0.62,2.37,7.11,-1.89,1,Plug
20/2021/04 15:41:52,58,46,55,1023,-1.73,0.71,1.19,-0.40,-0.01,0.64,3.35,2.85,-0.68,1,Plug
20/2021/04 15:41:55,45,34,55,1023,0.14,0.70,1.18,-0.42,0.00,0.65,3.83,2.05,-0.12,1,Plug
20/2021/04 15:41:58,40,24,54,1023,1.50,0.71,1.19,-0.37,-0.01,0.62,3.51,3.90,-1.11,1,Plug
20/2021/04 15:42:01,41,27,55,1023,-0.69,0.70,1.17,-0.44,-0.00,0.66,3.47,3.38,-0.37,1,Plug
20/2021/04 15:42:04,52,46,55,1023,-1.34,0.70,1.19,-0.42,0.01,0.65,3.53,3.52,-0.92,1,Plug
20/2021/04 15:42:07,38,23,54,1023,-2.00,0.71,1.19,-0.38,-0.02,0.63,3.55,3.77,-0.85,1,Plug
20/2021/04 15:42:10,40,22,55,1023,0.27,0.71,1.17,-0.42,0.02,0.65,3.29,4.57,-1.17,1,Plug
20/2021/04 15:42:13,51,41,55,1023,0.86,0.70,1.20,-0.43,0.02,0.64,3.19,3.76,-1.24,1,Plug
20/2021/04 15:42:16,42,28,54,1023,1.93,0.70,1.19,-0.43,-0.00,0.64,3.85,3.72,-0.25,1,Plug
20/2021/04 15:42:19,35,21,55,1023,-1.33,0.70,1.21,-0.38,0.02,0.63,3.14,3.63,-1.08,1,Plug
20/2021/04 15:42:22,44,31,55,1023,1.04,0.69,1.19,-0.43,-0.00,0.65,2.71,4.75,-2.05,1,Plug
20/2021/04 15:42:25,48,42,54,1023,-0.59,0.69,1.18,-0.45,-0.01,0.65,3.53,2.60,-0.11,1,Plug
