data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
19/2021/04 18:02:35,73,70,56,1023,-0.36,0.34,0.53,-0.44,0.03,0.66,3.52,1.98,-0.83,2,Estratificado
19/2021/04 18:02:35,62,46,55,1023,0.48,0.33,0.59,-0.42,0.01,0.65,4.05,2.50,-0.16,2,Estratificado
19/2021/04 18:02:35,62,43,54,1023,-0.43,0.33,0.64,-0.39,0.01,0.63,3.36,4.64,-0.86,2,Estratificado
19/2021/04 18:02:35,61,48,54,1023,-0.13,0.34,0.59,-0.39,-0.01,0.64,2.89,4.27,-1.34,2,Estratificado
19/2021/04 18:02:35,77,65,55,1023,0.02,0.33,0.61,-0.42,0.00,0.64,3.66,2.47,-0.50,2,Estratificado
19/2021/04 18:02:35,61,48,56,1023,-1.03,0.33,0.64,-0.41,0.01,0.64,3.79,2.76,-0.12,2,Estratificado
19/2021/04 18:02:35,69,45,57,1023,-1.08,0.33,0.58,-0.39,-0.01,0.62,3.69,3.51,-0.44,2,Estratificado
19/2021/04 18:02:35,70,55,56,1023,-0.73,0.33,0.60,-0.41,0.02,0.65,3.25,5.07,-1.34,2,Estratificado
19/2021/04 18:02:35,72,59,55,1023,-0.21,0.33,0.63,-0.44,-0.00,0.66,3.92,1.98,0.14,2,Estratificado
19/2021/04 18:02:38,58,51,56,1023,0.26,0.33,0.58,-0.41,0.02,0.65,3.55,3.64,-0.44,2,Estratificado
19/2021/04 18:02:41,64,49,56,1023,-1.33,0.33,0.60,-0.41,-0.00,0.63,3.05,4.53,-1.35,2,Estratificado
19/2021/04 18:02:44,79,63,56,1023,-0.38,0.33,0.62,-0.44,-0.01,0.64,4.09,1.21,-0.44,2,Estratificado
19/2021/04 18:02:47,59,44,55,1023,1.45,0.33,0.62,-0.41,0.03,0.65,3.27,4.92,-0.54,2,Estratificado
19/2021/04 18:02:50,64,54,55,1023,-0.30,0.33,0.70,-0.41,0.03,0.64,2.95,4.77,-1.31,2,Estratificado
19/2021/04 18:02:53,75,62,56,1023,-1.05,0.33,0.55,-0.41,-0.00,0.65,3.38,3.76,-1.23,2,Estratificado
19/2021/04 18:02:56,70,59,57,1023,-0.46,0.33,0.69,-0.43,-0.01,0.67,3.86,2.18,-0.47,2,Estratificado
19/2021/04 18:02:59,59,44,55,1023,-0.34,0.33,0.57,-0.41,0.03,0.64,3.26,4.17,-1.20,2,Estratificado
19/2021/04 18:03:02,62,49,55,1023,-0.34,0.33,0.56,-0.39,0.02,0.63,3.02,4.12,-1.19,2,Estratificado
19/2021/04 18:03:05,76,66,55,1023,0.39,0.33,0.63,-0.42,0.01,0.65,3.69,2.94,-0.53,2,Estratificado
19/2021/04 18:03:08,59,45,55,1023,-0.28,0.33,0.58,-0.40,-0.00,0.64,3.68,2.74,-0.34,2,Estratificado
19/2021/04 18:03:11,60,46,55,1023,-0.19,0.33,0.58,-0.41,-0.01,0.63,3.07,4.20,-1.09,2,Estratificado
19/2021/04 18:03:14,74,64,55,1023,-0.12,0.33,0.67,-0.44,-0.02,0.64,3.40,2.89,-0.94,2,Estratificado
19/2021/04 18:03:17,69,55,55,1023,-0.23,0.33,0.60,-0.41,-0.00,0.64,3.76,2.63,-0.29,2,Estratificado
19/2021/04 18:03:20,58,44,54,1023,-0.14,0.33,0.59,-0.38,0.01,0.63,4.14,3.10,0.60,2,Estratificado
19/2021/04 18:03:23,62,47,56,1023,0.12,0.32,0.70,-0.46,-0.03,0.64,3.58,4.80,-1.51,2,Estratificado
19/2021/04 18:03:26,66,54,55,1023,-0.11,0.33,0.62,-0.44,0.00,0.65,2.93,4.26,-1.35,2,Estratificado
19/2021/04 18:03:29,75,66,54,1023,-0.25,0.33,0.60,-0.42,0.02,0.66,3.27,2.89,-0.55,2,Estratificado
19/2021/04 18:03:32,61,48,57,1023,0.31,0.33,0.61,-0.41,-0.01,0.63,3.74,2.58,-0.09,2,Estratificado
19/2021/04 18:03:35,53,43,54,1023,-0.11,0.33,0.63,-0.39,0.02,0.62,3.55,4.25,-0.48,2,Estratificado
19/2021/04 18:03:38,63,48,55,1023,0.04,0.32,0.61,-0.42,0.03,0.65,2.86,4.39,-1.76,2,Estratificado
19/2021/04 18:03:41,71,63,57,1023,-0.07,0.33,0.57,-0.45,0.01,0.65,3.27,3.55,-0.98,2,Estratificado
19/2021/04 18:03:44,72,62,56,1023,-0.20,0.32,0.66,-0.44,-0.01,0.65,3.76,1.85,-0.15,2,Estratificado
19/2021/04 18:03:47,60,47,56,1023,-0.63,0.32,0.63,-0.39,0.01,0.63,3.65,3.82,-0.34,2,Estratificado
19/2021/04 18:03:50,59,46,54,1023,-0.68,0.33,0.65,-0.38,0.04,0.61,3.48,-3.11,-2.44,2,Estratificado
